date,star,text,compound,neutral,positive,negative,subjectivity
2011-01-25,3.0,"Although I enjoy Adobo quite a bit, this location not as good as the one in Lincoln Park. They still have decent food and drinks, but I was a little let down.",0.102,0.872,0.07,0.057,0.5111111111111111
2010-12-01,3.0,"When will I learn that you need reservations on a Saturday night in this city?  Especially if you've got a Groupon.  The spot I wanted to go to was PACKED but Adobo was empty.  Lucky for them there are schmucks like me who forget to reserve a table.  Our server was great, very nice and attentive.  The food was pretty good.  This was my third time to the place and what I like most is the atmosphere. Each area has a different feel to it.  You can eat in the lofy open space area, at the cozy bar, or in a more intimate quartered off little room to the side. Here's what we learned by not making it into the BYOB place: you can byob here but they will charge you a $15 corking fee.  Still worth it.",0.9817,0.773,0.198,0.03,0.6254901960784314
2010-10-11,3.0,11 people for dinner at the Division location and they all seemed to enjoy although some eyebrows raised at prices. The guac is very tasty the margaritas were good as well. The Monte Albon(skirt steak) had great presentation and flavor but arrived less than piping hot. Might be because our order was large.  Ribeye steak and seafood enchiladas were raved about. Service was friendly and prompt. It was saturday night 7pm and only 50% full so not sure if the place's popularity is fading. Let me know if you 've got other mexican standouts that will take 11 on saturday night at 7pm with no wait.,0.8732,0.815,0.138,0.047,0.5237789987789987
2010-08-14,4.0,"great daily specials, really friendly bartenders and staff, and the margaritas are out of this world! I love this place and would be here much more often if I could afford it.. the margs are like 8$ now so it can really get on top of you after a few and some guac ( also amazing ) couple of shots and dinner.. but worth it!",0.9188,0.768,0.232,0.0,0.41500000000000004
2010-08-06,3.0,"So a chick makes guac in front of you...and that's why it's $11!!!!! It's still good, and has ambiance, but the food has been hit or miss for me. It's hard to justify pricey mexican, when you know you could probably find a cheaper dive with better food for a quarter of the cost. It's a nice date-place.",0.8469,0.776,0.169,0.055,0.5283333333333333
2010-08-01,4.0,"had another date night there, outside to people watch & enjoy some guacamole (we've heard good things). Bf & I had a great conversation about what they did differently with the guacamole that other restaurants don't.  We've come to the conclusion that they use grapefruit juice instead of lime juice. Nice to know they have a gluten free menu, as i have celiacs. My tamarind-chipotle glaze chicken was really good... not a dish i'm used to seeing elsewhere. staff was very friendly and attentive.  It's nice to see people who still give a damn about what they do. Great people watching outside...  could have done without the mom club behind us hating on stroller brands.  Oh to have such problems.  lol",0.9674,0.726,0.212,0.063,0.6375
2010-07-30,3.0,"Went here with a group to catch up.  The margaritas were some of the best ever, we did have them on the rocks though.  We ordered 1 med guacamole for 5, and could only have a small spoonful each.  We had to order another and we were satisfied then.  My friends had tamales and enjoyed them while I has chicken tacos and found them enjoyable as well.  It wasn't the best ever bit I'd go back.  The service was. Sporadic at best.",0.9794,0.723,0.277,0.0,0.5549999999999999
2010-07-28,2.0,"Nope, nope, nope! I've been here plenty (both Division and Wells St locations), and I now vow never to go again. They still have great guacamole, but how hard can that be? I used to think the margaritas were awesome, but the last two times I've been, they have been less than mediocre. I almost feel the need to remind them that tequila is a key ingredient in a margarita, not just lemon-lime concentrate, or whatever that stuff is.  Onto the food - my bf ordered the beef tacos. He ate one of them and didn't even like it. No seasoning on the meat and, according to him, they tasted like they'd been ""heated up in the microwave""-whatever that means. When the lady asked him why he didn't finish, he told her why (nicely, but still embarrassed me), and she comped the dish. That was nice so I give her thumbs up there. I ordered the tortilla soup because I was full of guacamole. It tasted like smoky bean soup - not the worst thing I've ever eaten, but not your typical tortilla soup and not tasty enough for me to appreciate its ""uniqueness.""  Because we received the one meal for free, we decided to order a flight of tequila. My bf was talked into ordering the waitress's favorite, and not the one he wanted. I knew that was going to be a mistake right away. He's not very open to suggestions, and so I knew he wouldn't like it as much...and he didn't. The waitress also spilled the cucumber with sangrita on him when delivering the tequila, so he wasn't having a very good night with her, although he handled it pretty well.  This was and has been a big miss for me the last few times I've been there. Sorry Adobo!",0.9347,0.802,0.113,0.085,0.6409563624781017
2010-07-14,4.0,"This place has fantastic Guacamole made-to-order at the table, a must have. I've been here a bunch of times and keep going back! I'd like to see more variety on the menu but if honest mexican food is what you're after then this is it...",0.8313,0.82,0.18,0.0,0.45999999999999996
2010-04-01,4.0,"I often try and find a decent place to find a gluten free meal and found something better than decent with Adobo.  Overall it was good. Visited the Ukrainian Village location on a Saturday night and was seated right away - no reservation.  Pulses +  A nice variety of gluten free foods on their own gluten free menu +  Food was good +  Guacamole dip (prepared table-side) and it was delicious   +  Nice clean atmosphere  +  Friendly staff, good service and my water glass was always topped off  Minuses -  Parking in the neighborhood is difficult  -  After I cleaned my plate I was still hungry (portion felt a bit small) -  I did feel a bit cramped at my table as well as it was somewhat loud",0.9862,0.684,0.282,0.034,0.6984523809523809
