date,star,text,compound,neutral,positive,negative,subjectivity
2016-08-27,3.0,"Came here for an early dinner and to try to catch Puppet Bike down the street on a Friday night.  The place was fairly empty since it was before six.  All the tables are high tops, so we weren't able to use a standard high chair.  They did seat us in a corner table so we could take advantage of that extra side of the booth for the baby. The drinks were great, although it did take some time for the slushie machine to get going for my Mr. Pink drink.  I was so happy to see Pimento Cheese as an appetizer so we ordered that with the Shishito Peppers.  The peppers were standard fare.  The cheese was delicious and came with a generous serving of bread.  Probably my favorite dish of the night.  The entrees took a while longer to come out.  Hubby enjoyed his Octopus dish.  I had the mussels, which were okay and had too much fennel for my taste.  Also, there wasn't enough sauce to dip the crostini, which wasn't too crispy.  We split a slice of cake that was moist and had some fresh fruit that complimented the cake.  The servers were nice and tried to interact with baby girl.  Looks like this place is popular for the bar scene, but us oldies/parents wouldn't be able to comment on that since we were done before 730!",0.9646,0.874,0.12,0.006,0.5394949494949495
2016-08-24,5.0,"This is literally the best restaurant I have ever been to. The staff is always amazing, especially Jill. It has become our spot. Their menu is superb. The burger is one of the greatest in the world. Please support this restaurant, they are doing everything right.",0.9694,0.647,0.353,0.0,0.7892857142857143
2016-08-17,5.0,"I LOVED this place!! Probably one of the best restaurants in Andersonville. They have a great menu selection that I believe changes regularly. Everything we tried was better than expected.  I highly recommend the pimento cheese spread and mussels. Both were amazing! I'm a big fan of tartare and have to try it everywhere I go. Our server told us people have said their steak tartare is the best in the city and he wasn't lying. It was hands down one of the best steak tartare dishes I had ever had.  Their risotto was good but of all the things we tried it was probably my least favorite, but still really tasty.  If you're in the area, definitely check this place out. It's a friendly atmosphere with good music and a cool style of decor. You won't be disappointed!",0.9889,0.705,0.275,0.02,0.49789580789580784
2016-05-22,4.0,"Have been here for both dinner and brunch and really like the place. The urban rustic interior is nice and the music is appropriately laid back - a slow RnB mix for a lazy Sunday brunch, it could be so much worse (see: Replay). Service has been lacking each time I've been here. It's courteous and friendly enough, but mindbogglingly slow at times. At least they get the orders right, and food comes out hot. The menu is somewhat limited, but what's on there is top notch. Last time, I started with a simple broccoli/garlic/chili/parmesan appetizer. If you can do something that simple THAT well, it speaks volumes about the rest of the menu. I could seriously have ordered just that and been fine. Tried the Brixton Frittata and the Chicken Sando - both were delicious, although a little on the salty side. The bacon on the sandwich was possibly the best I've ever had; perfectly crispy and wonderfully smoky, the smell alone worth the price. The radish aioli was not quite detectable, but the blended flavor was superb. The asparagus came through very nicely in the frittata, which was beautifully flaky around the edge. Coffee was great, the juice not quite, but the drink menu is fabulous. With better service, Brixton might earn a fifth star.",0.996,0.706,0.254,0.04,0.5993386243386243
2016-05-08,2.0,"Weekend brunch, NO!  For a lack of brunch places the area, this restaurant could do great.  Food was not real good, especially if you want something sweet.  It doesn't exist.  No bread, rolls, donuts, french toast, pancakes, nothing.",0.4947,0.619,0.224,0.158,0.5599999999999999
2016-04-29,4.0,"My wife and I sat outside during a really nice day. The outside is nothing special, but it's great that they have it. The inside looked nice and more set up for atmosphere. I had the Brixton Burger, which was good but extremely heavy. My wife and I shared an order of fries, and I would suggest you do the same rather than order it on the side of whatever you have. Overall this was a nice place that I need to visit at least one more time so as to get a better sense of their menu. For the price, though, it was a really good first visit.",0.9849,0.738,0.248,0.013,0.49880952380952387
2016-04-28,4.0,"Hipster cool! They have been able to create an authentic gastro-pub with really good tasting food. Relaxed European feel to the place, and I love the upstairs lounge to hang for a drink and a chat. However, the service is too abrupt and at times defensive, so my advice to the manager and the team is to listen to the customer and take a deep breath.",0.937,0.774,0.226,0.0,0.578125
2016-03-16,1.0,"I happen to walk into the Brixton on a Wed night. I had been there a few times before and always received great service. Wow! Have times changed. Tonight I was in with my girlfriend and ordered a drink, there were no more than 10 people at the bar...but I guess you need to be friends with the bartender to get a refill in that place. I waited with an empty glass for about five minutes before I started flagging the bartender, who didn't respond and the bar back who also didn't respond. I had to wave them down and when the bartender stopped flirting with another customer he shadily served me.  I'm sorry Millenial, it is inappropriate in a business setting to throw shade. Yes, even in Andersonville. My sweet girlfriend still tried to tip you $10 on two rounds of drafts; but I'm sorry, I'm old school service industry and, no, you do not get a tip ""just because"".  I will never set foot in this establishment that is just steps from my house. I would rather spend my money somewhere that knows to refill my drink when it is empty, and they are happy to do it. Andersonville embraces the heart of small business. Maybe the Brixton should consider that when they hire bartenders. I would never go back. I guess Acre or Jerry's will get this neighborhood girl's business. Or maybe the Brixton should reconsider the face they are presenting to the public. There is absolutely no love here.",0.9179,0.851,0.092,0.057,0.510030864197531
2016-03-09,4.0,I mostly came here to beg the chef - PLEASE bring back the chicken & waffles!! The first time I came here was with a girl friend and I got the chicken & waffles...they were some of the most decadent ones I've ever had. The portion was huge but my husband polished them off immediately when I got home. That's what has brought me back...in addition to the overall lovely decor and enjoyable waitstaff.  BUT I was so sad when my husband and I finally got a babysitter for date night and found out the chef took them off the menu. I ordered the brixton burger and my husband got the Denver steak. Both were fine but ugh it just wasn't what I came for.,0.7516,0.795,0.135,0.07,0.6141025641025641
2016-02-19,2.0,"The good: -Ambience -Music -Beer selection  -High top booths The bad: -Terrible service, took forever to get our food.  Our waiter actually asked us if we were ready for dessert even though we hadn't gotten our entrees yet! Hah, then when we asked about our food our waiter gave us an exasperated ""oh it's coming right now"" but it took another 10 minutes. -Fairly expensive food. Not great portions. Burgers do not come with a side. -Burger wasn't very good (3/10)",0.8655,0.773,0.16,0.067,0.6065800865800867
2016-02-16,2.0,Bar service.... WOW! So god damn bad. I mean.... I bartend and I get it if you're super slammed... But there was 6 ppl at the bar. This guy was awful! Drinks empty for 10 minutes. Then when the bill comes there's an open liquor for $22! Ok so... No! Never going there again.,0.351,0.595,0.189,0.216,0.6901041666666666
2016-02-11,2.0,"I arranged to meet friends for a drink here and as the first to arrive I settled down at the bar upstairs to order a drink.  I had to ask to see a drinks menu and then had to get the bartender's attention to order (there were 3 other people in the room - who were getting table service).  There was no music in the upstairs bar plus it was freezing - not the best ambiance at all!  I texted my friends and told them to go elsewhere, paid for my drink and left.  I will go back and give the downstairs a chance to redeem this venue - but the staff and setup upstairs needs a serious review.",0.1174,0.888,0.051,0.061,0.28055555555555556
2016-02-04,5.0,"Love the atmosphere, lighting, bartenders, and drinks! I really can't speak to the food since I've never ordered any, but everything else here is spot on. Stopped in for a drink yesterday, and was pleasantly surprised to learn that it was whiskey Wednesday ($5 whiskey cocktails, $3 shots). Loved my Manhattans, and the price was right!",0.9285,0.738,0.226,0.035,0.6071428571428571
2016-01-27,5.0,"Beautiful, just beautiful as I had a great time here with friends this past Saturday nite. We got here around 9:30-10pm and the place had a great crowd with a very mellow atmosphere...just lovely! All of us had already enjoyed food in other places so this was just a drink outing. awesome whiskey cocktails (Clampdown & Sugar Dumplin') and awesome beer (Cashmere Hammer...phenomenal btw) made for an awesome evening! After doing it up downstairs, we were told there was an swankier upstairs that needed our attention...not to mention a couple of the guys wanted to shoot pool and a table was up there. We went up and went to the far back and grab the last of the seats along with another friendly group. We lounged until closing time and our server Gwenyth was awesome...word to our original server downstairs as well (Jillian). You can probably tell that I really like this place! Ambience is killer!",0.9926,0.697,0.268,0.036,0.6328703703703703
2016-01-13,5.0,"Every time I come here it is a wonderful experience. The Brixton burger is the best burger in the world. I crave it. I crave the pimento cheese dip. It's....so good. Lighting is perfect and soft, endless supply of Bowie songs, in addition to tv access when the important things are on. They took The Thin White Duke off the drink menu (TRAGEDY) but if you are lucky and get a bartender who knows the recipe it's like getting, and drinking a winning lottery ticket.  Some people mention wait times for a server, we have waited sometimes for a drink, but common sense urges you to read the room and notice you're not the only customer. I've found also that if you are enjoying the company you're with, you can't have a bad experience. Bottom line, if ya got em, get rid of those stale friends and your experience will be fun and fresh.",0.9913,0.758,0.242,0.0,0.6333333333333333
