date,star,text,compound,neutral,positive,negative,subjectivity
2017-01-11,5.0,"I'm going to tell you all a little story about Bull & Bear. It was a Friday night and I had a couple of friend's coming over, but I had not yet had dinner. I was hungry, and I wanted a burger. To be completely honest, whenever I'm hungry I want a burger.  I went and checked GrubHub for a place to order a good burger. That is when I found it; I found the Bull & Bear Kobe Burger. Delivery was great, came way under the expected time, but that's besides the point. I'm not hear to talk about the delivery, I'm here to talk about this damn burger.  Let me just say, I eat a lot of burgers. I've even gone as far as to consider them a potential food group. This burger was the best burger I've ever had in my life. The cheese had the perfect bite to cut the sweet flavor of the marmalade, the kobe beef was out of this world. The bun had that perfect squishiness, and the caramelized onions were blowing my mind. I'm not one to hype up food to my loved ones because I don't want to let them down, but I wouldn't shut up about this freaking burger.  That leads us to right now. I'm sitting in the library of my college campus with a friend telling them that TONIGHT is the night they try this burger. I come on Yelp to show them a picture, so they too can marvel in the majesty of this hamburger. However life has deceived me once again. As if starting another semester of my college education isn't rough enough, Bull & Bear has CLOSED it's doors. So here I am, CRYING in the school library about how upset I am. Maybe it's a combination from the stress I know is upon me this semester, but I really do blame a lot of it on Bull & Bear closing.  Can you file a law suit for emotional damages caused by a burger you'll never be able to taste again? If there are any lawyers in the house, let me know.",0.9599,0.774,0.135,0.091,0.586345598845599
2016-11-20,5.0,Simply love this place and the great hospitality it offers day in and day out. The staff is friendly and the vibe is always good. I'll be a regular for quite a while,0.9371,0.652,0.348,0.0,0.4211538461538462
2016-11-06,5.0,"Found this place on Yelp while we were in town, went for brunch on the Saturday and returned on the Sunday before we left as everything was so good! The Drinks, the food, the DJ and our bartender Ashley was so nice! Definitely try the Mac n cheese - it's delicious!",0.9424,0.751,0.249,0.0,0.62
2016-11-05,5.0,Rachael is amazing! Great service and great food! It was a great experience coming here. Cheers to Chicago!,0.9686,0.374,0.626,0.0,0.7875
2016-10-30,4.0,"We came here game 4 of the World Series. We had a good table but the service was pretty bad. Granted they were incredibly busy BUT they did have a lot of staff and we were waiting 20-25 mins for our drinks. Some drinks were just forgotten about, one of the beers were out-instead of coming back and asking us about it she brought all the other drinks and didn't even address the fact that the beer was out... he said 'did you forget my beer?' And she says 'oh we're out of that beer did you want something else?' then 1,2,3,4 additional drinks were forgotten.... that sucked. However, I will say that the waitress took most of the forgotten drinks off the bill-3 of the 4 were removed. Also, their mixed drinks were pretty amazing!! Love a good cocktail!",0.95,0.723,0.183,0.094,0.5532051282051282
2016-10-29,1.0,"Not a bad place to go, but terrible service. Our waitress is pretty disappointing- really slow and we didn't receive our entire order. The food that we did receive is good though.",-0.3716,0.58,0.182,0.239,0.7130952380952379
2016-10-22,2.0,"I usually love coming here, esp for the bloody Mary's and brunch but didn't have a good experience last night. We came here for drinks and it took almost 30 mins just to get our check. When I went to politely ask the hostess, she snapped at me and told me to ""calm down"". The waitress was nice and apologetic about the wait but the hostess was so incredibly rude and unprofessional. If she wants to continue working there, she needs a serious attitude check!",-0.8049,0.739,0.094,0.167,0.5572222222222222
2016-10-16,4.0,"Really cool place!  Most of the tables have their own keg taps for beer, so you can sit and serve yourself. I got the build your own burger, which was pretty good.  It gives you the option to select all the items you like most. What I will say though is that by the time you pick everything for your burger, it's almost $20.  On the more expensive side for a burger, and it's not the best burger I've ever had. I would go back and try other things",0.7974,0.843,0.121,0.036,0.59375
2016-10-12,3.0,"Ordered: Breath of Fresh Pear, Moscow Fuel ATMOSPHERE: The game was on, so the atmosphere was a bit louder than it probably normally is.  DRINKS: The Breath of Fresh Pear was pretty good, though not as strong as I would have liked for the price. We went on a Friday, when they had quite a few specials going on. I would have gone for one of the specials had I know the strength of the drinks. The Moscow Fuel also wasn't very strong, but--again--it was good.  SERVICE: Service was pretty attentive. I didn't wait long for a drink. And the bartender was easy on the eyes, so that helped.",0.9601,0.743,0.212,0.045,0.6646666666666667
2016-09-28,4.0,Stopped in for a quick beer and some fried Brussels sprouts. (Which I was told I had to order) I am not disappointed!! Yum! Upscale sports bar / Wall Street vibe!!,0.4257,0.81,0.126,0.064,0.625
2016-09-20,1.0,"Sunday evening I was treated like complete dirt by the door guy/bouncer. Not only was he extremely rude, after I explained who I was there to see he shoved me and completely shattered my cell phone(that was purchased the day before). To make matters worse he didn't apologize and told me to get the f*** out of there because I wasn't going to get in to see my friends who had purchased a table there. I've been to this location countless times and never have I been treated so poorly by staff in my entire life.",-0.7771,0.802,0.066,0.132,0.590625
2016-09-20,3.0,"I am gonna give this place 3 stars mostly because the service was pretty bad. I went for an easy brunch the day after a friends birthday, a sunday afternoon. The bears were playing on Monday night this week so it wasn't very crowded. I can definitely see this place getting a nice crowd for them as they had a lot of tvs and those tap tables in the back.  So with that being said, it was crowded as in there was a lot of people seated but not crowded enough that people were standings around, and our services was just soooo agonizing slow. The waitress was just MIA most of the meal.  I ordered the day trader which was decent, classic bacon egg and cheese, which they forgot to put bacon on mine....so idk how you forget that on a class BEC sandwich and than with the slow service it was either eat it or starve to death trying to find and get our waitress attention.  My friend order the truffle mac and cheese which i took a bite of and I will say was amazing, but i love truffle anything really.  Other than that the other items orders were the brunch burger, and the crab cake eggs benedict, both good, nothing amazing.  Overall the place was fine, nice sports bar with some outdoor seating, food was good, but nothing amazing or worth going out of your way for, and service was super slow.",0.9844,0.714,0.194,0.091,0.5482142857142857
2016-08-16,3.0,"Your average River North sports bar that's walking distance to Bottled Blonde for when their line isn't moving. Drinks are pretty pricey, and the crowds are pretty heavy, though I don't remember ever having to wait in line. There's tables for bottle service in the back, and casual high tops up front if you get there early.",0.8885,0.819,0.181,0.0,0.5118518518518518
2016-08-15,4.0,"I always look for the best local burger anywhere I travel, the Kobe Burger remains in the top I have had anywhere, great burger, cool atmosphere on the patio of downtown ChiTown...I dug it and will go back next time I wind up out there. Only knock was it wasn't fast, and, they weren't very busy at the time.",0.9081,0.804,0.196,0.0,0.41900000000000004
2016-08-12,1.0,Ordered an $18 salmon ceasar salad and got the smallest sliver of salmon I've ever seen. Awful,-0.4588,0.842,0.0,0.158,1.0
2016-07-24,3.0,"The service was efficient and friendly.  My dinner was excellent (grilled skirt steak), my son had the salmon which was also very good. My wife had a grilled cheese which was average, the french fries were bland and unseasoned.  The other thing keeping from a 4 star review was the lack of a beer selection.  Overall not a bad experience but probably won't be a repeat when I make the trip into Chicago.",0.7732,0.833,0.144,0.023,0.5061111111111112
2016-07-23,5.0,"I wasn't able to have a drink or a meal here yet. I'm writing this review because something pretty special happened to me here at around 9 pm on Thursday night.  I was coming home from dinner with friends, and trying to hail a taxi when it started pouring rain (while I had like 5 shopping bags in my hand). Out popped a bouncer (I asked him his name and I think he said Ermani) who invited me in to avoid the rain. He asked me where I was trying to hail a cab to, and within seconds he was outside in the pouring rain hailing me a taxi. (No customers were coming in as it was pouring, so he wasn't neglecting his job). He waited until I was safely in the taxi (and held open the door for me) until he retreated back in. Maybe I'm a softy, but I was in tears because of what a nice gesture it was.  I am going to be supporting this business with my friends this weekend in thanks for Ermani's kindness. If he is a reflection of the management and the rest of the staff ,then I'll definitely be a regular.",0.9835,0.8,0.181,0.019,0.4339410589410589
2016-07-19,1.0,"So I'm tantalized by the bartender to go with their Tue specials...$10 Tacos and $9 margs... The margarita was Dixie cup sized that took about 3 swallows to drink--it didn't help that she poured it one inch down from the rim of a baby rocks glass filled with ice! And then it was all mix on top of it, so that $9 marg was a ""special"" rip off. The fish tacos was loaded with a vinegar slaw that over powered it to the point I felt I was just eating slaw in a corn tortilla...yuck! Would never go back, unless I absolutely had to.... Save ur time and money... Hell, Taco Bell would have been better!",0.8117,0.82,0.124,0.056,0.5229024943310657
