date,star,text,compound,neutral,positive,negative,subjectivity
2016-08-27,5.0,Just learned they this restaurant closed due to the high wages required and high taxes imposed by the city of Chicago/Cook County on businesses. Maybe one day the residents of Cook county will figure out that people like Daley & Emanuel do not have their best-interests in mind.,0.296,0.922,0.051,0.027,0.38874999999999993
2016-08-26,2.0,"Not surprised one bit that they closed. I called it the first time I went there and couldn't find a single traditional item on the menu, not even salsa! Considering 9/10 restraints fail you have to be really ballsy or just stupid to not offer what most people consider traditional dishes. I love food and different takes on traditional dishes. However, I have absolutely no idea why this restaurant would shoot itself in the foot by not offering traditional tacos, burritos or even salsa for heavens sake. Absolutely amazing how ignorant this decision was. I live in Andersonville and loved their Margaritas. I went there twice. However, if I could have stopped in and had just regular chicken tacos or a salsa that is recognized by pretty much every other place on earth I would have stopped in on a weekly basis, perhaps a couple times a week. What management was thinking I will never understand. Why alienate yourself in such a competitive industry! It's a good idea to offer basics and what most people around the world consider Mexican cuisine. I love how one reviewer described ""pretentious tacos to say the least"". That statement sums it up. Sometimes, it pays to keep it simple stupid. Have different options for people who want to try new things including myself, but don't try to reinvent the wheel and then let that be all you offer! That's restaurant suicide! What a shame, it was a beautiful restaurant! On a positive note, the service was good.",0.8817,0.777,0.131,0.093,0.5758563508563508
2016-08-22,1.0,"I heard Cantina 1910 is closing, with the excuse that their minimum wage workers are overpaid.  I'm not surprised they are closing based on an experience I had this summer. About a month ago, I ordered 2 tacos for carryout on a Friday night, 6:30ish, understandably a busy time - and they told me a large group just came in, likely a 45 minute wait.   I show up 45 minutes, they said they'd check.  I waited patiently, and discretely, understanding they told me of the delay.  I check in 15 minutes later, and they inform me they haven't started the order yet, reminding me that they already informed me of the delay and it would be at least another 45 minutes.  Then I decided to thank them and leave, as such a wait for 2 tacos wasn't worth it, nor was the unnecessary rudeness, blaming a waiting customer for placing a 2 taco order and expecting it to be done in under 2 hours.  Chi chi's could have done that in the 80's with waves of groups coming in. Uncle Julio's does that today all over the suburbs.  That's what big restaurants are supposed to do. But Cantina 1910 didn't fail me that night.  They taught me a valuable lesson, that I was a stupid customer.  If I was smarter, I would have biked over and back to big star or l'patron, would have gotten better tacos for half the cost.  What kind of a dumb customer was I to order carryout from them? I had been there maybe a year ago and otherwise liked their food.  But it doesn't matter how good or bad your food is - if you can't treat your customers or workers with respect and can't run a kitchen, you won't last.  Successful restaurants don't make excuses, but failing ones do.",-0.8671,0.853,0.05,0.097,0.4678571428571428
2016-08-22,1.0,"So I hear this place is closing. I'm not surprised. Had a rude encounter with a waiter and ended up walking out. As we were being seated on the patio a waitress was also starting to come through the same doorway where we were standing. I immediately moved to one side in the only place there was was to move and was scolded by waiter who snapped at me to ""let her go first!""  When I tried moving again back to where I was staring he snapped again While he went away to presumably to get us water, we got up and left.",0.2746,0.955,0.028,0.017,0.3822916666666667
2016-08-16,2.0,"Service wasn't bad and food was good. Pricey for what the type of food being served.  I was not a fan with the arrangement and designs of the tables, particularly the ones in the main dining room against the wall. First, the tables are a tad long so conversation is tougher unless you lean over to listen to the other person. Then the tables are really close to each other  on each side that its tough to hold a low key conversation when your neighbor happens to enjoy yacking at a loud volume and hearing the sound of their own voice. Prices are higher than what I'd want to pay for moderized Mexican food. I wasn't wowed by the selection or the taste of the apps and entrees I ate that one evening.",0.5151,0.84,0.088,0.072,0.4972222222222222
2016-08-15,5.0,"Visiting from Boston.  Friends suggested Cantina 1910 and we weren't disappointed from start to finish.  It was Market Days in Chicago and Andersonville was not the usually overly crowded place.  With some assistance from the hostess (thank you) we were able to get in and be seated in the area recommended.  Our server Grace was incredible.  Just the write amount of balance between ""I'm here to help you"" and ""Let me leave you alone to enjoy.""  Her suggestions were right on and her knowledge of food and drink menu was outstanding.  And the food was just as good as the service.  Started with guacamole for the table and it was probably one of the best I have had.  I then shared a wedge salad which was no ordinary wedge and was a combination that was flavorful and delicious.  For an entrée I had the roast pork and it did not disappoint at all with succulent pork on a bed of vegetables  that complimented the pork.  A few times the manager (sorry I forgot your name) came by to see how we were doing and engaged us in conversation about the restaurant and the food.  Again, not intrusive.  Dessert was the cherry ice and cream (terrible memory on names) but it was a perfect ending to a perfect meal.  Try this place.  We were impressed with the service and the food.",0.9855,0.821,0.162,0.017,0.7021008403361343
2016-08-12,3.0,"Soo...our 3rd visit...had a reservation. .asked to sit outside.. and although there had been rain most of the day..it had stopped and appeared on radar to be a good break.  So we asked to be seated outside. We sat at the bar and ordered drinks while they dried off the patio......25 minutes later, we had to ask to be seated outside..or wherever.  Our server Jimmy was awesome..an some rain did come and we moved inside (we might have finished outside had we been seated..) Our food was great..we had several kinds of tacos, ceviche,  3 way elotes, and scallops. .all  excellent..snd our server was great...but the front end  manager was mostly on his phone..and the ship had no captain.",-0.0516,0.942,0.024,0.034,0.23500000000000004
2016-08-07,4.0,"Good food, good service, great guac! The golden raisins are a great touch!",0.9391,0.354,0.646,0.0,0.64
2016-08-05,4.0,"If you do nothing else, come here for the carnitas small plate. Seriously, I could have eaten about 5 orders of those on my own. The meat is perfectly cooked- crisp on the outside, but falls apart in your mouth.  Now that I've said that, on to the rest of our meal. We also had the seabass ceviche. The flavors and texture were good, but the fruit to fish ratio seemed a bit high (some bites felt more like a fruit salsa than a ceviche). For our entrees, I ordered the pan roasted fish (which was an ivory char tonight) and the husband ordered the chicken breast. I'm really glad I went with the pan roasted fish- the mole verde was amazing- vibrant in terms of color and flavor, and the roasted vegetables on the side were a good complement. The husband's chicken was good- the sauce (some kind of mole) and the chicken chicharron were the highlights, and added strong flavor and texture to a well-cooked but plain chicken breast. We also ordered drinks. I had the tequila daisy, which was refreshing and slightly different from a typical margarita (but also not too far out there). He had the 1910 margarita, which was really good- I probably would order that next time or any time I needed a margarita.  Finally, dessert. Honestly, I would recommend coming here just for drinks and desserts based on the quality of both. I had the tres leches cake- which was DELICIOUS, especially if you're a coffee lover. All the components came together beautifully, and the chocolate creme on top made it feel extra indulgent. Husband had the churro, which was crisp and cinnamon-sugary, and not at all greasy. The caramel on the side was top notch.  I can't forget to mention the service- if you have questions on any of the dishes, they're very well educated on the menu and can describe exactly what you're getting and make recommendations.",0.9975,0.794,0.203,0.004,0.6595739348370927
2016-08-04,4.0,"What's up with these yelp reviews for this place? Why would you go to a Mexican fine dining restaurant to eat Tacos and Guac when the entire neighborhood is littered with taco restaurants on every block? We had a coursed out meal, 1 ceviche, 2 small plates (which were not small and more like entree sized), 2 entrees and 2 desserts for $60 before tax and tip last night (Tuesday) and they were ALL fantastic. The dishes were creative and well executed and made with high quality, fresh ingredients. I never had any good experience with expensive fancy Mexican food before, but Cantina 1910 hit it out of the park! Scott, our server, was attentive and was very knowledgeable and helpful describing the dishes to us while we ordered. Will be back! ============ Sea Bass Ceviche - Very fresh and smart combination of flavors of marinated sea bass, blackberries, peaches, ginger, serrano, jocoque. The serrano might be too spicy for the general audience, but I appreciated the heat level. To perfect the dish, I would prefer to dial down the acidity and cut the sea bass a little larger pieces to make the bass the star of the dish. Banana Leaf Fish 'N' Papas - this was a barramundi fish topped with tomato tamarind and hominy based sauce, wrapped and steamed inside a banana leaf. The sauce was very complimentary and  fried purple potatoes were absolutely delicious perfection. The only disappointment was how small this entree was (fish was probably about 3 oz max) and the potatoes was about a 1/2 of a potato.  Pan roasted fish with mole fresca sauce, fried masa dumplings and roasted seasonal vegetables was my favorite entree. The fish was cooked to perfection, not over done and with crisp skin. The masa dumplings and roasted veggies were very complimentary in taste and texture. Scallops Divorciados small plate - excellent pan fried scallops with delicious, bright flavored sauces on a bed of sweet corn.  Pork belly small plate - very tender and well fat-rendered pork belly. The meat was crisp on the outside and the inside was juicy and tender.  Tres Leches de Cafe - not too sweet and a smooth blend of coffee, chocolate, and caramel flavors. This was probably the only tres leches cake I have ever liked. The Cherry Raspado - was very refreshing. The condensed milk with tart cherry shaved ice and rubarb toppings go really well together.",0.9978,0.77,0.2,0.03,0.5537835775335774
