date,star,text,compound,neutral,positive,negative,subjectivity
2016-12-29,2.0,"Well the place is closing for a reason! Food was good as usual, however, we were told a 2 hour wait for a table for 2 when the place was 1/2 empty with about 25 open tables just sitting get there. Crowd was rude and obnoxious. Drinks were 1/2 poured into a large martini glass. Wouldn't go back if I had the opportunity but guess that doesn't matter anymore does it?! NEXT",-0.1766,0.823,0.077,0.101,0.35982142857142857
2016-12-21,5.0,"This historic restaurant is closing at the end of 2016.  I just wanted to say a few things for anyone who is going in the next couple of weeks.  My mom and I dined there last night and I learned a few things that I think everyone should know if you are one of the lucky people to have a reservation during their last days. Here goes: The service is not good, but it is not because the servers aren't trying or they don't care.  At first, I was annoyed, but after taking some time to talk to our server, I learned that he has been working there since 1972.  Since the announcement of their closing, many of the servers have quit.  The staff who are left are extremely overworked.  At 11pm on a Tuesday, every table was filled.  He said on a night like that they would normally have 20 staff members, and they had maybe 5 people.  He said that the kitchen is severely understaffed as well.  He said that they are all very tired, and very overworked.  They have not had a single day off in 5 weeks, and many of them are expected to work on Christmas day as well.  The hotel was bought out, and unfortunately this historic restaurant will be turned into retail space. Please do not express your frustration with the servers by tipping them poorly.  In fact, I believe you should do just the opposite.  Many of these people will be losing their jobs at the end of this month. The slow service, food quality, etc. is NOT their fault.  They are genuinely doing the best they can in a very bad situation, that has been handled terribly by management of the restaurant/hotel.",-0.9472,0.813,0.071,0.116,0.4480317460317461
2016-12-18,1.0,"Save yourself the money and pick any other restaurant in the neighborhood and you'll be happy you did. I was part of a large group on 12/18 that went to celebrate this historic and iconic restaurant and not a one of us walked away happy we did. If not for the company it was a complete loss. Cocktails were inconsistent. Food was marginal and not hot. Service was well...awful. You will read some more reviews comparable to mine below and you will read some positive reviews from others living in the past Take it from a group that included chefs and restaurant owners...everyone has checked out, you're just wasting money.",0.9313,0.811,0.148,0.041,0.5317296340023613
2016-12-17,5.0,"It's closing at the end of the year, and I recommend trying to go for a historic dinner. It's not large but it has a classic nautical theme. The staff has been there for years and they have the drill down perfectly.  We started with the grilled octopus, which was tender and surrounded with grilled olives. The oysters were perfect and I love horseradish with a kick. Of course we had the turtle soup, which didn't disappoint.  We all ordered the Dover sole and the staff deboned it table side. It was perfectly done, because they've been doing it for years.  For dessert we had bananas foster and baked Alaska. A great way to end a meal with all the classic foods.  It's to bad a great restaurant like this has gotten lost in all the culinary excitement in Chicago. I'm sorry we didn't visit this more often.",0.9917,0.697,0.252,0.05,0.5354662698412699
2016-12-17,5.0,"So many memories connected to this place. So very sorry to see it close. Two nights ago we had our final meal here and it was a 10! Lobster Thermador, Dover Sole served table side. No place like it. Get in here before the end of the year.",-0.2176,0.865,0.049,0.086,0.6875
2016-12-16,5.0,"It's closing in two weeks, so take one last chance to have the Bookbinders Soup and some Lobster Thermidor...that's what I did, and they tasted great, along with a perfect ""dirty Martini""...this quirky little hold-in-the-wall will be missed...here are some pics:  johnrieber.com/2016/12/1…",0.7845,0.739,0.201,0.06,0.6861111111111112
2016-12-08,2.0,"I know it's closing after over 80 years but they lost their dignity long ago. Went there last night and zero fucks were being given by anyone there. Dinner took like 3 hours, food was average and Luke warm but at least it was still expensive. If you want to go to relive your past there don't do it you'll be disappointed. Stick a fork in it!",-0.4482,0.72,0.134,0.146,0.4458333333333333
2016-11-25,4.0,"I first learned of this place from the Chicago Architecture Foundation tour, a historic restaurant, old funky seafood decorations, one of the oldest speciality seafood establishments.  I made a reservation for my birthday, it was a very calm and barely busy affair which was nice because it was quite quiet.   The meal was excellent and the service was fun, not just good but entertaining (the waiter changed unexpectedly in the middle, but the new one was more fun).   Unfortunately we learned it would close shortly and likely not reopen.  I'm glad I could be part of history, the price was high but worth it for a special occasion!",0.7716,0.769,0.148,0.082,0.5351148127235084
2016-09-05,4.0,"I've been going here from when I was seven years old and love the atmosphere. It's too bad they don't do lunch anymore as their Maine lobster sandwiches were divine. I still stop by and pick up the famous bookbinder soup whenever I'm at the Windy City. It's like if minestrone of seafood stew had more depth and class. I get mine to go and they put it in a super tight container so it won't spill, plus some bread and butter too! Awesome service!!!",0.941,0.746,0.196,0.057,0.6148809523809524
2016-08-20,4.0,"Came here for dinner while staying  at the Drake hotel.  The restaurant was willing to take us after closing hours which was great since we were extremely hungry. The waiters asked that we hurry an order before the kitchen was fully closed. I ordered the bookbinder soup , which was absolutely amazing.  I was extremely happy. It was a very hearty soup, thickened and full of meat. My brother ordered the calamari which was probably one of the best I've ever had,  lightly breaded and extremely tasteful. I could order over and over again. I also ordered the oyster Rockefeller which was very rich in taste. It was a bit more then expected. Stuffed with spinach and cheeses. The presentation was awesome but it was just too much. The branzino was very good. It was filet, deboned and seasoned with salt and pepper. Extremely tasteful. We had 2 bottles of a Napa Valley wine which was great. It is expensive, but you should know that walking into the Drake hotel.",0.9754,0.859,0.141,0.0,0.662142857142857
2016-07-26,1.0,"This was NOT a good place. The food was way over priced and under quality. My son had the kids shrimp and fries. The dish came out with 4 average sized shrimp and few fries, cost $36!! That's $9 per shrimp. My other kids had a cheese burger and fries. Comparable to a McDonald's quarter pounder cost, $16 each. I just had a house salad and it was $8. My wife ordered the grouper. Literally 3 bites of fish $34. What a joke! We saw the waiter when he took our order and when he brought us the check. Horrible experience!",0.4153,0.902,0.063,0.035,0.495
