date,star,text,compound,neutral,positive,negative,subjectivity
2016-09-11,3.0,"A little bizarre at first. I was invited to a rooftop party and when I got there one half of the roof had a bunch of untucked shirt dudes drinking beer and bro hugging and the other half was filled with beautiful Indian women and a few dudes. I couldn't figure out why the bro hug dudes weren't getting busy with all those beautiful Indian women until I was told that they were actually two events sharing the roof without a divider between the events.  I was happy and relieved that I was invited to the event with the ladies! The roof is nice, no frills but functional. The drinks were decent. Good local neighborhood place.",0.9492,0.782,0.192,0.026,0.5181372549019607
2016-09-03,1.0,"It was girls night out and this was our choice, and now I know to listen to my fellow yelpers when they write one star reviews. The service was TERRIBLE! When we first arrived the hostess was not at her post and wandering elsewhere when she needed to have been seating people. It literally took us 10 minutes to FIND HER so that she could seat us, mind you it was not busy! She was friendly so I will give her that much, but we should have known our experience here would be sub par. After this whole ordeal we finally sat down and it took our server another 10 minutes to acknowledge us and once again he was away from his area not paying attention to what was going on. We ordered drinks and one of my friends ordered a martini, and after what seemed to be an eternity the server comes back to say ""we do not have martini glasses because there is a party of 10 people and they are all being used"" what kind of establishment runs out of glasses? Then we move on to order another drink and the serves once again comes back and says ""we are all out of it"". At this point I was just over their terrible service and moved onto food. The food was ok ( the chips for the guac were stale !) and once again the food was brought out separate when we all ordered together, (a good 15 minutes passed before we all had our food so we didn't get to eat together and once again the server gave a poor excuse"" our ticket got cut out as it printed and we could not bring out the order together. The server made no attempt to rectify any of these mistakes and at this point I just wanted to eat and leave). If you absolutely can't find another bar that is open I would steer far away from this place! Never again!",-0.5697,0.891,0.051,0.059,0.5286111111111111
2016-09-03,5.0,"Food was great!!! Mac bites , guacamole and chips yum.  The special sauces with the chips was super.  Everyone's meals and salads were fresh and very tasty.  Service was excellent.   Loved the outside dining.   We were able to watch the game outside. We had a great evening.   The attention to service was outstanding.",0.9843,0.592,0.408,0.0,0.5644688644688645
2016-09-01,5.0,"Awesome spot, super friendly staff, tasty adult beverages, AND gave us ponchos when it was raining!!!  Thank you, James! Love Chicago",0.9641,0.456,0.544,0.0,0.6133333333333333
2016-08-30,4.0,"A group of friends and I came here for drinks on a Saturday night, so I can't really comment on the food.  We never actually wen't inside, but the roof and side patio are both really cool.  Somewhat surprisingly, this place was not busy at all.  There were a few people seated at tables on the roof patio, but not nearly the crowds I expected for a rooftop bar.  There isn't really much to say about the drinks.  They had the pretty standard offerings, nothing fancy.   The vibe was very chill, so if you're looking for a low key rooftop bar, this is your spot.  You won't find the high end specialty cocktails here, but you also won't find prices that high.",0.8704,0.878,0.101,0.021,0.408125
2016-08-16,5.0,"My fiance and I chose this venue for our engagement party without ever actually being there before because of its amazing rooftop. Of course the day of our engagement party was the hottest, most humid day of the year with intermittent monsoons. Don't stress though! Citizen bar had a backup plan and gave us the back section of the bar. The scene was different than the rooftop, but everyone at our party had a GREAT time. They had perfect food and drink packages to choose from and nobody had an empty drink at any time. The staff was incredibly attentive to our group. I got rave reviews from all of the guests. Thank you citizen bar for such a great engagement party that will be one of my happiest memories :)",0.9947,0.663,0.324,0.013,0.625
2016-08-05,5.0,"A group of us went here for drinks after work and had such a great time that we stayed for 4 hours! The patio was nice and big but not crowded, perfect for a summer night. We took advantage of their drink specials and had some delicious food. One of the chefs even came out to discuss how they could accommodate a gluten free menu for one of the members in our party... without us even asking to talk to anyone! Our waitress, Nikki, was the best. She was friendly and warm while also having a steel trap memory for all our orders. And she was even down-to-earth enough to do shot with us. Thanks for a great time guys! Next time we come back we'll have to try the rooftop.",0.9866,0.712,0.244,0.044,0.5333333333333333
2016-08-02,5.0,Great place to get food and drinks. The service is fast and they always make accommodations.,0.6249,0.785,0.215,0.0,0.675
2016-07-31,1.0,The owner punched and threw a girl into a table here because she wouldn't dance with him. Stay away from here. Human garbage like the tantrum throwing man-child who owns this place deserve to be forgotten.,-0.296,0.812,0.065,0.123,0.1
2016-07-31,1.0,"Terrible experience. Would not recommend this place. Lousy sub par service. 1 out of 5, would not go back.",-0.8276,0.633,0.0,0.367,0.5
