date,star,text,compound,neutral,positive,negative,subjectivity
2015-01-26,2.0,"Much like the seasoning of aged skin, time hasn't been too good, to Crabbby Kim.  A few updates..  They updated their bar!  A nicer look but still an odd experience.  However, they didn't update their washrooms??  Still cesspools of hate, angst and the possibility of a ""jail-house-butt-raping.""  The square footage in those tiny washrooms; if one were to get stuck in there... it'd be psychological I tell ya. Another update is that I haven't seen a bikini in here in over a year!  I wonder if Feminists are clapping.  =)  What happened? Who knows.  This isn't one of my usual stops but when our bowling league is in play, the guys might like to arrange a meetup over here to see how the ladies of the team take it.  Childish? Definitely, except for those times when it's the ladies requesting we meet there for drinks.   Of the bars nearby this one serves food and chips and fries are made fresh at the time of order.  (Or frozen fries and freshly fried chips for salsa)  On a few trips, slow cookers were going with something interesting bubbling inside adding a new scent to the room. I would guess that due to the economy within their walls, it's taken a turn for the worse.  Way back when, they offered draft beer.  Today they don't and you can see beer spouts missing handles! (To see a draft spout missing handles, is quite depressing.  I guess as depressing as seeing a bikini bar minus the bikini-clad-bartenders)    Beer and booze are available but only beer by the bottle and booze that's stirred.  As I've never seen a cocktail shaken.  Prices are still cheap and they offer specials on both offerings. In the writing of this review, for the sake of shits and giggles, I Google searched for other local bikini bars. In the research results I found the most interesting ""easter egg"" YouTube videos about Crabby Kims!  Who knew they were ""popular"" at one time...  Harlem Shake video:   youtube.com/watch?v=Q8fz…",-0.9213,0.797,0.086,0.117,0.4530748663101605
2012-11-27,5.0,"This is a dive bar. Good food, cheap beer. If you don't like dive bars, don't go. Move back to Hinsdale. If you are ""uncomfortable"" around a bartender in a bikini, you're gay, or female, or you listen to too much NPR, and need to get over yourself. This is a weird place, and that's what's fun about it. If you're not fun, move to Wheaton. This is thee bar to go to after the Toys for Tots Motorcycle Parade. Kim brings in 4 hot bartenders, naughty Santa's helper outfits. If you feel ""uncomfortable"" about that, see above... ^^^",0.8438,0.849,0.115,0.037,0.5155555555555557
2012-03-26,2.0,"I'll go in this joint once in awhile... The Owner has ruined it by turning it into a Bureaucracy!! First he has ""Shot Regulator""? What is this an Airport Bar?? Then he got the ""Scanner"" to scan EVERY Beer Bottle into register... Now he is making the girls write down each draft beer they sell in a LEDGER?? Haha, I totally get your point but you are also ruining business at your bar! Nobody likes getting nickel/dimed to death.  Bartenders have no lee-way to buy a customer a beer that costs .25¢? Sorry... But that only loses you business!! If you have a Manager there that's watching (And You Do) then let him do his job-- the place could be way more fun if the bartender wasn't hovering over your cash like a vulture when you order a beer!! I live very close by and have for years but won't frequent this joint/ Other than ""That""... The Bartenders are great/ Wearing Bikini's--Great Burgers--Great Plasma TV's in High Def!!! Just a shame that the owner is clueless.... GTFJD",-0.92,0.797,0.071,0.132,0.4633730158730159
2012-01-27,3.0,This is where strippers go to die . I think my bartender may have been a tad bit pregnant . Good wings though .,-0.25,0.714,0.122,0.164,0.55
2012-01-09,5.0,"I LOVE this dive bar!  Most of the bartenders are pretty AWESOME with the exception of one whom just seems to hate her job. But overrall, the food is AMAZING for a dive bar and the gals always make sure my glass isn't empty. Love that...the staff overrall are GREAT!!",0.9684,0.533,0.37,0.097,0.763888888888889
2011-12-27,2.0,"Despite my 2-star rating of Crabby Kim's, it's a decent place to grab a drink, and a quick bite to eat.  The food isn't great, but it does the job if you're within walking distance, and prefer something more than the local fast food options.  The beer off tap is pretty basic, with a few imports, but what the this place lacks is a good selection of the ever popular micro-brew craze that has swept the nation.  To some a beer, is a beer, but to others, a beer should be crafted with love, something Budweiser and Miller just don't offer.  Crabby Kim's has weekly special's on food and beer, but outside of that, they're a bit pricey.  However, it's a good place to watch a game, and most of the bartenders are good eye candy.  Just remember, you can look, but you better not touch!",0.9825,0.79,0.185,0.025,0.5033208020050125
2011-08-04,4.0,"Yes, the bartenders are in bikinis but the bartenders and customers are usually very friendly and will let you get into whatever bar conversation is going on. On Saturdays, ALL the draft beers are $2.50 including Hacker Schor, Blue Moon and Heineken!",0.7834,0.853,0.147,0.0,0.375
2011-07-10,1.0,"What a creepy dump.  We were on an exploratory trip around the dives in the area so obviously Crabby Kim's was on the list.  Filled with creepers and a bartender that was completely lit, we left when we couldn't get her attention away from whispering sweet nothings into some sleaze-ball's ear.",0.1027,0.894,0.057,0.049,0.575
2011-01-17,4.0,"THIS IS A DIVE BAR. People need to keep that in mind when going and reviewing. The girls who work there know very well what they are getting in to. If you don't agree with the bikinis, don't go. The $3.50 burger was pretty good, but only worth the price on Sundays. The fries weren't too bad. The burgers are charbroiled, so they have that nice grill taste. $10 buckets on Sundays is also a pretty good deal. It's a great place to watch sports. The staff is really friendly as well!",0.989,0.664,0.323,0.013,0.6833333333333335
2010-12-02,2.0,"The bartenders at this sausage-fest are forced to wear bikinis.  Oh that's not enough for a 2-star rating? Really? Ok.... I'll continue.  I got duped into going here by some friends after a Bulls game. The place isn't that bad I'm told. It isn't as creepy as you've heard they say. It doesn't have the grimy feel of a strip club they claim.  They, of course, are very, very wrong. There is a beat up, crust covered, wall mounted machine in the bathroom that sells novelty condoms. NOVELTY CONDOMS. And trust me when I tell you it isn't there to be kitschy or ironic. Creeeepy.  The interior feels like Hooters Junior with it's heavily lacquered, bleached wood. It does have plenty of TVs for sports, they did have Lite bottles for $2 and the bikini clad bartender was very nice. I'm not saying that this awful little place doesn't have merit for some. I just don't ever need to be in a bar with 20 middle aged, white dudes all smelling like cheap cigars and honestly believing the bartender is into them.  The drinks were cheap, the bathroom was disgusting but the wings smelled good.  Not my scene.",0.7137,0.84,0.094,0.066,0.6233333333333333
2009-11-18,4.0,"I went there with a friend to get something to eat and had always heard about this place. It was pretty nice, the bartenders were friendly and attentive, the food was cheap and Miller Lite bottles that night were only $2. I would go back again.  They have enclosed tent out back to smoke in which if you're a smoker during bad weather  or winter helps. I think this No Smoking law sucks myself, and I'm not a smoker. But it's wrong for government to tell people how to run their business. If people knows there's smoking there, than don't go there.",0.5719,0.768,0.132,0.1,0.6333333333333333
2009-10-23,3.0,"Lucky there be some nice bikinis at Crabby Kims, cause the food aint too good.  The bartenders are friendly,and attentive, and the service is quick.  The food, while inexpensive for the specials, is not the best.  The burgers were undercooked, and the wings were way too overwhelming.  Think the lunch cook may need some more training.  But getting back to those bikin's,  YES VERY NICE!",0.8446,0.75,0.177,0.073,0.6633333333333333
2009-09-20,2.0,"I decided to come for a burger and a beer or two. My expectations weren't very high, but was intrigued by other reviews stating that the burgers were 'close to Kuma's'. Pros:  The service was friendly and fast. Our burgers were only three bucks (Sunday special) and drinks were cheap.  Cons: The food wasn't very good. They use frozen patties, mine was very undercooked on one side, and their beer selection sucks.  The place was dark, dingy, and seedy. This might be great if that's your thing.",0.6446,0.828,0.103,0.069,0.5815357142857144
2009-09-11,2.0,"went to a bar the other day called Crabby Kim's - the original bikini bar. it was pretty much what it said it was. if you add a bunch of sad alcoholics, throw in a handful of day workers and the women behind the bar in bikinis have bruises all over their fat arms and legs. but hey. $3 heinikens and Italian beef sandwichs that i wouldn't feed to a dog. oh and did i mention it's 2 blocks from my house and opens at 7am. hot diggity.",-0.1655,0.903,0.045,0.052,0.609375
2009-09-08,4.0,"Nice boobs and cheap drinks. God made you a happy place... Go forth, be at peace.",0.9022,0.476,0.524,0.0,0.9
2009-07-14,3.0,"Girls in bikinis! Girls serving me in bikinis! Girls in little string bikinis!  Meh, it wasn't as good as it sounds, trust me. Yes, there were girls in bikinis, but only two and, although attractive, they were not the friendliest. Come on, I'm a girl, not some dirty old man who seemed to be eye f*ing you...Granted, the guys do spend more money on you, I guess.  It's a total dive bar which is completely cool with me, but the middle-aged men and drunk guys are not what I strive to be around.  Besides the girls I was there with, the only other highlight of the evening was meeting a girl who worked there, but was off at the moment. At least she was nice (thanks Mayra for showing me how nice the girls can be there).  Oh, and on Thursdays, you do get a pretty good deal with $3 burger and fries...guess that's a deal I can take or leave; guess I'll be leaving it.",0.9578,0.763,0.161,0.076,0.6986111111111111
2009-07-13,3.0,"note to self: do not show up at crabby kim's alone on a thursday, especially if there's a game on. i arrived early for once in my life, and there was absolutely nowhere to sit, and minimal standing room. when i set up the strip club event last month, some people were worried about being surrounded by the strange, lecherous men that are stereotypically linked with these places. at pink monkey, we hardly saw anyone fitting that description. crabby kim's was a whole different story.....  i'm all about girls in bikinis, but there was something a little weird/contrived here...... i mean, the strip club is one thing, but do i really need to see some old dude handing over a fiver so the bartender will jiggle her tits inside her top while rolling her eyes? nah. nice concept, but not enough fun or sexy to be your main selling point. nice looking ladies, excellent cheap burgers (huge, tasty, and come with fries for $3.50), and top shelf drinks for $3 on thursdays (though comes in little dixie cups, is somewhat weak, and they don't have ginger ale). i would go back if i was in the neighborhood, but i'd think twice before going out of my way.",0.8869,0.834,0.098,0.068,0.5345052083333333
2009-06-30,3.0,"Ok, it's been a bit since I was there last, but since it looks like the annual tour is comin' up once again I might as well do a quick chime off... The bar could use a lil update, as it's most definitely a dive...which is great and all for what it's worth, but i just don't like sticking to ""wood"" paneling when i lean on the wall... Last time I was there I believe the waitress was 19 yrs old and in a bikini top, which was by far the high point...especially when she was the one working the fryer and subsequently putting on a dominatrix show with the jalapeño poppers as the hot grease would occasionally jump from the fryer and scald her pale firm stomach causing her to leap backwards in... ecstasy? Mmmmm... poppers.",0.9827,0.782,0.206,0.012,0.40166666666666667
2009-05-15,4.0,"It's a dive alright, but the rumors of surly and unattractive bartenders is bold face lie. I used to drive past this joint on Western Ave. and a bar that has bikini clad bartenders sounded like a winner to me. There was only one bartender and a dude cooking the food and I do have to say she was quite the attractive lady. The food was really good as well.  I will be back and probably it will be a weekend.",0.9687,0.693,0.266,0.041,0.5023809523809524
2009-02-26,5.0,"As a woman, I feel a bit creepy saying this is one of my favorite bars. As a drinker, I have no problem saying it. The drinks are phenomenally, ridiculously cheap, especially considering that they don't use the plastic 2 liter jug stuff here. Kim does not skimp on the quality liquor! I've never had anything I didn't like, which is due in large part to the helpful staff. The women who work here are friendly, helpful, and yes, super pretty. Why opt for high schoolers in nude tights and slouch socks (HOOTERS) when you can see gorgeous, unskeezy women in bikinis? I'm not attracted to women but I appreciate a beautiful woman when I see one (who doesn't?), and they're plentiful here.  The food is always really yummy; Paul the cook/manager is awesome at what he does. The floors are cleaner than you'd expect, the parking is plentiful, and the many plasmas and the gigantic exotic fish tank put this place well above and beyond your basic bar.  Yeah, the clientele can be a little weird, but I've never been made to feel uncomfortable. And from what I've seen of Kim in action, he'd never let a degenerate or asshole wear out his welcome.  I don't understand why people think this is some kitschy, one-trick pony. Why go to a standard bar with overpriced drinks, sullen bartenders, and questionable food when you can venture a few blocks out of Wrigleyville and end up here?",0.9809,0.745,0.174,0.081,0.6398168498168497
2008-10-07,4.0,"I have no idea how anyone can rate this place 5 stars. Yes, the burger is delicious. Yes the drinks are cheap. There is something off putting about being in a bikini bar though. When asked if the waitresses came to the tables she advised me no, due to too many wandering fingers.  Seriously, this place is full of perverted old men ogling young women they would never have a chance with.  Way better than Hooters ever could be though.  I just can't find myself rating it five stars. When I left I felt like I needed a shower, I just don't know if it is from the greasy (but really delicious and cheap) food, or being surrounded by perverted old men.",0.6553,0.752,0.137,0.112,0.5224358974358976
2008-07-02,5.0,"One of the best dive bars in the city. What dive bar you know has bartenders in bikinis and great burgers? And if you want to go out on a Saturday night to have a few drinks and not deal with all the crowds, this place is (usually) not crowded. Drinks range from cheap to average. And they have specials every night (my favorite is the half price burgers).",0.9118,0.833,0.167,0.0,0.4583333333333333
