date,star,text,compound,neutral,positive,negative,subjectivity
2017-03-04,5.0,"Damn........just went by here and the place burned down:( Been going here for over 30 years, love there blt. Guess they will be opening soon.....can't wait. Never realize how much you miss a place until its gone.",0.5574,0.854,0.106,0.04,0.5222222222222223
2017-01-13,5.0,"This place had a fire on Christmas Eve but very excited for the Re-opening.  Great place for a quick bite or to seat and enjoy breakfast, lunch and/or dinner.  Don't forget to follow them on Facebook, they have a new page!!! m.facebook.com/dinergril…",0.9491,0.653,0.314,0.033,0.635909090909091
2017-01-03,5.0,No worries all - it should be reopening in March. Only have to wait two more months for delicious patty melts. chicagotribune.com/dinin…,-0.0094,0.668,0.147,0.185,0.8333333333333334
2017-01-02,5.0,"Upset to hear about the fire. I've had  many quick lunches at this place, and it's great for what it is. No gourmet food, no fancy coffee, nothing to surprise anyone, but the skillets are good, the fries are good, the chili is good, and the price is always right. Not too many seats, but the service is quick. As tiny local diners go, this is one of the best I've seen.",0.9501,0.689,0.221,0.09,0.4904761904761905
2016-12-28,5.0,"Saddened by the tragedy that befell this joint on Christmas Eve, of all nights. Figured I'd write a glowing review in hopes that they are able to get back on their feet and some day reopen!  Places like this are quintessentially American - the classic, 24-hour greasy spoon. Perfect for the shift worker who's starving after punching the clock at the factory all night to my drunk ass at 3 a.m.  Friendly staff, efficient line cooks, and dandy grub. In the event they do hopefully reopen, they have amazing milk shakes. Order the slinger. You won't regret it, but may want to split with a special friend.",0.9146,0.706,0.207,0.087,0.5292328042328042
2016-12-27,5.0,So sad to hear about this place being on fire over the xmas weekend.  This place is a city icon and needs to be rebuilt to it's old school glory.  Hope this happens.,0.1548,0.697,0.159,0.144,0.6
2016-12-02,5.0,"Omg what can I say about this place. It's a must go to place.  Please don't Let the look of this place fool you into not eating here. It's been here for years and years. When you walk in it's about the size of a train maybe, long and small.  That's what makes this place awesome.  The cooks cook your food in front of you and it's pretty neat to watch them cook. The prices are very good, and they fill your plate with food. The food is amazing but if you are here to eat healthy , this place is not your place.  They are open 24 hours. The staff / cooks there are friendly.",0.9493,0.819,0.166,0.016,0.6644444444444445
2016-11-26,5.0,"True fact: ate here twice in a two day period. Your classic short order grill straight from the 1950s. Counter seating only. Eggs, French toast, pancakes, burgers, omelettes etc. we had a party of 8 both times -- service was fast and efficient. And the food was excellent. Nothing fancy , no salads, nothing healthy. But delicious. Btw the name is actually the Dinner Grill.",0.7539,0.713,0.187,0.1,0.5196969696969697
2016-11-20,5.0,Best diner ever! I usually go with the corned beef hash because they cook breakfast like absolute pros.,0.7901,0.682,0.318,0.0,0.4833333333333334
2016-09-28,4.0,"Great drunken stop for food!  Kenny, the nightly and weekend chef, was awesome!  Food is what you would expect for the type of place but it surprised me !  Got the French toast and eggs.  Definitely appeased my drunk self",0.86,0.628,0.279,0.092,0.6916666666666668
