date,star,text,compound,neutral,positive,negative,subjectivity
2016-09-28,2.0,"I'm so sad, I really wanted to like this place so I made a 40 minute trek before work. I ordered two doughnuts to get the full experience: a cookies and cream cake doughnut, and a chocolate cream filled yeast doughnut. So, here's my problem. The cake doughnut base was actually really good! If it had been plain, I probably would have give this place 3.5-4 stars. The cake was moist and flavorful. But it was topped with a thick layer of hard glaze and cookie chunks that completely sucked all the moisture out of it!  Then I tried their cute ""doodle"" doughnut, where you get a little tube of frosting to draw on your doughnut. A few complaints: the frosting tasted artificial and was not my style at all (and I normally love all types of frosting!). The cream filling is not a buttercream frosting but a liquidy relatively unsweet custard. Which would have actually worked well, if the frosting had been good. But as it was, the whole dish basically fell apart.",0.8409,0.853,0.094,0.054,0.5433583959899749
2016-09-20,5.0,"We were in Old Town for a weekend Eagles/Bears game from Philadelphia. Doodles was perfect, nice atmosphere & more importantly ... bacon. I had the candied bacon & my boyfriend had the smoked bacon which were both delicious. We also paired our bacon slices with a specialty donut that was just as good. A great spot we would definitely return.",0.9701,0.676,0.324,0.0,0.695
2016-09-09,3.0,"Doodle's is good. It's no Stan's, it's no Beaver's, it's no Glazed and Infused and it's definitely not Gurnee Donuts (my fave); however, it is better than Do-Rite! I got an assortment: vanilla frosted with chocolate filling (BEST, most moist, and absolutely delicious) maple bacon (A sad, dry attempt at competing with their competitors on this one. Much better elsewhere. Skip) Blueberry with fruity pebbles (no. Just no! Dry, odd flavor combo. No) Samoa - yep, like the girl scout cookie. (My second favorite and a very unique donut. Never had anything like this one) Apple fritter (bleh! I've definitely 100% have tasted better ones at the aforementioned shops. This one was way too light on the Apple taste and oddly enough not sweet enough) Regular vanilla with chocolate icing (one bite and the rest went in the garbage. Dryer than the sahara).  Definitely stick to Samoa or the filled donuts here. Otherwise, doodle your way over to another shop.",0.9337,0.745,0.165,0.089,0.5490384615384615
2016-08-29,3.0,"I dig doughnuts. I dig doughnuts more than donuts actually. Although both are the same thing grammatically, to me in my mind dough-nuts satiate that sugar rush. The latter, donut, is a contraction and in that sense think of what Dunkin' Donuts puts out. They're different. True doughnuts are what Stan's, Do-Rite, Donut Vault, Glazed and Infused, Firecakes and a few more do on the daily.  My most recent doughnut trekking brought me here. The ability to enjoy doughnuts and bacon couldn't be passed on. Pricing was about the norm (most finer doughnut purveyors are higher in comparison to chain donut shops. The difference of ""artisanal"" doughtnuts versus mass produced variety like Dunkin') and flavors of doughnuts sounded interesting but that's where the excitement ended for me. The doughnuts didn't have that texture or taste of a doughnut I'm particular to. Think of any of the above mentioned brands for examples. For instance how the doughnut held the tasty components. Did they work together or were they individual. In this case, it was individual and not working together.  I shared an assortment with my coffee group and sought their experiences. Tried the Boston creme, Pink lemonade, Cinnamon crumb and a couple others. The donut toppings were all tasty in their own ways but as a whole didn't capture my attention. Unlike any of the competitors I'd listed in the previous paragraph, these doughnuts were bready and if we were to remove the glaze or sweet cremes it'd probably be used as a component to accompany a soup or stew.  Their flavored bacons are their own story. Having them displayed on white plates made them all the more appetizing. Displayed atop the counter in this playful, whimsical environment it feels as though one could grab a strip or three and happily chomp away. So long as a hot cup of Metropolis coffee is waiting to accompany the taste bonanza. With a bacon purchase, at any time of day, one could relive that morning excitement. The strong hints of good coffee paired with that first tasty bite of good bacon. For me, it's curry-ginger every time. I've been back twice since for bacon or bacon and coffee. (Bacon strips are wrapped in paper lined aluminum foil. Keeps it warm and keeps your fingers neat.)",0.9917,0.878,0.115,0.006,0.4418859649122807
2016-08-24,3.0,"I wanted to like this place more than I actually did. It's really cute and when I walked in, I was greeted by wonderful smells and a smile.  The donuts looked wonderful, but for me tasted just better than average. I had the apple fritter and maple bacon.  I appreciated that the donuts were not super sweet; some places overdo it. But these could have used more sugar.  A-ok is right but I don't think I'll be back.",0.8676,0.685,0.23,0.085,0.5037414965986395
2016-08-24,3.0,"Been here only once but it was a nice experience...even if the doughnuts were $3 to $4 each. Nice ambiance to the store...we were greeted warmly as we entered...which is always a nice start. The doughnuts were creative...with many different tastes. The main problem is the price point.  With such a high price point they do not operate on quantity like a Dunkin Donuts, but more on quality and creativity. They had a nice selection of different even quirky doughnuts, but they all weren't of the freshest quality. This should be expected, since they can't have a huge selection of ever changing doughnuts in each category...they just don't sell enough to do that. The doughnuts we had were nice, but not worth $3 a piece.  The bacon offerings were nice...but also suffered from the price point problem. All-in-all this was a nice place and experience, but I don't think they'll make it over the long haul. The price point is just too high. Just my opinion.",0.9648,0.736,0.182,0.082,0.6824242424242424
2016-08-21,2.0,"Ehh. I picked up an assortment to taste. Here's the summary:  nice service/space but bad doughnuts.  -First taste was pink lemonade. Recommend, good balance of tart and sweetness. -Smores. Pass!! Overly sweet and reminds me a lot of what you can get at Mariano. One bite and I had a sugar overload shock. -Raised glazed. Pass and miss!!! Dry, not soft raised yeast like Stan's or Doughnut Vault's.  -Jelly filled. Common theme of Doodle's yeast doughnuts is dryness. Filling was berry mango. Eh. -Samoa. Toppings made it worthwhile, love the amount of coconut. Texture was a bit dense. Note for gluten free folks. Options were made of rice flour, which is a solid alternative. But they ruined them by making a donut sandwich of sorts with lots of frosting.  1 star for quality and taste. They were of grocery store quality. Plus 1 star for space. Plenty of room to sit and stay unlike other doughnut shops in Chicago.",0.9662,0.713,0.195,0.092,0.5516666666666665
2016-08-07,5.0,"Delicious and addictive donuts! Super soft and fresh and fun flavors like pink lemonade along with the classics like Boston cream. They brew metropolis coffee and have the basic cold brew, espresso, cafe au lait. Wish there were some fun lattes to pair with the donuts but the crative twist to ""doodle"" on donuts or on tables is a casual place for some yummy donuts! Drooling to go back!",0.9627,0.709,0.291,0.0,0.5090277777777777
2016-07-25,2.0,"Doodle's has a cool concept with their namesake. You get a white iced donut and a packet of colored frosting to doodle on your donut. This is a fun idea and I'm sure kids love it! I went in excited to try their donuts and also their cool flavored bacons. I left still excited to try my donuts but after eating everything, I was underwhelmed. Devil's Food Donut $3.25 - Very small in size, decent in taste but not nearly as chocolate-y as I would imagine. Cake of the donut was just fine but bordered on being dry.  My friend and I also tried one of each bacon they had that day - Smokey Bacon ($1.35), Candied Bacon ($1.65) and Curry Ginger Bacon ($1.65). The smokey bacon and candied bacon were both quite good with the candied bacon edging out the other slightly....which isn't surprising because it had brown sugar on it! Nomz! The curry ginger bacon though fine in flavor was a bit of a nightmare. The goo topping stuck all over my mouth, got caked onto my teeth, required immediate flossing to alleviate my poor teeth of their troubles. It was not an appealing texture for a food and no fun to get stuck to everything it touched. I was worried about it clogging up my esophagus and leading to a sudden death. I kid...slightly. I can't say I fell in love with Doodle's, sadly. I think they have a cool concept but the flavor profiles need a bit of tweaking and the goo on the curry ginger bacon needs some serious help pronto.",0.8819,0.744,0.149,0.107,0.5333547008547008
2016-07-21,2.0,"While I loved the dough, the filling in both the doodle doughnut and the Boston Cream was not good. It was too sweet and overpowering. Both doughnuts were left unfinished. Wish i could say that they were better since I loved the atmosphere.",0.9324,0.644,0.311,0.046,0.5583333333333335
