date,star,text,compound,neutral,positive,negative,subjectivity
2016-06-22,2.0,Have been to Fairways twice. First Time we had lousy service and didn't come back for 2 years. Tried again tonight and it's Dead and depressing. We ordered a cider and they didn't even any. Just feels like they don't care.,-0.8892,0.686,0.05,0.263,0.42666666666666664
2016-06-07,5.0,"Mark and his staff at Fairways were absolutely awesome! They accommodated our crowd of 20 and the staff was everything we could ask for. They were very available and willing to meet the needs of the crowd. On top of having a fun and energetic evening, the staff made sure we were satisfied and had a great night. The ambiance was everything I expected and more. I will definitely be back and will be sure to spread the word to others to check this place out! The food was great, the drinks were great, the staff was great, the golfing was great. Could not have asked for any more.",0.9922,0.677,0.323,0.0,0.6332098765432099
2016-06-06,5.0,We went on a recent Friday night and were impressed with the quality of the food. Not your usual tavern fare. The street tacos and flat bread was especially good. Also excellent drinks from a friendly bartender.,0.9254,0.697,0.303,0.0,0.5892857142857143
2016-05-16,5.0,"So enjoyed the Brunch menu....from the luscious, warm beignets to the cinnamon swirl French toast with slices of duck you will love breakfast. Lunch is just as delectable with pulled pork/frites/farm cheese curds or veggie skewers of mushrooms, peppers, and Amish chicken over a bed of warm hummus...",0.9381,0.731,0.269,0.0,0.575
2016-04-06,3.0,"This is a good local area for a drink and bite.   I've been numerous times and service is not consistent.  The last time there, it took over twenty minutes to even place a drink order, and another fifteen to receive them.   The service remained slow the rest of the day.   Other times have had slow points, but this was by far the worst.  I've been in big and small groups.  The food has always been enjoyable.  Nothing memorable for being outstanding, but a good place visit.",0.8591,0.787,0.155,0.058,0.5104166666666666
2016-02-13,5.0,"Great food, great service AND we love the indoor golf. Perfect way to get our golfing fix in!",0.9545,0.461,0.539,0.0,0.775
2016-02-06,4.0,"I enjoy the concept and love the decor. It's a very spacious bar for Lincoln park, so it's great for crowds. Food was decent, but could have been better. Many standard items like nachos or charcuterie plate were meh, but the bison poutine was a winner.",0.9598,0.63,0.345,0.025,0.47708333333333336
2016-01-30,3.0,"Came here for the bottomless brunch. The atmosphere and food were great. It's a small breakfast menu but we ordered 4 different dishes and each was delicious. Gave it 3 stars for the terrible mimosas. We each had a good 7-10 drinks and left sober. The orange juice to champagne ratio was easily 3-1. So if you want to get your vitamin c fix, come for the bottomless brunch. Otherwise get the food and skip the mimosas.",0.9505,0.71,0.244,0.046,0.5981481481481481
2016-01-17,4.0,"Fairways delivers on the plate as well as the glass. They have a solid bunch deal at $25 for 1 brunch item and bottomless mimosas in Saturday's and Sunday's.  The nightlife here is severely underrated. I've came here the last two Saturday's and music, crowd and drinks were all on point.  Never tried the golf simulation.",-0.0772,0.884,0.064,0.052,0.08333333333333334
2016-01-10,2.0,"Pretty dissapointing! I had been looking forward to going to this restaurant for a while. We went in to grab some lunch and watch some football.  $50 got us a chicken club, primerib sandwich, a mimosa and a beer.  The chicken club had nothing to it. It was WAY more bread than anything else. Didnt even seem like a whole chicken breast for the entire sandwich. I was very hungry and left the restaurant still mildly hungry. (You do no get any side btw - we heard a guy get pretty angry at the table behind us.)  The prime rib sandwich was good. However we were charged a dollar more than on the menu and again...no sides so worth it? Prob not. The beer/mimosas were at a good price  (didnt qualify for bottomless mimosa because I wanted lunch :( )  Our waitress was great!! The only reason we would even think of returning.",0.918,0.799,0.137,0.063,0.6712499999999999
2016-01-02,5.0,"We went here to celebrate New Years Eve 2016 based on a recommendation from a friend, though we had never been there previously. Overall we were very pleased with the decision! It was mostly late 20-mid 30s and was not overly crowded at all. We paid $65 for an early bird ticket and were able to reserve a table for our party at no additional charge, though we had the option of adding bottle service for a fee. Our coats were immediately checked as we were shown to our table.  Passed appetizers started around 8:30 and there was also a buffet dinner that was refreshed periodically throughout the night. I thought everything served was tasty and much higher quality than any other NYE bar food I have had. They served things like crab cakes, flat bread pizzas, chips and guacamole, bbq brisket, shrimp and prosciutto crostini, etc.  Overall, I was most impressed with the drink selection- top shelf liquors were part of the ticket price: Grey Goose Vodka; Titos; Makers Mark Bourbon; Knob Creek Bourbon; Don Julio Tequila; Glenlivet 12yr Whiskey; Hendricks Gin in addition to standard stuff like Captains and Svedka. I drank Moscow Mules and Dark and Stormys all night- and they had real ginger beer (not ginger ale) which made me a very happy customer! I saw many other customers with drinks that are rarely offered for large party events because they are more time consuming or liquor heavy, like manhattans, long islands and old fashioned.  The DJ was also rockin-- he read the room really well. While there was not a defined dance floor per se (and it would have been nice if they turned down house lights once people did start dancing) people definitely got up to dance and they  had consumed more liquid courage. Once the DJ found a genre that the crowd appreciated he played a lot of crowd favorites and his transitions from song to song were spot on. Lastly, it's not on a crazy crowded bar street so it was very easy to catch a cab after the party wound down-- which is a huge plus on NYE nights when you're often fighting with a lot of other people trying to catch a ride.  I would definitely head back to this bar for both drinks with friends and future NYE!",0.9959,0.82,0.168,0.011,0.4565223665223665
2015-12-21,4.0,"Great food, good atmosphere. Only one waitress who had to do all the running back and forth. Their kitchen is upstairs which makes it a bit hard and totally inconvenient. Lack of the service aka just one waitress is for taking away a star but other then that the food was wonderful. Will be back",0.7727,0.766,0.156,0.079,0.5851851851851851
