date,star,text,compound,neutral,positive,negative,subjectivity
2016-11-23,5.0,Very good restaurant in very hip area. All the beers are very very good. Staff knowledgeable and friendly. Beer sampler super amazing. The best was called dual citizenship Belgium style stout. Thai chicken wings were excellent.,0.9796,0.51,0.49,0.0,0.6862962962962963
2016-11-17,3.0,"Went out to Finch Kitchen for a Puzzled Pints event on a Tuesday night. There was actually a wait for a table downstairs but thankfully there were some reserved upstairs for the event. The space is pretty cool; it's like a giant farm/warehouse with views of the brewing equipment. Our waiter was really nice but service was very slow. The poor guy had way too many tables to look after. My friends and I each did a flight, which were very reasonably priced. The beer was...blah. Several of them tasted really funny. The only one I liked was the Dual Citizenship, which was their dark beer offering. I love to support our local breweries but this place is way behind Begyle/Dovetail/Empirical/etc... not to mention the bigger guys. We also ordered some food, which was OUTRAGEOUSLY expensive. $15 for a sausage on a bun and one side. $14 for a thin double patty burger and fries. $6 for sides a la carte. Where are we, the West Loop? My beer brat and german potato salad were fine, but good gracious it should have cost half that much. Will likely not come back, sadly.",0.9932,0.718,0.238,0.043,0.557471264367816
2016-11-06,5.0,"Our son was at a birthday party next door at ""Junior Ninja Warriors."" The hosts mentioned that the adults could go to Finch Beer and Kitchen Co. which is right next door. Let me tell you that this turned my Sunday around!! I recommend the Food and their Home Brews! I ask you to PLEASE, PLEASE belly up to the bar, expecially If Colin is bartending he will take care of you! Funny, knowledgeable, personable! Thank you for hiring this dude! He will not be disappoint you.. Ya know theirs a saying...""When your good, your good!"" Colin my friend, you are great! Thanks for the Hospitality! When I come back, and I will, I hope your serving! Cheers!",0.9908,0.696,0.304,0.0,0.40952380952380957
2016-11-03,3.0,"I like the atmosphere.  Service is good, but you come to a place like this for the beer.  Finch's beer is perfectly drinkable but not something to go out of your way for.",0.9144,0.679,0.321,0.0,0.8
2016-10-21,4.0,"This place is focused on beer but, of course they have a full bar. I am not a huge beer fan but the ones I tried were very good.  I'm sorry that I don't have words for beer beyond like and dislike. Atmosphere-wise the place is a cool looking cavernous space with highlighted viewing of the beer making equipment.  The front facade of large windows push out of the way during nice weather to give a real open-air feel.  The only downside is that, perhaps because the interior is entirely made of hard surfaces, it is loud in there.  I mean all places this size will be loud but it seems louder than it should for the amount of people that were there when we visited. Food-wise I was a bit disappointed as that the menu is mostly a variety of sausage-like things and I would have ordered almost anything else as a first choice. For me, sausage-like things are something that seems better when grilling with friends in the backyard. But we did like what we had.  The things that come with your sausage, as described on the menu, turn out to be an amount that is more like a garnish. With all that said, I still give it 4 stars and we will return.",0.9289,0.789,0.131,0.08,0.6655827067669173
2016-10-10,4.0,"I love the look of the place and the location. It's nice to see such a beautiful place serving fresh beer brewed in town in the Albany park area. Also the food was great. My wife and I weren't going to eat but we saw the menu and decided to give it a shot. We weren't disappointed at all. However we hand a flight of beers sampling all of their different beers 8 in total. I liked about half of them. The other half weren't very good. Which is why I give 4 stars. But I would definitely go back, order the kettle sour, and try some more of their food!",0.9678,0.754,0.218,0.028,0.5493137254901961
2016-10-10,3.0,Beer is good and food is pretty solid also. Only three stars because the seating is wicked uncomfortable.,0.1779,0.487,0.288,0.225,0.74
2016-10-09,5.0,"I live in the neighborhood and frequented breakroom quite often, so I had high expectations for finches when it first opened.  My first experience was not the best, but I'll attribute that to them working out the kinks.  Which they did.  The food and beer menus are constantly evolving and improving. The service is top notch.  Our bartender Colin is very informed about the menu and all the different types of beers they serve. He always takes great care of us.  So if you haven't been here in a bit I strongly recommend giving finches another shot.  Would love to see more successful bars and restaurants in the neighborhood to compliment Angelo's and finches so get out and show your support.  My favorites are the double bird burger,  crispy chicken sandwich,  and the sausage selection is great.",0.9951,0.682,0.306,0.013,0.527843137254902
2016-10-04,2.0,"I'll lead with the best thing about this place, which was the service.  Our waiter was so personable and knowledgeable and generally delightful that when he asked me how I was enjoying my beer flight, I lied through my teeth and told him it was good.  I just couldn't bring myself to disappoint the man. Because the beer was not good. As an enthusiastic beer nerd, I know what to expect from a good sour, witbier, or dubbel, and I know what I like.  I found three out of four of the beers in my flight to be bland, unremarkable, and not particularly good examples of their various styles.  The only one that didn't entirely disappoint was the Bramblin' Man. The food was a mixed bag as well.  I was perfectly happy with the raclette (although it's hard to screw up melted cheese) but thought the loaded fries were over-sauced, with a mayonnaise *and* a curry aioli *and* the yolk of the fried egg.  It was all just kind of wet and off-putting, rather than decadently messy. With so many brewpubs in the area serving better brews, and the just OK food, I don't think Finch's Kitchen will be seeing me again any time soon.",0.9604,0.789,0.153,0.059,0.6022727272727273
2016-10-02,4.0,"I deeply appreciate having access to a brewery and strong kitchen without having to travel to Lakeview, West Town, or points further south. I wouldn't say Finch's Beer Company has climbed to Goose Island levels of greatness, but the five beers I had: Cave of Chauvet, Plumage, Bramblin' Man, Western Exposure, and Oktoberfest were all good to drink, with Cave of Chauvet, Bramblin' Man, and Oktoberfest offering up some memorable flavors. For food, we had the chicken wings and the loaded fries. Wings deserved credit for being the whole wing, from tip to drummette, but were sadly under-seasoned. Loaded fries were excellent - the fry cook(s) know what they're doing back there and all the toppings blended together in an addicting fashion. I'm getting hungry just thinking about it.  Finally, our server was exceptionally cool about splitting items between separate checks. Yay for advancements in point-of-sale software.",0.9672,0.826,0.151,0.023,0.6333333333333334
2016-09-28,5.0,Met my buddy there the other night and had a great time.  Not a lot of people there because it was a Tuesday but a handful at the bar and tables.  Service by the bartender was great and she was friendly.   Had the chorizo sandwich was fantastic and my friend has the thai lime half chicken also very good and spicy.  Both had some nice after heat but not too much. Beer was good of course.   Highly recommend checking it out.,0.991,0.644,0.356,0.0,0.6259722222222223
2016-09-23,2.0,"When Breakroom Brewery closed, everyone who cares about craft beer in Chicago immediately began speculating who was moving in. Then Finch's was like ""it's us, guys!"". Then there was a giant f*cking sad trombone sound echoing throughout the Chicago craft beer community.  As much as I don't like them, your boy was still curious. I knew they were acquiring a nice space, they were debuting new beers, & I think I even heard something about a change in ownership. This was their opportunity to not suck. But sucking is just what they do. Their beers were as uninspiring as ever. I came here half in the bag (ok, lets be real. All the way in the bag) from going to other (better) breweries on my birthday, and still I could taste the sadness in Finch's beer. Even past beers I once enjoyed, they changed the recipes so they would suck. All I could hear was the Adam Sandler line in Billy Madison: ""YOU BLEWWW IT!"" Props to the kitchen though for their bomb ass loaded fries.",0.8719,0.802,0.131,0.067,0.5297474747474747
2016-09-23,1.0,Over priced! Served one chicken wing that was still red inside. All wings were extremely under fried and came out almost grey in color. Bus boy tells me they pre cook everything so there's no way it could be undercooked! Tell that to my bloody chicken wing!! I mean how can he say that with a straight face. This also reveals that they turbochef their food (expensive microwave)--gross beyond belief. To top it all off after ordering an ipa was served a belgian. Will not ever return. It hurt to pay the bill.,-0.8289,0.837,0.037,0.125,0.61875
2016-09-21,3.0,"Soooo... I finally visited Finch Kitchen. I used to be a fan when it was the Breakroom and was sad to see that go. Naturally, I had to check out its replacement. There are a lot of plusses going on here but a few things that could be improved upon.  The beer. I much prefer the beer offered by Finch than Breakroom (sorry guys). I'm a fan of the taco cat sour. The saison I tried on my visit was pretty good too. I also appreciate the nice cocktail menu. The staff. I never really had issues at BR but also do not recall them being quite as friendly as they are at FK. The space was nice before so that hasn't changed much. Thankfully the beautiful bar built for BR is still in tact. But those high top table stools? Those suck. They are uncomfortable and I felt like I could take a tumble at any moment. I hope they consider changing the seating if they really want us neighborhood folk to stick around for a few brews and some grub.  Speaking of grub, the fried chicken kimchi sandwich was quite tasty. Also tried the burger and it was perfectly fine but nothing special. I preferred the burger at BR as they had add-ons that made it truly decadent. However, the fries at Finch are so much better and this makes me really happy. The sauces they serve with their fries and sammies are bomb too. Dessert is solid. The warm pretzel was OK. I was kind of perplexed by the sausage dishes. None of them sounded appetizing to me in the heat of August. I'd appreciate those offerings more if served in a bun with some chips. Save the heavier presentation for Fall & Winter.  Like I said, a lot of plusses and a few ""ehs"". Will I be back? Absolutely. A lot of positive changes here. I'm confident that over time, some tweaks will be made so that Finch can really knock it outta the park. Happy to have this place in the 'hood.",0.998,0.692,0.253,0.055,0.5856465756465755
2016-09-15,4.0,"My husband and I went to Breakroom in the first week or two it was open. The crowds were excessive, the food was only okay, the beer wasn't great, and the service wasn't either. So when we found out The Finch Kitchen was going to replace it we were intrigued. We were there also in their first week or two and had none of the issues we had with Breakroom. The beers were all good (one was even good enough that I re-ordered it - which I never do). The food was also solid, I especially like the bar snacks that they serve in paper bags so if you don't finish them you have snacks for later. The chickpeas especially are good. The staff is animated, fast, and friendly as well. We've already been back twice since then and I've been recommending it over our old favorite (Rev) due to the ability to hear your dining companions and the excellent service, solid beers, and decent food.",0.9738,0.812,0.17,0.018,0.5524305555555554
2016-09-10,5.0,"Love The Finch Kitchen! The beer is good. I appreciate the variety of styles they brew. The Taco Cat is probably my favorite, it's a delicious sour. The food is also great. I always go for the fried chicken sandwich with kimchi. I'm like obsessed with the fries with the sesame aioli, it's crazy good. The beet salad is also awesome. Anyway, I love it, I think the beer and the food are a big improvement over what was there before, and the service is great too. I love that they balance out the kind of industrial design of the place with super warm and welcoming service. It works!",0.9945,0.587,0.384,0.029,0.7064814814814815
2016-08-31,2.0,food was better when it was 'the break room.'  and there were more options.  it's mediocre at best.  but a great space!,0.8883,0.632,0.368,0.0,0.61
2016-08-27,4.0,"Great server, ryan was very knowledgable and friendly. Good food and beer, glad they've come to the neighborhood",0.9255,0.51,0.49,0.0,0.6300000000000001
2016-08-21,2.0,"I LOVE Finch beer and I so wanted to love this place. We arrived at 5:40 PM and had to be in Uptown for a show by 8pm so I didnt think there would be any problem. The 4 of us were led to a booth and seated right away. The waiter came over and gave us menus and then asked if we wanted drinks. My wife is a huge secret stache fan which is one of their signature beers. They were out. So we ordered drinks and asked if we could have separate checks for each couple which they were fine with. It took 15 minutes for the drinks to come. We then ordered our food. One of their signature apps, they were out of at 6pm! Seiously?45 minutes later, the food came. 45 minutes! The food was very good. No real complaints there. The waiter then disappeared. We finished eating, no one came to clear the plates. No one came to ask about dessert. We finally asked another waiter to get our waiter and he told us he was busy but he could take our dessert order. Great, so we gave it to him at 7:05. At 7:25, our dessert had still not come. We finally asked for the manager and said to cancel our dessert as we had to go. He canceled the one dessert but brought us the donuts and comped us on them. Finch beer company is a huge success story in the Chicago Craft beer industry but if they want to have this place be a success, they need to really get some experienced management or this place will soon close. The food and beer is not enough to compensate for the poor service and lack of preparation",0.9531,0.828,0.11,0.062,0.5451927437641723
2016-08-18,4.0,"Awesome bartender and great deal on growler fill up on Thursday for 10 if you Bring in your own growler. Bargain. Just leave your growlers In your car, like I do,  and your set!  Different vibe in here than when I first came. Better staff, and just a friendly vibe and tasty beer.  Going for the heirloom tomato salad to umph up my tilapia and the bartender had some good suggestions that make me think I have time for 1 more.",0.9665,0.747,0.239,0.013,0.6425925925925926
2016-08-17,3.0,3 stars are all for the beer. Food was eh. Disappointing since Breakroom had such good food. Next time I may just drink beer and eat somewhere else.,-0.0772,0.797,0.096,0.106,0.45
2016-08-07,2.0,Went here to try the food....I know it's a brewery but the place is called The Finch Kitchen so you'd figure the food would be good. It was okay at best... very limited menu and the options were not worth the price. Food was bland and menu is very unappealing. Wanted to enjoy this place because it's so comfortable and inviting but food didn't reflect the atmosphere or the high prices. Sorry but don't advertise you have a Kitchen if you only specialize in beer. Definitely not worth the money,0.9585,0.712,0.212,0.075,0.5468498168498168
2016-08-06,5.0,I'd go 4.5 if possible but have the benefit of the doubt. Beer was excellent. I went with the coffee beer and my wife enjoyed an IPA. Food was good and prepared quickly. The only small issue was that we ordered mussels and they came after dinner was served. I'm going to assume they felt it would have been better to bring the food as we were with kids. I'll be back for sure.,0.9757,0.686,0.28,0.034,0.6588888888888891
2016-08-03,2.0,"Craft lames be like ""ermagerd, I came here when it opened!!1!12!"" and I'm pretty much like ""....congrats for going to another average spot?"" Aesthetically, it's nice, I suppose.  I mean, Breakroom had a nice looking place, so they didn't have much to do except throw their logo on things and do some painting and whatnot.  I'll say, the staff was REALLY friendly.  They basically offered a taste of anything we wanted before we even had a chance to see what beers they had and they were very attentive while there. Ordered their fries, which were delicious, but their beer is still lacking.  In fact, the one beer they had that was good, changed.  I know all about the change, but still.  Definitely don't see myself coming back here any time in the near ever.",0.963,0.817,0.172,0.011,0.6062500000000001
2016-08-03,2.0,"Wanted it to work out for Breakroom, and wanted it to work out now for Finch's - sadly both are/were a bust.  The space (even though Finch's didn't do TON of changes from Breakroom) is awesome!  Such a cool venue. But the food and beer are just off...  Had pints, had samplers, had it all; and the beer is just not good.  The only thing I'll say about the food is the cheese/potato/toast appetizer thing is one of the most overpriced, sad things I've ever been served in the city.  Not entirely sure what they were going for, but it certainly made me laugh when it came out... Maybe 3rd time will be the charm?",0.9193,0.813,0.141,0.046,0.6508597883597883
2016-07-31,5.0,"Visited on a Friday shortly after they opened. Sat at the bar and was helped immediately. Colin was the bar tender and he and the rest of the crew were top notch. Service was awesome, staff knew their menu and had great recommendations. I personally felt the price/portion was well on point. Will definitely be visiting again.",0.93,0.772,0.228,0.0,0.5583333333333332
2016-07-18,2.0,"The Finch Kitchen is a nice place to visit, but I wouldn't want to stay here.  Its a sad story, because the beers are tasty and the bar looks great.  The Protestant seating and the so so food will likely drive you away. On the plus side, service is very friendly, and the removal of the large, long communal booths opens the room up and makes it feel more like a proper bar.  The seating which replaces it is a horror show, but more on that later. The house beers are excellent - I had the Plumage (pilsner) and the Drive Thru (Mexican lager), and they were both crisp and refreshing, perfect summer beers.  I also had a taste of the Secret Stache, stout in a can, and it was lovely - nice balance of chocolate and toffee.  As a Noble Bourbon Boozer I also tried the Old Fashioned, and it was superb, right up there with Billy Sunday, of which it was paying homage. The rest of the experience is a solid meh.  The pretzel was still good, but stay away from the pickled cocktail sausages, they manage to be at once bland and too briny.  The burger, while striving for Au Cheval status, falls short, for the bun is too doughy, making eating it a slog.  In the winter I might try one of the sausages but they are all too heavy for sticky Chicago summers, and the cooling system is not up for the challenge of making the two story space comfortable.  They should consult with the Red Lion in Lincoln Park - that place is a meat locker. The final nail in the coffin here, though, is the seating design.  The Finch Kitchen is simply the latest Chicago establishment to fall victim to deluded interior designers who insist that minimalist metal and wood chairs formerly banished to high school drafting rooms and metal shops are appropriate for extended bouts of drinking.  It simply must stop.  Instead of leather backed bar stools with sturdy construction, drinkers must balance on small wooden disks with unyielding wooden backs.   Why you would want to sit in one of those chairs for multiple rounds of bitter is beyond me.  We are not to be ruled by Puritans, are we?  The only respite is 4 or 5 comfortable booths in the back.  If you are not able to snag one of those, your evening of drinking is going to give you piles.  Perhaps you can send them the doctor bill.",0.9928,0.809,0.139,0.052,0.5317781155015198
2016-07-06,3.0,"I've only been here once, but was stoked to support the neighborhood. Slightly disappointed in this first encounter. The salad lacked the peppers advertised and the chicken lacked the flavoring that you would expect. It was as if the skin was flavored but the meat was bland. Needed more marination. I've always been a fan of the yellow bird beer, but was not a fan of the luke warm beer (& water) that they served. I'll try it again though for the sake of the neighborhood.",0.7958,0.836,0.125,0.039,0.6208333333333333
2016-07-06,5.0,"This place is a great addition to the neighborhood and the food I had was extremely tasty. I ordered the Barese Sausage with the polenta and it was to Die for with a capital 'D'. The sausage was extremely flavorful and the polenta was cooked to perfection. For starters we had the mussels with sausage which I really enjoyed. The mussel sauce was particularly tasty and the mussels themselves were well-flavored. The concept for the wait staff is that they serve you as a collective meaning every waiter is your waiter. At first I was a bit skeptical about that approach as it seems like it could cause a lot confusion but I have to say because the wait staff was so personable and knowledgeable, it worked out quite well. All in all a great experience.",0.9183,0.832,0.127,0.041,0.6708333333333334
2016-07-05,3.0,"I was looking forward to coming here after the Breakroom closed its doors. Honestly, not much of an improvement, if at all. The food is very average and a little on the pricey side. Avoid the mussels as they were pretty bland. The chicken wings were large and had a good flavor, but they're not your typical one bite wings.The American Pale Ale was good, but the other beers I sampled were nothing special. Too bad, but we'll give it another shot on down the road.",0.8803,0.786,0.166,0.048,0.48905228758169933
2016-06-28,3.0,"I'm glad to see a new addition to the neighborhood. We loved Breakroom when it first opened but the quality starting to really suffer as time went on.  I went opening night for Finch Kitchen so you can't reasonably expect everything to go well. First, we were happy to see our favorite Breakroom waiter was still around as he is very friendly and incredibly knowledgeable. I know all the old employees had to reapply for their job and seems only two made the cut, not sure how I feel about that to be honest.  The Beer - Was actually quite good. I tried all 8 or 9 of their taproom only brews and enjoyed all of them. I have had Finch's in the past and it was just okay, the taproom brews under new ownership is definitely much better.  The service - The waitress we had was absolutely awesome, I wish I remembered her name to give her a shout out. The manager also came around and asked what we thought and was very receptive to what we did not like.  The space - Honestly I preferred the look of Breakroom. They butchered the beautiful bar which makes me sad. The chairs are also very uncomfortable (and kind of ugly), which I guess means you'll turn tables quicker. The walls are also somewhat sparse which I didn't care for. They touted how the space would have a better flow....all they did was move a few tables around nothing big here. New cool lighting but I don't like how you can see all the wiring personally. The food - Meh. Very limited menu with no real entrees. It is just appetizers, sausages, sandwiches/burgers and some shared plates. Nothing really revolutionary or exciting. I had the chicken sandwich which was okay. My friends had the mussels and a burger which again they said were just okay. We also thought it odd that you can't add bacon to the burger, who doesn't have bacon? We also had the pretzel for an appetizer and it was somewhat hard and doesn't come with cheese which I feel is a mistake. You get mustard, which I don't care for, and a sweet rhubarb jam which was gone but not fitting for a pretzel in my opinion. Hoping they come out with a more robust and interesting menu.  Overall not a bad experience and we will definitely be back. Hopefully they only get better with time unlike Breakroom.",0.9976,0.673,0.235,0.093,0.5752364203257061
2016-06-27,3.0,"I had the mexican lager and it was mediocre,it was boring.. The pretzels were good, ill give it another try soon.",0.0258,0.759,0.122,0.118,0.65
2016-06-25,2.0,"I was very much looking forward to this place, in large part because of the disappointment that Breakroom turned out to be. Even so, The Finch Kitchen managed to lower the bar even more. I have been here 4 times since they opened because I was convinced it would improve... it did not. The Good: Beer! An overall improvement in selection, quality, and variety for the neighborhood. The Finch purchase of Hopothesis was a great move and having a Drafty Window on draft makes a good day even better. The Meh: The service is nothing to laud, but it isn't a detraction either. The Bad: The food is substandard and overpriced. The only ""can't miss"" item on the menu is the loaded fries, which are essentially fries, mayonnaise with curry spices, some crumbled sausage, and topped an egg. Sounds good, right? $14. Good, but not worth it. My wife got the ""The Chicago"", a hot dog and fries, for $12. This was probably the most flavorless hot dog I've every tasted. Slim's down the street on Montrose gives you 2 delicious hot dogs and fries for $5.45. Tastes better, is cheaper, and you can go to Finch for a beer after. My friend got the ""Mergueze"". A hot dog sized beef and lamb sausage cut lengthwise with roasted potatoes covered in tomato sauce. $18. This actually tasted good. But $18. That's 3x what a gourmet Hot Doug's dog would cost (RIP). Have you guys been to Links in Wicker Park?? Amazing Link sausages of all tastes and varieties for $9 a pop, better beer on tap, and great music (I know, it's in Wicker, but still). Finally, the burger. After being so disappointed my first 2 times, I decided to try the one thing I was convinced they couldn't mess up. They messed it up. They are using some kind of potato bun that is so dry it takes all of the flavor out of the meat. The burger arrived cold, dry, and the pickles had the most flavor of anything on it. How does 5 Guys get this right every time and it's so tough for Finch? FINAL VISIT. LAST CHANCE. ""Chorizo"" Sandwich. Chorizo, one of the few sausages on Earth that has so much fat and flavor without even trying that it is an instant improvement to anything. It's like Mexican bacon. But not if the meat is SO overcooked there is no longer any fat or flavor. There was even so little chorizo on the sandwich that all I could taste was that overbearingly dry potato bun. I understand that a lot of us in the neighborhood just want a cool place to hang out. I won't deny, Finch Kitchen may be the closest thing we have to that. But we have to expect more. Don't inflate your Yelp reviews just because you want it to be good. Hold these people to a higher standard and maybe they will improve.",0.9943,0.79,0.15,0.06,0.5526028806584362
2016-06-23,2.0,"I was hoping Id like this place better than The Breakroom, however I found it to be its twin.  The food is so bland and nothing special.  Out of the burger and fries, the charred beets, the sausage, and the wings the only thing worth stepping foot back in this place for was the beet salad.  The service was just ok, too.  Not likely that this place will be around long either unfortunately.  Third times a charm?",0.8534,0.771,0.175,0.054,0.4904761904761905
2016-06-19,3.0,"Stopped by for lunch to check out the food and beers. I was a little disappointed that none of the beers that Finch cans are available on draft, but that means all kinds of new beers to try! As such, I had to go with the 5 beer sampler. I think they did a nicer job with some of the lighter and stranger styles. My favorite beer of the bunch was their pilsner, which had a nice flavor and was easily drinkable at 5.2%. I also liked their gottslandrika, the Midgard, although it was the first gottslandrika I think I've ever tried so it got the benefit of lacking expectations. The food menu is small, but has enough interest on it to make decisions are little challenging. We ended up deciding to share a couple dishes to be able to sample the flavors. The star of the show was the charred beets. Great char of the beets and a nicely composed dish with the pecans, goat cheese, and onions. The tofu sausage was really really salty, it was definitely strong on the asian umami kick, but I think it went a little too far. I loved the space though and the staff were super nice and accommodating. I really want them to do well, but none of the beers struck me as something I'd want to take away in a growler.",0.9966,0.721,0.257,0.022,0.6325466200466199
2016-06-19,5.0,"This place has it all: delicious food, tasty beverages, cool atmosphere, and great service. My wife and I got a sitter for Father's Day and we had the delight of a rare afternoon without two toddlers.  We decided to sit at the bar and take in the spacious surroundings. There are soaring tall ceilings with exposed wood beams and tastefully displayed barn wood adorning the interior. The brewery sets an industrial backdrop for the bar and dining area with plush booths, sleek chairs and recycled wood tables, There are a few flat screen TVs hang on the walls and large neon yellow finch stands out from the back.  We started with a flight of Finch's exclusives: INANIMATE OBJECT: a Belgian Rye Dubbel, PLUMAGE: a Pilsner, MIDGARD: a Gottslandrika,  DRIVE THRU: a Mexican Lager,  and SHARDS OF NARSIL: a American IPA. They each had their own voice and sang with their own notes. We shared the hot pretzels: soft and fluffy, they came with a horseradish stone ground mustard and a sweet rhubarb dipping sauce. Then we ordered the homemade pork rinds that had a salt and vinegar seasoning, which perfectly accompanied the FACIST PIG: Red Ale.  We finished with chicken wings: Roasted Garlic, Lime & Thai Chile. These were sweet, sticky, fall off the bone tender and had a tremendous spicy kick. I'm from Buffalo, NY - home of the chicken wing and these folks at Finch's know what their doing and have my seal of approval! We washed down the heat from the wings with the HOPOTHESIS DRAFTY WINDOW: Farmhouse Ale.  There were lots of neighborhood folks and we struck up conversations with other parents (who didn't get a sitter) and they were delighted with the kids menu, high chairs, selection of handcrafted sausages and 64oz growlers to take home some beer.  The bartender offered samples to make sure we'd be happy with the beer we ordered and we got a growler of the MIDGARF, (7.4% ABV) to take home, my kind of doggie bag! The manager checked in to ensure we didn't need anything. The only thing I need is to get back to Finch's to refill my growler.",0.9911,0.873,0.118,0.009,0.5764484126984126
2016-06-18,3.0,"Great selection of beers, and great service, but food seemed to lack that punch.  Crispy chicken sandwich had a good cadence of flavors however since it was so thin it over cooked easily rendering it into cardboard and it came out cold not what you would expect from right out the kitchen. I think cheese would be good on the sandwich too.  Fries were so so, I found myself digging through the fries just to get to the salty cheese they put over it, perhaps melting the cheese onto the fries may help. Oooh speaking of cheese y don't they have Mac and cheese?  Fish fry lacked in flavor i.e. Salt. For the price It could have used more qty of cod and shrimp. They have a few aioli that are spot on but don't even bother asking for bbq sauce at this Barstaurant, they'll look at you like you're asking for ketchup at Jimmy's Red Hots! Nice atmosphere, I can defiantly see this place improving on their menu options. Overall price is a bit bourgeoisie which make me reluctant to try their sausages.",0.9808,0.811,0.162,0.027,0.6049319727891156
2016-06-17,3.0,"I went here for dinner on a Wednesday night and was neither impressed nor unimpressed. We did a flight of 5 beers which was a reasonable price. That being said, none of the beer I tried seemed like anything special. I had a chicken sandwich for dinner, and my girlfriend had a burger. Both of which we thought were good, but again nothing special. The design of the establishment was the best part. It had a friendly and open feel too it and I liked the high tables and bar placement. Our waitress was informative and enthusiastic, which was nice. The only real negative comment I have is that the chairs were very uncomfortable. I do plan on going back to explore the food and beer menu a bit more.",0.9631,0.706,0.212,0.083,0.6629365079365079
2016-06-17,4.0,"Was bummed when Breakroom Brewery closed but glad that Finch took over the space.  They did some renovations and the space looks great.  We had dinner & beer flights.  The food was pretty good, beer was great, and service was excellent.  I wish I had grabbed our server's name because she rocked.  The beer prices are also very reasonable - $5 for a 3 beer flight - and they offered a variety of sizes in all of their beers which is great when you want to try a bit of everything. Took a star off because we had an appetizer and entrees, but they all arrived at the same time which was a bummer.  Also, my fries with my burger were good but I would describe them as ""undercooked"" verging on ""raw potatoes"".  The seasoning made up for their sogginess.   We will definitely be back and are glad that this space was able to remain a brewpub!",0.9944,0.707,0.274,0.018,0.6361025641025642
2016-06-16,2.0,"Anybody who spent time at the previous restaurant and bar here (Breakroom) probably wasn't surprised when it closed.  It too was a brewpub, but the problems were many; mostly bad service and bad beer. I'm a fan of Finch beer over the years.  I was quite excited to see them move into this new location.  Unfortunately, the same problems seem to be present. The staff are forced to wear corporate looking t-shirts. Service is very slow.  The worst part though is the beer.  It tastes like the same beer Breakroom served. Ugh.  Of all the things I would hope about this place it would be that they could pour good brews.  Nope.  At least not yet.  It doesn't seem like they even have real Finch's on tap. The beers do not match the canned releases.  That's too bad.   Maybe it'll improve with time.  I'm not holding my breath from their initial approach.",-0.9516,0.672,0.126,0.203,0.42005509641873284
2016-06-14,5.0,"So far so good!! I live close by and have stopped in twice already. The beer is excellent, service was quick and attentive and the menu has something for everyone but still has a central focus so they're really not overdoing it. I appreciate a menu that had focus. I've only had one dish so far, one of the sausages. Excellent! Looking forward to trying everything on the menu!! Great transformation!",0.9373,0.743,0.204,0.053,0.725
