date,star,text,compound,neutral,positive,negative,subjectivity
2016-03-27,1.0,"Good luck in man-bun ville! After 40 plus years of serving the needs of the Northwest side Polish community, Gene pulls up ""steaks"" and leaves us with a new Mexican grocery. Thanks a lot, good luck and as we say in the Northwest side, ""pokaluj mnie w dupe""!",0.9358,0.724,0.276,0.0,0.37090909090909097
2016-01-10,1.0,"Drove in from burbs to only be greatly disappointed.  Signs said "" Remodeling Sale.  Everything 30% off"" Walked in and it was a ghost town with bare shelves and an odor of rotten meat in the air.  I have the uncanny suspicion that they ARE NOT remodeling as there was nothing what so ever to indicate a new look is in the future.  The few staff members looked unpleasant and miserable. Not impressed at all and will not even consider going to Lincoln Ave. location.",-0.9299,0.779,0.033,0.188,0.6088383838383838
2015-09-13,1.0,"I shopped here for the first time because I had heard good things. I bought boneless chicken breasts, but was disappointed when I opened the package to cook them for dinner today. There was a pungent odor coming from the chicken breasts, indicative of meat beginning to spoil. Against my better judgment (because I refused to believe they were going bad already), I cooked them, but was not surprised when they tasted rancid. The price was rather inexpensive compared to Jewel or Mariano's ($3.49/lb), but it was frustrating and disappointing to throw the chicken breasts away, especially when the sell by date was still two days away. Needless to say, I will not be shopping here again.",-0.9615,0.735,0.067,0.198,0.7846153846153847
2015-04-18,4.0,"We were on a mission to find the DRY rhubarb soda we tried at WHISK in Ukrainian Village.  I found no rhubarb soda, but we found two (2) large bottle of Tymbark juice.  I guess it was a good trade-off...I suppose... Anyways, we were traveling from Oak Park.  With a twenty (20)-minute CTA #90 (Harlem) bus ride north to Belmont and then a fifteen (15)-minute journey east with the beloved CTA #77 (Belmont) to Long Ave., Gene's Sausage Shop & Delicatessen, with a cow standing comfortably on top of the sign, finally showed up in front of us. It's a typical Polish deli, liquor, and grocery store like you see in the neighborhoods that are highly populated with our Polish friends.  Unfortunately, there weren't many varieties on agricultural products.  Yet if you're fond of Polski beer and liquor, I guess you can find plenty here. I would rather have food in my stomach than have alcohol in my brain!  I found some yummy chicken soup with a 16-oz. tub for $3; mouth-watering tripe soup for $4.50; comforting cream of mushroom soup for $3.  I recalled the similar deli items at Montrose Deli charged more for a smaller container size.  With that being said, did Gene's have better deal on deli soup?  That inquiry will soon be answered when I head back to Montrose Deli in the near future so that I can have the prices and sizes validated for your information, yellow Yelpers.   Hubby and I were quite excited to discover another Polish deli/grocery store in Belmont Central/Portage Park neighborhoods.  We were treated friendly without having to speak Polish.   Yelpers who have a language dilemma: may I digress just a bit?  I've once heard of such statement.  Please let me recite this verbatim.  ""If you live in America, you should be expected to learn and to speak English.""  Please be glad that Rosa J. didn't miraculously appear to your eyesight and give you a...(fill in the blank).  I'm merely angry and thinking how moronic that statement is.  Any thought, anyone?  You can speak whatever you want here.  If I don't understand you verbally, we all have fingers, pens, and papers.  I'm also gifted to communicate with you using my eyes, nose, and perhaps my toes!  Anyways, we all need to calm down and consume some Polish food.  I'm heading to the refrigerator now...",0.9933,0.806,0.151,0.043,0.5367390289449113
2015-03-28,1.0,"Passed this place the other day and noticed that they had ground beef and ground pork for 99 cents a lb and pork chops @ $1.49 a lb so decided to stop in. Bought several packages of pork chops that were so poorly wrapped by the butcher they kept falling out. Then stood in line for over 20 minutes as the cashier took her sweet time scanning and bagging what would have taken anyone else 5 to 10 minutes max. Got home and cooked 1lb of ground beef and realized why it was so cheap. It's because it was 75% fat and after all was said and done I had enough cooked meat for 1 taco. Needless to say, you get what you pay for and I won't be back anytime soon.",-0.1189,0.935,0.023,0.042,0.478125
2015-01-30,4.0,"I love this place. I would love to give it five stars but the cashiers are always so rude. Especially the tall, thin girl with the long blonde hair. It's kind of like you're a bother to her. Other than that I love this store. I always get good meat and I love their in house Pierogies. The butchers at the Deli are always really helpful.",0.9648,0.586,0.317,0.097,0.5634615384615385
2014-04-21,4.0,"This is the ""original"" of the two Gene's stores. The second and more recent one is on Lincoln Ave., in the former Meyer's space (Kudos to Gene's for preserving the Meyer's neon sign!). There's probably a few items unique to this one because of the loyal Polish clientele. Near the entrance is the delicatessen part of the shop (lots of imported jams, candies, and cheeses). A limited selection of fresh produce and plenty of wines and imported spirits. Breads and pastries come from local purveyors. In the main room is the very long cooler case containing the cold deli items such as potato pancakes, salads, and sandwich meats for slicing on order. Here is also the vast selection of sausages, including kishkas, head cheeses, and smoked varieties. Freshly butchered meats and fresh sausages to cook up at home are also available.",0.7574,0.922,0.065,0.013,0.4614761904761905
2014-03-12,5.0,"Been a patron for 40+ years, My Grandfather from Poland and my father baught all his polish sausage from here.  The skinny polish sausage is the best....",0.0,1.0,0.0,0.0,0.3
2014-01-05,2.0,"Went there on a recommendation from a family member. Bought some ground beef, (price is great .99 lb) sausage, and bacon. Sausage and Bacon (though extremely salty but which one isn't) were great but the ground beef was really fatty. When I say really, I mean close to 60/40 meat to fat ratio. Doubt I will make the trip back.",0.714,0.82,0.129,0.051,0.5979166666666667
2013-10-19,5.0,"This place is an impressive and massive operation for Eastern European meats and sausages, and that's exactly what we came for.  It's also a bit more of a grocery operation in comparison to the Lincoln Ave.storefront, mainly due to more floor space here I think.   Jonas (may have spelling wrong) was the head butcher/manager behind the meat counter and he was very helpful with recommendations and samples to boot of the dizzying sausage assortment available.  Prices were good also.  It would be hard to find a better place for these meats and sausages.   They also have a large assortment of East European beers - I tried a six pack of a German pilsner (Radeberger) and it was quite good.",0.9286,0.863,0.125,0.012,0.4775132275132276
