date,star,text,compound,neutral,positive,negative,subjectivity
2016-05-10,5.0,Best bloody Mary's I have ever drank in my entire existence here in life. I would die a happy man if I was sipping on one of their worlds famous bloodies mmmmmmmm just thinking about it,0.2732,0.656,0.185,0.159,0.765
2016-01-19,4.0,"Omg their salads are fantastic!  I can't believe I'm saying that about a bar.  I had the pear and blue cheese salad and it was fantastic.  My friend's wraps also looked very good.  The only complaint is that they were out of a LOT of bottled beer but our waiter said they are about to go through a renovation? Also, service was very good.  Will definitely be back for that awesome salad!!",0.9677,0.722,0.258,0.019,0.6288888888888889
2015-12-15,3.0,This is one of those places I find myself returning to because I am hungry and in the area and I'm like...mmmm...OK. The food and service is average. Nothing particularly special about the place but it's easy to get in and grab a bite which is often needed if you have had some DRANKZ along the boyztown strip of bars. They do have a nice patio in the summer so that's a plus. Other than that Mehhh it's there...it's convenient.,0.8607,0.883,0.117,0.0,0.6359523809523809
2015-11-29,5.0,"Great food, great staff, and an overall a really good time! The brunch on the weekends is such a great deal! Walter, our server was wonderful. He was very attentive. Will definitely be coming back and asking for Walter again! Cheers!",0.9807,0.548,0.452,0.0,0.585
2015-11-20,2.0,"I've been a regular over the years. More often than not, good service and good food. This week Wednesday however, that was not the case. Maybe short staffed due to new places just opening in Andersonville, but that's a hopeful guess. We (2 of us) arrived at 7:30pm and seated among three other tables occupied in the dining room. One of them was a kid's birthday party of about 8 in total. After about 15 minutes I went and asked the waiter if we could at least place an order for drinks. He said sure, but then never came to our table. After about 5 more minutes I went and asked the bartender to send someone over. We waited about 5 more minutes, but then we walked out and went to Rock's, which was packed almost to capacity, but we were served immediately. I'll think twice before returning to Halsted's.",0.8606,0.905,0.072,0.023,0.48618134002749397
2015-10-31,3.0,"Came here primarily for their bottomless bloody mary because I found it on a search of bloody mary's in chicago.  A friend came with me and although they offered her bottomless mimosas ($16)it just didn't make sense because they were $3 each.  Sadly, although they have many different enticing bloody mary's on the menu, they were only offering up their basic, which I assume was a mix and vodka added.  Not really very strong even, and served in a medium sized glass full of ice, a few sips and it was gone :(  Fortunately they made me wear a Wristband! So I could be recognized in their nearly empty restaurant as being a person who is drinking an unlimited amount of bloody mary!!  I also ended up ordering the Chicken Bacon Jack Panini - no complaints there! I ate half of it then, took half to eat when I got home...quite a fair distance I traveled to check out their bloody....unless I find myself in that neighborhood again or find out about some other amazing specials they have (half price apps, bogos? something??)  I probably won't be back.",-0.8894,0.802,0.067,0.131,0.6147222222222221
2015-10-20,4.0,Great food service and sports entertainment. Good was good and tasty!!! Price for my club sandwich was a bit high for what I expected. Walter was an amazing server!!,0.9563,0.555,0.445,0.0,0.6316666666666667
2015-10-19,2.0,"I've been to Halsted's a couple of times in the past and it's somewhere I would go if my friends really want to go there, but independently I don't think I'd ever recommend it to anyone. It's definitely a perfectly acceptable location for food if you're okay with a very traditional, no frills, no creativity, not heavily seasoned, foods.  Very recently I was there for Sunday brunch and got a steak and eggs dish.  The eggs (scrambled) did not have seasoning, the tater tots were lackluster (which was particularly disappointing since it's really hard to go wrong with tots), the steak was ordered rare and came out probably a little too rare by health standards (but that's okay, I like it that way).  I ended up needing hot sauce and a lot of salt to flavor the eggs, which I very rarely do.  On the same trip, I was there with a bunch of friends, and three of them had problems with the food and had to have it sent back to the kitchen, one had to send it back to the kitchen twice before giving up and just asking for it to be taken off the bill.  Realistically, it was probably the kitchen's fault as our server, John (Sean?), was really great about all the errors and ended up giving us all a discount on the food.  But see, here's the thing about discounting things on bills... you should never have messed up to start with that discounting and taking things off the tab is necessary.  The only part of the service that was particularly disappointing was the lack of refills on beverages.  I think the server came around once to refill my water, and while he left a pitcher at the table 1) I go places for the services and 2) he never refilled the pitcher, so when that got empty... I've also been there in the past for other meals and honestly... I can't remember any of the them.  Nothing stood out.  Nothing wow'ed me.  Nothing makes me want to go back specifically.  But, like I said, it's a perfectly acceptable place to go and the service is pretty much on par with what I would expect at a casual dining location (not stellar, not amazing, but they work hard and do their best).  Definitely a ""no frills"" kind of place, which definitely has it's place, especially in Boystown.",0.985,0.738,0.166,0.096,0.5808139534883721
2015-10-11,3.0,"Ok, let me start by saying that I giving this place a 3.5 star. This is the second time that we have visited this restaurant, both times during the Wednesday 5.00 burger night. The food is great, love the tomato soup! The burgers are very good as well. The first time we came here, it was just excellent! However, on our last visit, it was horrible service, and if this had been our first time here, it would have been the last!  We were waited on by a gentleman, who truly had no idea what was going on. I ordered the tomato soup for an app, and waited and waited for it to come, when I finally asked about it (15 minutes later), the waiter says, let me check on that....really?? Lets get real, when you have soup on the menu, it is usually made ahead, and based of off the first visit, and have the soup delivered within 2-3 minutes, this was clearly a case of him forgetting my soup. Ok, I will give you a pass on this, things happen. The burgers come out, and they are way overdone, I ask for medium rare, and get well done. My partners fries are cold....nice.  Well, I will say that the manager did come to the rescue, this is why they get 3.5 stars. He had the kitchen remake our food, comped the bill, and gave us free dessert! After we complained about the issues we were having, the waiter REALLY stepped it up, almost to the point of annoyance, but hey, at least they took notice.  We will go back to Halsted's, hopefully it was an off night.",0.9649,0.862,0.112,0.025,0.4456944444444444
2015-09-28,3.0,"I have mixed feelings about this place because there are definite pros and cons.  Let's start with the negatives. I brought my parents from out of town to Halsted's to show them a little bit of why I love living in Boystown. The place was a little quiet since we came on a Monday night, so I expected great service. However, the service was extremely slow and we had to wait about 40 minutes for our food. Once our food finally arrived, the French fries were cold and severely undercooked. We asked the waiter to take them back and he didn't apologize or offer a replacement. We also had to wait quite a while for our check.  The atmosphere is so fun here, and the back patio is especially great. The lighting and water(wall?) is really cool. Definitely welcoming and a nice place to hang out. Also, the tater tots are super fresh and delicious. They also have a wide variety of craft beers and specials during the week.  I will definitely return to Halsted's, but with the knowledge that service is slow and not the best.",0.9384,0.816,0.145,0.04,0.5134615384615385
