date,star,text,compound,neutral,positive,negative,subjectivity
2016-07-24,3.0,"A few of my friends and I visited for a birthday party. I liked that it's BYOB, but like others have said, the smell when you walk in is very off-putting. It kind of reminded me of cat pee. It was also dead at 7:30 on a Saturday. It's quite obvious this place mostly caters to take out, so there's that.  The rolls were cheap but the quality didn't suffer. I'd be back for pickup.",0.596,0.773,0.155,0.072,0.4666666666666667
2016-07-15,5.0,This place is closed. Everything is cleared out they put a sign up saying the landlord hasn't fixed something causing a smell and they're going to court.  The spicy tuna was my favorite and their ramen was pretty good too. Will be missed.,0.8074,0.739,0.216,0.045,0.58
2016-07-03,1.0,"This place is closed- we ordered online, they charged our credit card and when we went to pick up our order the place was closed for good stating the building manager wouldn't fix the building. Now I need to deal with getting our money back.",0.5719,0.849,0.114,0.037,0.2
2016-05-02,3.0,"The food here is average, nothing I have had here really sticks out as amazing.  There really is an odd smell in the restaurant when you first walk in. I can't put my finger on it, but it's a mixture of cleaning products and food. Which is a horrible combo.   Their maki prices are cheap. That earned them a star, they always have tables available--another star, and it's BYOB -- 3rd star.  We have gone here twice now. Last night was me giving it another chance, but after last night I don't think I'll be going back. There are so many other sushi places in the city I'd rather go to.",-0.2339,0.884,0.058,0.058,0.3685897435897436
2016-05-01,3.0,"Ordered through GrubHub tonight. Wanted to try a new sushi place in my area. It has 4 stars on the app so i thought, why not? I picked my food up. There is a kind of interesting odor in the restaurant...smells kind of old and musty. I tried not to let it get the best of me since I wasn't staying. The place was totally empty.  The food: I had the Philly Maki and Tempura Maki, out of all the sushi I've ever had this was nothing spectacular. It's your average sushi with minimal taste. Two of my rolls in the tempura were empty inside! No avocado and barely any rice. I got Miso soup for free from the lady working, also very bland. The soy source is absolutely horrendous, it's very sour. This is probably the one and only time I'll eat from this place again. I've had way better sushi at other restaurants.",0.5603,0.854,0.081,0.065,0.5768181818181819
2016-04-26,3.0,"Great food, good service, the only thing is and that seems to be a frequent problem from other reviews, is that there is an off-smell in the place. It's a musty, slightly rotten fish odor.  This alone will turn off most people and it's a shame because the food is great from what we ordered: Tempura and Gyoza for an app, Tonkatsu ramen, Passion Roll and Beef Kare for the mains.  Everything tasted fresh and delicious.   I did tell the waitress and we agreed; the staff probably doesn't notice because they're there all day but when you walk in off the street, it's off-putting.  One couple walked in and walked back out after they were seated and the waitress left to get them water.  Honestly, the smell is nothing strange if you visit other countries and even some parts of town.  I hope the owners do something about it soon as the competition across the street isn't any better.",0.9157,0.8,0.14,0.06,0.4916666666666667
2016-04-20,2.0,"I've gotten better sushi from Jewel, to be honest.  We ordered 4 rolls. The crunchy spicy tuna was not spicy at all and barely had any tuna in it. It was 80% rice.  The summer roll tasted bland and cheap. Like fake smoke.  The eel roll was the same minus the fake smoke taste. There wasn't even unagi sauce on it.  The only one that okay was the passion on fire maki roll. But it would have done better with some sort of sauce instead of just straight jalapeno, fish, rice, and cilantro.",0.8834,0.733,0.189,0.078,0.5891025641025641
2016-04-16,2.0,"My husband and I ate here last night and got horrible food poisoning. The restaurant smelled a bit odd when we walked in,  and I tried to get my husband to leave,  but he insisted we stay.  Sure wish we would have bailed! The service was nice and fast,  which I'd say was the highlight.",0.8478,0.677,0.209,0.114,0.6342592592592593
2016-04-14,3.0,The ramen was pretty good but the place had a weird smell that almost made me leave. I probably would have if I wasn't the only person there and starving.,-0.3827,0.669,0.156,0.175,0.9
2016-04-02,5.0,"This place is rock solid. Moving away from Toro was tough, as that was our go to and hands down favorite in the city. This has partially filled our hole that Toro and Mitch have left. The fish is fresh and the prices are reasonable. Ordering online is also really easy and fast. Overall solid choice in West Lakeview / Northcenter.",0.8479,0.804,0.174,0.022,0.4796296296296296
