date,star,text,compound,neutral,positive,negative,subjectivity
2017-05-28,5.0,"I am so sad itto closed. It was my favorite sushi spot in Chicago because it was authentic. I had my spot I sat at, my things I ordered. unfortunately high rents, building new condos, ruined a Chicago classic and it was torn down. it saddens me and I will remember itto forever. Thanks for so many memories ..",-0.7841,0.7,0.09,0.21,0.500010101010101
2017-04-13,5.0,"I'm so sad that Itto closed.   I feel lost and confused now... Where do we go from here?  Comparable sushi and sashimi?  It's silly how hard it is to even find a sushi place that a) has REAL CRAB, always  b) has big chunks of delicious tuna in the spicy tuna rolls (as opposed to some sort of tuna salad that was run through a food processor).   Itto was my happy place, my safe haven, my special joint. I don't know if I'll ever find the same amount of contentment in a restaurant again.   Thank you to all of the employees for all of your years.  You've set the bar high and will not be forgotten.  I've got my tshirt, anniversary kitty bank and fond memories as souvenirs. Juco and Keiko, you are greatly missed",0.903,0.764,0.158,0.078,0.5787925170068028
2016-06-25,4.0,"The staff are very friendly! A bit confusing when you walk in but it is closing very soon so it's probably chaos among staff/kitchen and stuff. The sushi was fantastic along with the tempura and other appetizers! Delicious and perfect! The only complaint I have is the wait, at least an hour or more with no main dish, when it did come, it was kinda burned and tastes awful, maybe because it was crowded and they were rushing, the waiter was very understanding and took it off our bill, a nice cute little place overall, very sad to see it go. I have to say I think the reason our visit was chaotic was because of the day we chose- Saturday night the week before they close with no reservations... I would have loved to come back for some more beer and sushi, guess I'll have to just find another spot, wish the owners luck and happiness in their future",0.955,0.651,0.209,0.14,0.5618055555555556
2016-06-24,5.0,Best sushi place ever!!! the sushimi is tasty and fresh. They serve a variety of appetizer selection. the pork belly is awesome!!! So is the Japanese curry!!! Definitely worth trying before it is closed:),0.9466,0.631,0.369,0.0,0.42857142857142855
2016-05-31,4.0,"Very authentic Japanese fare in a cozy place with friendly service! The interior is very reminiscent of the little shops in Japan! Our waiter gave us warm towels to wipe our hands which is very Japanese.  We ordered the Katsu Curry and Katsu Don. The place is fairly pricey for the amount you get. The portion sizes may be smaller than what we are used to, because traditional Japanese portions are actually smaller. The Katsu Curry ($13) although the tasted and came with plentiful curry for the rice, they could have been a bit more generous with the Katsu. The Curry itself was spiced well and the little pieces of potato, carrots, and meat tasted amazing.  The Katsu Don is Katsu mixed with egg, and scallion slices. The egg was so silky and flavorful. The Katsu it self was just breaded Portland tasted like what it is. The star was the egg.",0.9492,0.891,0.109,0.0,0.5161764705882353
2016-05-30,5.0,"One of my clients from Japan recommended Itto and told me he believed it to be the most authentic sushi in the city. While I won't pretend to know what constitutes or doesn't constitute authentic sushi, I can say this- it certainly stands apart from the trendy cookie cutter sushi joints that dot Lakeview, Lincoln Park, and much of the north side. Their fish was extremely fresh and high quality, and the menu included a lot of less common dishes that you won't find in most other places. While I thought it was fantastic and look forward to going back, be warned, if you're accustomed to mayo-heavy rolls that mask the taste of the fish, this may not be your jam, and that's okay- that's just how they roll (BOOM!).",0.8683,0.882,0.103,0.016,0.5035396825396825
2016-05-26,5.0,"Hands down the most authentic Japanese food I've had in Chicago! The fish was fresh and delicious and the ""matsu"" plate I ordered had a great variety of nigiri. I had the agedashi tofu as an appetizer too, which is a lightly fried tofu with fish broth and green onion topping. The menu is rather large and I was excited by how much they offer beyond sushi! Don't eat the americanized rolls; this is not the place to go for that junk. The only way the food didn't meet my expectation was that the rice was not vinegary as it should be, so I would give this place 4.5 stars. This is the only place in Chicago that has met my high expectations for Japanese food! Seriously, just give it a try.",0.9131,0.888,0.099,0.013,0.5514192343604107
2016-05-14,3.0,Had their amazing mushrooms tonight but service still off - we had to remind them to put our order in after waiting for 30 minutes and watching many others be served. Makes you feel very unwelcome.,-0.3797,0.838,0.061,0.101,0.5666666666666667
2016-05-06,4.0,"Itto certainly has the old school authentic Japanese restaurant charm. We came here once almost two years ago, and it was the perfect food for a cold winter night. The menu can be overwhelming. A lot of text and a lot of options. But there are a lot of popular favorites along with some unlikely new things you don't find at generic trendy sushi restaurants that offer Japanese entrees an afterthought.  Everything is plated with a lot of love and care, and food does take a while to come.Some udon soup, a few pieces of sushi, a little light fried apps - great for winter. Everything was fine, tasted good, but nothing super memorable.  Most recently, we came for something ""light yet satisfying"" on a warm spring day where we ate way too much junk food during the day. And it fit that bill too! We shared a bento combination entree type thing - i love that kind of variety, an appetizer, and some soup. It was just the right amt of food for a light meal for 2. Even the fried pork was light enough to not overwhelm us.  I also ordered the monkfish liver with ponzu sauce on a whim, and it was delicious! Creamy like you'd expect liver to be, but distinctly fish, and brightened by the ponzu. Give it a try if you're adventurous :) In terms of the bento, Renga Tei beats them for variety and taste at the same price point - that is a box I'd drive out of the way for, and Itto is a restaurant I'd happily go to if I still lived in the neighborhood. Definitely a cute restaurant with some good food.",0.9967,0.745,0.241,0.013,0.6093803483338366
2016-04-23,4.0,Service is really friendly and they'll give you warm towels to wipe your hands. Food is not that outstanding but very authentic.,0.1497,0.766,0.149,0.085,0.7375
