date,star,text,compound,neutral,positive,negative,subjectivity
2017-08-27,2.0,"Just leaving the restaurant.. I hate to give it a two stars but unfortunately I do. My significant other loves this place but I think tonight was my last night. We sat in the Patio ordered our food, I ordered a burger and asked for it to be well done.. a couple bites into it and it was pink. I instantly felt nauseous.. but it's a common mistake. I simply told the waitress and waited for a new burger. My burger arrived well done (dead just how I like it, sorry I don't like my animals alive) of course right while I was divulging into it, my significant other pointed out a dying mouse on the patio. I instantly lost my appetite, and wanted to take my food to go. I wish there was a General manager around to check in with everyone and accommodate things or at least to apologize about the unsanitary inconvenience.",0.8807,0.741,0.16,0.098,0.5359668109668109
2017-08-25,4.0,Mmmmmm those damn burgers makes the little fat kid in smile. I will have to say their burgers are better than that other establishment on the block. Comfort food at its best.,0.7579,0.585,0.283,0.131,0.35500000000000004
2017-07-29,3.0,Knocking down my review from 5 to 3 stars. You want those two stars back? Bring back the beer cheese. I am absolutely dead serious. That was the main reason for my patronage here; the sandwiches are secondary.,-0.707,0.811,0.033,0.156,0.2841269841269841
2017-07-28,5.0,Do you love sandwiches? You'll love Jerry's. Also good for kids. Bonus points for kids cups,0.9413,0.448,0.552,0.0,0.6
2017-07-25,2.0,"I've been to this Jerry's many many times, and it seems everytime something is not up to par. It's definitely not the lovely experience as the OG Jerry's on Division (now closed, I pour out some IPA for you).  I love beer! They have a huge beer list, but you'll be rushed to make your order by a young server with ADHD and a limited beer knowledge.  Jerry's on Division was known for their sandwiches, but the food here is just average, nothing special. I reserve this Jerry's for pop ins only after festivals, or after better offerings (Lady Gregory, LBW) in the area.",0.7367,0.813,0.122,0.066,0.528021978021978
2017-07-20,2.0,"The food wasn't that tasty, if at all. Absolutely over priced for what you get.  Servers were nice, though lol",0.6808,0.763,0.237,0.0,0.8666666666666666
2017-07-15,5.0,"We wandered in and had a fantastic time in the outdoor patio. Great craft beer selection and our server, James, was an absolute delight. Would recommend to anyone looking for a casual late afternoon or evening spot.",0.9423,0.654,0.346,0.0,0.8033333333333333
2017-07-05,4.0,"Friendly staff. Awesome sandwiches. Amazing beer selection. The bartenders are uniquely wonderful. They are down to earth,  pleasant, unpretentious, and always go out of their way to ensure customer satisfaction. It is much appreciated. Brittany and Molly in particular set a solid benchmark at Jerry's. Thanks for the continuous good service, ladies!",0.9868,0.536,0.464,0.0,0.5444444444444443
2017-07-05,2.0,"Good craft beer selection but food is horrible. Everything was overcooked! If I ever go back, which I doubt it will be just for beer and pretzels. Overpriced garbage!",-0.8241,0.695,0.056,0.249,0.5333333333333333
2017-06-18,5.0,"This place is awesome.  They almost have too many choices though; It always takes me forever to decide what I want. Lately I've been choosing from their list of monthly specials to make it easy, but you can never go wrong with one of their fried chicken sandwiches. This is an excellent summer spot to sip a sangria on the back patio.",0.9191,0.797,0.203,0.0,0.7229166666666667
2017-06-07,4.0,"No basic burgers over here at Jerry's. What brought me here? Oh snap, I came to Order The Yelp! To start, there was a bit of confusion when I came in. The Yelp app says they close at one am but they actually stop serving food earlier (I arrived around 10). I told the server I was here to Order The Yelp and he didn't know about it (I had to show him my app & at this point I'm wondering how it will be priced). He went to the back and I was served quickly after that. Any hiccups were clearly made up for straightaway after I took the first bite. The perfect burger is a very personal matter - from the seasoning to the garnish. Here, with such intense flavor I was prevented from taking a break to blink or drink anything (it was that good guys). So the Jerry's Yelp item is called the Yelp Cinco Burger (choice of patty, American cheese, queso fresco, avocado, cilantro, red onion, lettuce, tortilla strips, southwest mayo & house bbq sauce). The chicken was so juicy and well-seasoned. I really enjoyed all of the textures from the fine chopped avocado to the crunch of the tortilla strips; and the fries were still sizzling and crisp. With Erykah Badu playing in the background & the Warriors dominating in the playoffs I was winning threefold. Ordering the Yelp goes on from June 4 - June 17, 2017 and is a delightful and delicious way to save and explore the culinary scene of the Chi.  Upon entry, Jerry's was very clean and clearly a hangout for the neighborhood folks. Ideally of course, they would've been ready for the Yelp deal - I was right at the end there was an issue with billing but I just pulled out the app again. Even if this isn't in your immediate neighborhood it is so worth a quick Uber to try something new and with your taste buds in mind. I can't wait to go back and try others things as well. P.S.A: Keep it classy & tip on the full value of the meal not the after-discount amount.",0.9966,0.792,0.185,0.022,0.5024826183917094
2017-06-03,4.0,"We came here to grab some drinks as the drinks menu was appealing to us. Not sure if this is the same Jerry's as the one that closed in Wicker Park not too long. Anyway, we had dinner elsewhere but weren't ready to call it a night just yet. We were promptly seated at a table of our choice. Our server was courteous and informed us well on the questions we had about their menu. We went for drafts of beer from the local beer companies from Jerry's menu. We wanted to try something unique. Along with our beers, we decided to have some finger foods as we had some room left after dinner and plus, I wanted to try some of their hot sauces. We ordered cheese curds and jalapeno poppers. The cheese curds were a bit too greasy and kinda small in size compared what I have had elsewhere. But not a problem. The jalapeno poppers were huge. A whole pepper stuffed with cream cheese and covered with fried batter. With or without the dipping sauces both the apps were tasty. From the beer drafts menu, we could order a pint or a smaller size where available so that was good as I had limited room in my stomach to consume a full pint. I can't remember which beer I had but I liked what I had.  Overall, we had a good experience here. Wish we had room for their sandwiches which is what they are known for. They have got a great variety of sandwiches. So next time I'll go for the sandwiches. Anyway, check out Jerry's. It's a good place for food and drinks. It has a nice atmosphere. I recommend it.",0.9924,0.828,0.156,0.017,0.5002594627594628
2017-05-30,4.0,"Jerry's is great!! My go to Andersonville stop. I have to keep coming back because I keep seeing new sandwiches that I have to try. Four stars because I don't LOVE any one of the side dishes, and the cheese curds aren't great (lots of fried breading, not a lot of cheese).",0.5681,0.743,0.152,0.106,0.510909090909091
2017-05-29,3.0,"I think things have gone downhill since Jerry's first opened.  Food is only okay now, not quite as much or as fresh, and I'm not sure we'll be coming here again.  Just too many other good options in Andersonville.",0.6295,0.79,0.165,0.046,0.5871527777777776
2017-05-24,4.0,"I love the menu here, and the atmosphere is nice. We even recently decided to take some  friends from out of town here for dinner. I love the (HUGE) salads, the grilled cheeses, and the beer cheese! However, the service is consistently pretty awful. I have trouble working out whether they are consistently understaffed, disorganized, or just apathetic. If you can deal with the lack of good service, the food is worth it. This could be a GREAT restaurant if the service piece came together.",0.9518,0.631,0.254,0.115,0.6041666666666666
2017-05-21,3.0,First time here. Our server Mike was awesome and he did a great job. The atmosphere was great totally my scene. The sandwiches were not that great. At $15 a pop with very skimpy size sides it definitely is not worth going back to.,0.9609,0.634,0.336,0.029,0.5259259259259258
2017-05-16,5.0,"We love this place...I'm surprised by the negative ratings I see below. We eat here about once a week...they used to deliver to us but they unfortunately switched delivery services and now we are outside of their zone. It speaks to how good the food is that we keep picking it up or going to the restaurant even after they stopped delivering to us. We are huge fans of the Munchie, the cheese curds, the poblano mashed potatoes,  and the homemade chips. This place is not going to win any awards for health food but for an occasional treat it is great. I don't always get a drink here but I have enjoyed the drinks when I have.  Our service has never been anything but spectacular and speedy. I am surprised that other people seem to have had different experiences.",0.9635,0.737,0.19,0.073,0.6133333333333334
2017-05-14,3.0,"Had the turkey club (house turkey, bacon, cheese, ham, chutney, chipotle mayo, lettuce, tomato, pickles, avocado) and it was pretty delicious! $15 is a bit steep for a sandwich but you do get two sides. I ended up getting the slaw and mashed potatoes. Both were great, loved how the slaw had kale in it for extra crunch. The sandwich had too much bread that I ended up picking off. What killed the rating was the poor service. Our waiter wasn't attentive or friendly.",0.8807,0.652,0.221,0.127,0.5850000000000001
2017-05-12,2.0,"It is 5:50 our meal is finished, and we asked for our check. I will end this review with the time we receive our check. I used to enjoy Jerry's. Sure the service on it's best day was medicore, but the sandwiches and apps were usually decent.  Today is my last visit to Jerry's: We arrive here a little bit after 5. We were one of 5 tables in the restaurant. We were sat and brought water fairly quickly. It was a significant wait until our server came to take our order. We ordered our drinks, apps, and main dishes in one go, knowing that service would be slow. We received our chicken popper app before our beers were served. We sent the chicken poppers back, because the meat was obviously bad. Honestly, it was the first time I'd sent back food in recent memory.  The beers were good. That's the only reason for two stars. The sandwiches were okay. They used to be fresh and flavorful now they are bland and the bread  just short of stale.  We received our check at 6:03 with the chicken poppers still on the tab. We asked for them to be taken off. They were taken off without apology. We left the restaurant at 6:10.",0.9291,0.877,0.097,0.027,0.5282921810699589
2017-05-11,2.0,Well it had been almost 2-years since I had eatin here so decided to give it another try and this time for lunch. Again I was drawn in by the attractive design of the restaurant and its gigantic list of interesting sammiches. Although again even though the restaurant was not busy the service just was not good. After ordering we basically never saw our server again. I had to ask other employees for water  refills and the check and hand the check to someone else for it to be payed.  The food was again disappointing. The vegetarian sandwich I ordered sounded wonderful on paper but was a heaping serving of dry bun with dry skimpy ingredients and 1 thin piece of cheese. The sides were pretty good but I came for a quality sandwich not chips or potato salad.  OHH...and to highlight the experience a MOUSE was running around the dining room and I was not the only one who noticed it.  Woman we're lifting their legs off the ground and then staff began to chase it with a broom and dust pan until eventually catching it. To be fair they had the front door open so perhaps it came in from the street but still as you are eating the last thing you want to see are rodents running around the restaurant.  Many patrons including myself lost their appetite and soon left.  I think for me I am done with the food and would only return for beers and/or to try the patio in back. But honestly it could very well be my final visit.,0.9503,0.861,0.104,0.036,0.6329861111111111
2017-05-11,2.0,Food was good.  Server was  inattentive.  He was too busy watching Transformers on the bar TV and talking to other employees to refill my soda or water glass until he brought the check.  There were maybe 5 or 6 tables in the whole place at the time.  Still tipped more than I should have.  Food was good enough to come back.,0.7003,0.906,0.094,0.0,0.40937500000000004
2017-05-01,5.0,"I love this place and dine there at least once per week.  I prefer to eat at the bar, but have eaten at tables both inside and outside.  If you are looking for an easy experience at a neighborhood favorite, you could not make a better choice than Jerry's. The bar specialize in draft beers and small batch spirits.  There is always something interesting to try.  If you are in the mood for something non-alcoholic, the draft root beer is fantastic.   The menu has an expansive list of comfort food.  As a gluten free person, they have the best bread choice I have had for one without gluten.  The burgers are super tastey, but so are the dozens and dozens of sandwich choices. I read some of the below reviews complaining about attentiveness and speed, but cannot say that I have ever experienced what they describe.  My numerous visits have been speedy kitchen, friendly staff, tastey food, and a fulfilling experience.",0.991,0.747,0.224,0.028,0.5900000000000001
2017-05-01,5.0,"Over the last 15 years living in Andersonville, Jerry's is still one of my favorites on Clark Street.  I have eaten there more than 50 times over the last several years.  The food is always good and the kitchen speedy.  The space is super comfortable and staff is friendly.",0.9442,0.728,0.272,0.0,0.4
2017-04-30,3.0,"Came here on a Friday night with a group of friends. There is a nice atmosphere and fantastic beer selection. This is a great place for a date night or to meet up with people at the end of the week. While I enjoyed the friendly staff and atmosphere I wasn't that impressed by the food. My sandwich was hard to eat -the meat wasn't that tinder and the bread seemed chewy and difficult to bite through. Also, the side of mac and cheese wasn't warm. My friends ordered the cheese and pretzels appetizer and the cheese dip was cold. We weren't sure if it was supposed to be cold, so we didn't say anything. My recommendation for this place is to go, try a new beer you've never had, but avoid the food. You'll be greeted by friendly staff and a cool atmosphere, but food is underwhelming.",0.9468,0.791,0.16,0.049,0.7656734006734006
2017-04-29,1.0,Literally hate this place. Really good ketchup but other than that has only been a disappointment. Food is overpriced and service is slow. Beers are great when they're available but the menus vastness disguises it's mediocrity.,-0.2508,0.611,0.163,0.226,0.5583333333333333
2017-04-26,1.0,"I committed quite the faux pas this passed weekend and decided to meet a friend at Jerry's for brunch instead of the original plan of brunching at Summer House (one of the best brunch places in Lincoln Park). My friend requested outside seating and we were happy to wait 20-30 minutes for a table as it was a warm Sunday afternoon and it would be understandably busy. We were seated in the middle of the patio without an umbrella or any type of shading and when I politely asked Molly (our belligerent and awful waitress from the bowls of Hell) for a different table, seeing that there was a table with an umbrella available, she rudely said no and that that's the best they can do. I guess there was a drought as well because, as we perspired and looked around for Molly (the Hell demon waitress from Satan's rectum) for water she was no where to be found.  I ordered a mimosa which was in a dirty glass and was barely even filled. The picture I have is after I'd taken one sip. Basically I payed $10 for a one finger drink.  My friend was also appalled to notice that our water glasses were NOT refilled even though we were baking in the sun. And after I turned around looking for Molly (our mercilessly torturer from Hell) I could see her eating in the back area, not giving two flying f#cks about her customers. This girl (Molly, whom I now despise with every fibre of my being) left a sour taste in my mouth to the point that I took one bite of my lunch and was putt off. She did not care about customer satisfaction nor whether or not the customer was comfortable, hydrated or even moderately tipsy which would garner her more tips... The surprising thing is, out of respect and basic etiquette, my friend and I did tip 20% (that's just good manners which is more than I can say for Molly, Satan's Hell mistress) and I did telephone the restaurant in hopes of speaking to the manager about Molly and lodge my complaint. But I was surprised when my grievances fell upon deaf ears. Friends, Chicagoans, Countrymen... if the management at Jerry's does not care then by golly why should their wait staff care either? And better yet, why should we, as paying customers care enough to patron this abominable establishment???! I will not be returning and would rather spend a ridiculous amount at a Lincoln Park restaurant then be subjected to awful service and mediocre food at this establishment.",0.7696,0.764,0.124,0.112,0.5477941176470589
2017-04-23,5.0,"I love both dining in here and ordering for delivery! Quality of food: Tons of options for everybody- regardless of dietary restrictions. My boyfriend and I are vegetarians and our favorites are Greg L, Mountain G, and Larry D. However, our minds were blown when we found out we can substitute a veggie patty or fried tofu for any of the meat-centric sandwiches- this opened up so many new possibilities! I love the Ansel A with fried tofu- such a great substitution for a fried chicken sandwiches. Not to mention- the sides are all vegetarian friendly too! Favorites include the pasta salad, potato salad, and sweet potatoes.  Dining In: Never a complaint- attentive and knowledgable service staff. Extensive beer selection. Delivery: Super quick- quicker than listed on grubhub! Orders are always correct. Food is never soggy. Delivery containers keep every thing separate and prevent juices from spreading.",0.9822,0.798,0.188,0.014,0.5788961038961039
2017-04-15,1.0,"Wow, could the service possibly be any worse? I realize it's just a sandwich / burger place but it took 20 minutes for someone to take a drink order, and over 45 minutes for our sandwiches. Our waiter pretended like nothing was wrong and avoided our table until we finally flagged someone down to check on our food. This isn't the first time I've gotten terrible service here,  but it certainly is the last.",0.0979,0.759,0.129,0.112,0.676031746031746
2017-04-13,5.0,"Consistently an excellent restaurant.  I've only had their burger, fries, and Mac n cheese. Makes my list of top burger places in the city. Versatile menu with many options and flexible with customizing.  The quality of the meat is excellent. The fries are fresh. Portions are great. Their condiments are also amazing. Spacious place, clean, great atmosphere, friendly staff.  Been here a few times and plan on exploring the rest of the menu.",0.9839,0.661,0.339,0.0,0.6833333333333335
2017-04-10,4.0,"Automatic 20% tip was added to our party of 6. The recommended amount was shown on the bottom of the receipt. However we were charged more because they wrongfully figure their automatic 20% including the Taxes. I googled this and it is not supposed to be done that way. It's supposed to be done before tax is added.  It is a small rip off and wrong for them to do.  Food was good, side dish sweet potato chunks were very yummy. Service on point. Nice place with lots of families and hipsters. Nice vibe.",0.9299,0.771,0.183,0.046,0.66875
2017-04-08,1.0,"Small entree portions, greasy cheese curds and the wait staff are awful. Good place to drink if your a lonely alcoholic.",-0.3818,0.669,0.114,0.217,0.64
