date,star,text,compound,neutral,positive,negative,subjectivity
2011-05-09,4.0,This place always had good food for a nice price and the staff was superfriendly and the food was fast as well. I truly miss this spot.,0.8442,0.619,0.331,0.05,0.7333333333333334
2011-05-08,5.0,"What in the hell happened?  Why, oh why did you close?  I was taking my LaCocina friend (we always lunched there) to LaCocina for lunch and You. Were. Gone!!! I LOVED this restaurant and went to it quite a bit for lunch.  Awesome guac, AMAZING Mole sauce on their enchiladas suiza.  I miss you!!!  COME BACK!!!  Or tell me where you went.",0.9299,0.682,0.236,0.081,0.675
2011-01-26,4.0,"I suppose I should start off by saying that I'm not a huge Mexican food fan. It's always my better half's idea to go, so go we went! La Cocina is on Jackson Blvd and pretty conveniently located: its on my way from school to Union train station.  The interior is super fun: bright orange striped walls and nice wooden tables. They have Jarritos drinks (Yay!) and Coke in glass bottles (Double Yay!) The food is alright, but nothing to write home about. I had the cheese quesadilla, which was good, but not spectacular. My boyfriend got the flauta and a taco, which were also solid. Granted, the food was cheap and pitch perfect for the price range, but don't choose La Cocina if you're looking for somewhere with interesting and new dishes. The one thing that kinda irked me was that when my boyfriend asked for a simple customization (potatoes in his beef taco), he was shot down by the owner at the counter immediately. No apologies. No explanation. Just ""No."" Pretty annoying. In fact, the service is was took this from being an overall solid experience (which would have been 5 stars for me) to leaving something to be desired. Yeah, its great we get free chips, but just tossing them on the table and leaving without a word is *not* great service.  Another thing, there's a free water stand in the back right corner that's hidden. Didn't think it was conveniently placed for customers to see, but I suppose that's the point when you want to force people to buy drinks. Double Annoying. Overall, La Cocina is the place for solid, cheap Mexican food if you're in the area, but don't make a trip out of it. It's really not worth it.",0.9935,0.752,0.199,0.049,0.47113047770942523
2010-11-10,3.0,"Great place for lunch, but it loses 2 stars because:      1) sometimes I cannot get a table and       2) for the overpriced entrees. Seriously, the entrees are pretty much the same ingrediants as the burittos, why charge a few bucks more? But the quality of the food is pretty good. The hot sauces on the table need to adjusting because I accidentally poured the enter green sauce on my food because the spout was too large compared to the red sauce. (Inconsistent bottles).",0.836,0.755,0.159,0.086,0.4728741496598639
2010-10-29,4.0,"This place is the best mexican in the loop. I only give them less than 5 stars because they have the tendency to leave stuff out of my order. but i really dont mind because it's that good. their chicken is my fav in the city. and i love the house music that's always blastin' when i'm in there. we call it ""Disco Taco"" update, so they closed. but there are other, ""just as good"", locations.",0.9528,0.794,0.193,0.013,0.4356060606060607
2010-10-14,4.0,"Some people are afraid Chipotle and Q'Doba will snuff out places like La Concina. If places like La Cocina continue to make high quality, low cost options that are just different enough (La Cocina has way more than just burritos and tacos), worriers should be assuaged.  If you have the chance to stop by La Cocina, be sure to get a smattering of what they offer--I recommend the tortas and tostadas.  Something I can't rate, but you better believe I'll be back for is BREAKFAST. Yes please to juevos rancheros!",0.9192,0.762,0.188,0.049,0.5254320987654322
2010-10-14,5.0,"This is authentic Mexican food.  The first time you go I strongly suggest anything with pork, because it's outstanding and keeps me coming back more than anything else.  It has just the right level of heat, a kick but not enough to make my eyes water.  The seasoning is tasty and there are some sauteed onions mixed in.  I've been such a regular that the guy at the register knows what I will order unless I change things up. The other meats are good as well.  The tortillas are high quality, the rice is tasty and just the right texture, and refried beans are just what you'd expect. A taco dinner is a good healthier option.  It's 3 tacos with your choice of meat, plus lettuce, tomato, and cilantro, with rice and refried beans.  Sometimes I order each taco with a different filling, and they never mind. Just yesterday I had a pork burrito and it was great.  The meat was generous and delicious, the filler ingredients like lettuce and sour cream were there but not intrusive.  They had even grilled it to make the tortilla just a bit crispy. The taco salad is very good, with lots of meat, lettuce of course, and guacamole, sour cream, shredded Mexican cheese and tomatoes on top. For dessert you have to get the choco-flan.  They don't have it every day, but it's amazing and easily worth both the price and the calories.  It's very moist, tasty and you don't find it just anywhere.  I mop up every last drop of caramel sauce at the end. Whenever I ask myself  ""What should I get for lunch today?"" and I think of La Cocina, I immediately begin to salivate.  The prices are higher than fast food but the quality more than makes up for it.  If I didn't care about my waist size I would go twice as often.",0.9917,0.838,0.144,0.018,0.4531776556776556
2010-10-11,4.0,"I stumbled upon this place while in the Loop for a work conference. I was in a hurry and in need of a quick lunch, and this place really delivered. Not only was it super fast - I think I was still putting change back in my wallet when my order was ready - but it was delicious. I think I might have actually let a few foodgasm noises escape me while a room full of strangers discussed integrated communication strategies. YUM.",0.8834,0.852,0.148,0.0,0.4742424242424242
2010-10-08,5.0,"Don't let the appearance of this place fool you.  This is some of the best Mexican food in Chicago.  I recommend the enchiladas or burrito (beef or chicken are both great).  A full dinner with an authentic glass bottle of Coke (made with sugar, not corn syrup) will run you around $10, so for a quick meal it's a little pricier.  But the quality of the food is amazing.   Go early if you're going for lunch.  The line quickly goes out the door by noon on weekdays.",0.8225,0.855,0.114,0.031,0.5454545454545454
2010-10-05,4.0,"If it wasn't in the Loop, I'd probably give it 3 stars. The tacos are alright, but not amazing.  However, it's the only under $5 meal (2 tacos) that I've found in the Loop that I haven't been sketched out by, so I've eaten here several times.  The horchata is good too.",0.0624,0.832,0.095,0.073,0.625
