date,star,text,compound,neutral,positive,negative,subjectivity
2017-07-13,5.0,"Pizza was great, and service was good as well. We really liked the pizza with an egg in the center.",0.9041,0.568,0.432,0.0,0.5625000000000001
2017-06-10,5.0,Of the 4 things best about pizza I had 3 this time. The ones I love are 1-thin crunchy crust. 2-sauce that does not taste like a tin can ot too acidic. 3- generous with the cheese. The fourth is getting someone else to pay. I was alone so I missed that one. Well worth the visit. Thick crust pizza is artificial to Chicago. As a boy all the pizza here was thin. Someone made up Chicago style. It is more like a sandwich. Try the thin crust and you will be happier and skinnier.,0.8913,0.717,0.183,0.1,0.5194444444444444
2017-04-29,1.0,"I'm pretty sad to write this review as I've had pizza from here before and thought it was fairly good. I placed an online order at 4pm for a 7pm delivery. Within a few minutes, I received an email confirmation that the order had been placed and my credit card had been charged X amount. Ok, thought everything was good. At 6:30pm, I received a second email stating my order was ready and would be out for delivery with an estimated arrival time of 7:06pm.  At 7:45, I called the store to ask if my order was in fact on the way. The woman who answered said she could not find a record of my order anywhere, refreshed the online system, then read to me the names of all the orders they received on her shift (4 total, a violation of privacy in my opinion, and completely unnecessary for me to know). I said I simply wanted to make sure my card was not charged as I had received an email receipt that it was. She could not tell me this information so took my number to call me back. No call back.  I will never patronize Apart again, which is sad because the pizza's not too bad. But how can you have an ordering system that sends not one, but two confirmation emails to customers and you supposedly have nothing on your end?  The worst system of ordering and customer service I have ever experienced. I also have to now follow up with my bank to cancel the transaction that did go through for the order that apparently didn't go through. Wtf. A glorious waste of time.",0.3538,0.833,0.09,0.078,0.5556349206349206
2017-04-08,2.0,"Decided to try something new and order from Apart which is within walking distance. Unfortunately the experience was not good. I ordered online and chose takeout and was given a time to pickup my order. I walked several blocks from my apartment and arrived after the time I was given but they had no record of my order. The two ladies behind the counter did some digging and also refreshed the online system. That helped as the order popped up and they said the online system must never have refreshed so they never saw it come through. They offered to push my ticket to the front of the line. I asked how long it would be so I could come back and was told at minimum 25 minutes or they could deliver it no charge but would take much longer (they just quoted a phone order 90 minutes for delivery). I chose to leave and come back.  As I arrived back at my front door(less than 10 minutes), I received a call that they found my order. Surprise! The order had come through all along, was prepared before I got there, but was told it was set aside for delivery so they didn't see it. So I turned around and went back, picked up my order with a side of ""sorry I'm pretty new"". I was offered a bottle of water or drink for my trouble, which I turned down.  Once home with the food, pretty disappointing. I could have forgiven an order error on a busy Saturday evening and new employees if the food made up for it.  I ordered garlic knots, which online said comes with red sauce and a side of ranch. My order had neither (maybe I should have checked after all that!). It wouldn't have been a big deal if the knots hadn't been horribly overcooked. Visbly you could tell they were burnt as they were a mix of dark brown and black. They were hard as a rock(I actually had to use a steak knife to cut them!), and super dry so that sauce would of made some of a difference. The pizza was just ok. The crust edges were cooked nice and crispy but the rest of the pizza seemed slightly underdone and was sloppy.  Needless to say for a place within walking distance, it's disappointing i won't want to go back. I'll stick with my usual Ranallis or Antica Pizzaria if I want a close local pizza.",0.6779,0.839,0.076,0.085,0.4463383838383838
2017-04-05,4.0,"The employee was very friendly (both over the phone and when I picked up order), and their ranch dressing is delicious. I had the Apart pizza and a vegetable one, and the crust is so thin that my veggie pizza had soaked through. Recommended for those who love thin crust.  I will probably return again and give the other pizzas (with less moisture preferably) a try!",0.9258,0.809,0.191,0.0,0.6273809523809524
2017-03-17,5.0,"First, let start with the people, they are very friendly, attentive, and actually care of you like what you're having. The spinach salad was very fresh and the balsamic dressing complimented it nicely. The garlic knots were also extremely flavorful. Next we ordered two pizzas and again they knocked it out of the park. The thin crust was crisp and really let the flavors shine through. Finally, the chocolate, Nutella, and fresh banana crescent was perfection. We'll definitely be back!",0.9771,0.726,0.274,0.0,0.5428571428571428
2017-02-18,5.0,"A+!! We discovered Apart through Groupon and decided to give them a try since it would be discounted anyways, and we couldn't have been more pleased with our order. We ordered a large half Pollo Tuscano and half Quattro Stagioni, a large Greek salad, a chicken Parmesan sandwich and a chocolate raspberry dessert for all around $40. The pizza was fantastic, definitely not skimpy on the toppings and had the perfect thin crust. Everything was made with high quality ingredients and the presentation was spot on. The delivery took a little longer than desired, but it was a Friday night so that is to be expected. We will definitely be ordering from Apart Pizza again soon!",0.9107,0.868,0.132,0.0,0.5519047619047619
2017-01-02,2.0,"The pizza is excellent - but the service is poor. Extraordinary waits for food, bad website interface, and a hefty delivery charge despite the sign on the front of the store saying ""free delivery!"". I want to like this place - but it's just not worth the trouble.",0.4176,0.585,0.238,0.177,0.6238095238095237
2016-12-04,2.0,"Beware of ordering from their website. Apparently their web app is buggy. I checked on my order an hour after and they said they didn't receive it even though I got charged ~$60 on my card. Person on they phone said he can see me order, but they didn't get notified. I was given something equivalent to ""oops my bad, wanna cancel the order?"" I've worked on service related businesses before and expected better customer service. No consolation attempts were made until I half jokingly asked. I decided to continue the order since I didn't want to have to look for another place that served vegan pizza since I had vegan guests at my event. The food came about a little more 2.5 hours after I originally ordered. THEY gave a coupon for a free dessert, but I don't think I'll be ordering again. Sausage pizza was alright, crust was crispy, the rest was soggy. Didn't try the vegan pizza.",0.0044,0.856,0.066,0.078,0.5033333333333332
2016-11-18,5.0,"We ordered the Buffalo Chicken and Quattro Stagioni. Both were tasty, but the chicken one was the best!. I ordered the 14"" and almost ate the whole thing without even noticed. The thin crust makes the pizza so ""light"" hahaha.  The place is focus in To Go and Delivery order obviously BUT ate there and the ladies who were our servers were really nice. The made us feel welcome. No complaints at all. Tasty flavor, great service. A few things, they have free delivery before 3pm according to its ToGoMenu and it's BYOB.",0.9661,0.736,0.209,0.056,0.6615384615384615
