date,star,text,compound,neutral,positive,negative,subjectivity
2016-05-09,5.0,"No more dinner service here! Saw a sign on the door yesterday that said it was closed and the last day of service was April 30 (2016). This place will be missed, best pasta in Logan Square no doubt.",-0.4926,0.708,0.09,0.202,0.24166666666666664
2016-04-03,5.0,"Highly recommended!  I have rarely had such an amazing overall experience.  Service was spot on. But the food... The food! Had never tried a hand-made pasta called trofie.  It's so good and the sauce was perfect.  Also the table-side polenta was truly the best I have ever had. Lots of options for the vegetarians who were with us.  The owner was consistently rounding on every table to ensure every guest was having a great experience.  Then we splurged and had some shared desserts. I couldn't choose a favorite. The chocolate cake, the caramel cheesecake, and the tiramisu were all so very good.  And I have to add that I am very particular about dessert - usually I just pass it up.  I'm so glad we didn't!  I will always come here when I'm in town!",0.9889,0.733,0.251,0.016,0.6135555555555555
2016-03-30,5.0,"The food here was absolutely amazing. I couldn't believe they had both wild boar and venison on the menu. Our waiter was super nice, and the atmosphere made it feel like we were in Europe rather than in Logan Square. The Tiramasu, while not what I expected was truly excellent. After eating we went down to the speakeasy where I had a delicious cocktail. I would definitely recommend this to anyone looking for a good place to eat in Logan Square.",0.9844,0.672,0.328,0.0,0.6755555555555557
2016-03-23,4.0,"Another great spot in our hood. We wanted to do a grub crawl but got here and stayed. I went because I'm addicted to wood fired pizza. I'll get back to that. We were quickly and graciously greeted by our server Steven who went over the specials and quickly got us a drink and some calamari. The space was warm and cozy. He picked my girl a nice glass of red I had a Stiegle on tap! The calamari was decent, not as good as BT's down the street closed on Monday hence our first visit here. We then split their Brussels sprout / arugula salad, a knock out! My favorite use of arugula ever. When discussing the pizza, Steven in his most professional, tactful way tried to explain that this place is clueless about pizza. He warned me that it would be a soggy mess in the middle but have nice crust on the edges. I ordered one anyway as I said I have a pizza problem. Here is what bugs me. Their oven was perfectly hot. I passed it on the way in. The ingredients were generous and of high quality. The dough was a nice dough. It really wanted to be a good pie. The execution is where they fell on their face. It was exactly as Steven had warned it would be. It was great along the edges and a bowl of pizzaish soup in the middle. So close yet so far! No biggy, I took it home and added more dough and cheese and rebaked it the next night. Now we also got their fungi pasta.....swoon! To say we both loved this dish was an understatement! Perfectly textured fresh pasta just covered in killer rich truffle cream sauce and tons of shrooms! No joke this may be my favorite pasta dish ever. We will be back for this alone! Steven picked my girl a different wine for this course, listening to what she wanted he got her a nice super Tuscan that we both loved. He packed up our pizza soup and as we were chatting about all being industry and clearly not impressed by the gloop. He brought us each an Amaro and an truly amazing tiramisu! I'm scared to say how much I enjoyed them together. I just can't admit to liking Amaro. I'm afraid I'll grow a mustash and get skinny jeans and a cowboy shirt and start making my own bitters! Anyway. Great service, salad, drinks and pasta. The pizza reminds me of the classic movie the jerk in that it should be served in a cup.",0.9957,0.69,0.201,0.109,0.5768171296296296
2016-02-10,2.0,Ordered delivery. The salad had rotten soggy smelly tomatoes and frozen arugula. The dressing was not a great pairing even for fresh veggies. The pizza was alright but the sausage tasted terrible - rotten old pork. Will not order again.,-0.8945,0.666,0.066,0.268,0.6125
2015-11-13,4.0,Very good food at reasonable price. I really enjoyed my dinner at Letizia's restaurant. She welcomed me warmly and recommended some really good dishes. I really liked the herbs gnocchi and the boar ravioli. The tiramisu was non-traditional but good.,0.9297,0.628,0.372,0.0,0.6685714285714285
2015-11-12,5.0,"Can't think of anything that would give this place anything but a 5 star review. Everything I've tried here is so delicious, especially their del bosco pizza! Service, great and waiters are so friendly. Depending on the night it would be perfect for a family or for a casual date night. Atmosphere is perfect. Parking, generally easy, service is quick.",0.9901,0.588,0.412,0.0,0.8277777777777778
2015-11-05,5.0,"Solid pizza place.  We had a gilt city deal that included 2 drinks and a pizza each for a nice price. I made a reso using open table and hopped on over on a Thursday night when they have jazz or some other live music in an adjacent room.  We were greeted and seated quickly and told the specials. I quickly picked one of the specials as soon as I heard the world truffle in the ingredients. Hubby had the basil and ricotta which has globs of gooey cheese. When the pizzas came out, I realized there was meat on my pizza. I asked the waiter if it was a mistake and he said nope. It was just my impulsiveness, not listening to the rest of the ingredients. I asked if we could switch for anything else and without a problem or any attitude, he got me another amazing mushroom and truffle pizza in a jiffy.  The place was a little tight with seating but had cute decor with an intimate vibe. I thought the food was solid and the wonderful customer service just took it to the next level. I was full and tipsy by the time i left (2 most important post-meal feelings!) and didn't make it to the Jazz as it was a weekday but I would definitely go back and check it out.",0.9702,0.875,0.118,0.008,0.49553571428571425
2015-10-31,2.0,"We went here on a lark. We wanted a decent dinner without dealing with the crowds on the Square. So, we found Letizia's on an Open Table search. But we didn't make a reservation, and this seems to have been a mistake. When we told the fellow (manager?) that we didn't have a ""resie"", we were escorted to the basement...excuse me, the ""Speakeasy"". First impressions of the place is that it's cute and well put together, but the basement was, well, a basement, complete with giant trash can and smelly mop bucket.  We like to go out to eat and spend a little more than the food is probably worth for the experience. Atmosphere is very important. The last thing I want is to look at a trash can with dirty dishes pilled on top and smell bleachy mop water while I'm drinking a $9 glass of wine. The basement area was a mess. It seemed as though they had thrown it together with little thought to its actual utility. But more importantly the SMELL was terrible.  Our server did her best under the circumstances. This place clearly has some management issues. There were 6 or 7 tables in the basement and one server. This wouldn't be such an issue, if they hadn't sat ALL of the tables within a 20 minute period. Our poor server was slammed, but she handled it with a smile. Meanwhile, other servers and the *owner* simply looked on without lending a hand. So, it took us much longer to actually get food and drinks than it really should have. We left a big tip for our lovely server. Meanwhile, the wet mop sat in the corner smelling up the place and the phone rang LOUDLY and incessantly. It felt more like a crappy sports bar than a nice-ish restaurant.  I figured that the main dining room upstairs would be packed when we left - surely this would explain why we were relegated to the bowels of the building. Alas, there were at least 4 empty tables when we left. I'm sure the upstairs experience is far superior. The food was good, though our order was wrong (we didn't say anything as we were moving into hour 2 and needed to get to a party). A messed up order happens in that chaos (again, management should have stepped in to help our server). I haven't written a yelp review in years. I don't like to complain in public forums unless it is to serve some purpose for others. So, I just want to warn potential patrons to ask to NOT be sat in the basement. And hopefully, the management will see this and do something about it. Take into consideration that your patrons are not just paying for food, but also for the experience. Build a broom closet, for crying out loud. Organize the place and make sure the musty basement, mop water smells are gone before you ask people to eat there. I also plan to write an e-mail to the restaurant to alert them to these issues.  I'm sorry to say that, despite the delicious food, we probably won't be back.",0.9698,0.773,0.135,0.092,0.5286147186147186
2015-10-21,5.0,"Had a lovely dinner here last night with a friend and will definitely come back again. Very pretty setting, great service, full bar, and delicious food - and the owner is so friendly! They even have a cool lounge in the basement if you want to hang out before or after dinner.",0.9822,0.571,0.429,0.0,0.5766666666666667
