date,star,text,compound,neutral,positive,negative,subjectivity
2016-07-28,5.0,It is a very sad day when such a breathtaking inventive and creative masterpiece joined this clueless area of streeterville. Every morning you could see the master chef rolling dough and making mouth watering croissants like from France. The jam and butter was so pure like all of the items! I truly loved the deconstructed eggs Benedict and roasted potatoes. The hamburgers were like heavenly seasoned meat patties! You will be missed and many thanks to Chef Isaac for bringing his love of locally sourced food to my former area. Hopefully you will open up something in west loop where the people will appreciate the beauty of your food.,0.9892,0.626,0.318,0.057,0.5607142857142857
2016-05-15,5.0,"This is my favorite go-to spot in Streeterville! I used to live around the area and if I wasn't in the mood to travel far Local Root was never a disappointment. The food is delicious and I love their seasonal dishes. I love that the food is grown locally. As well, their service is amazing! I've always enjoyed the servers and staff. Highly recommend it!",0.9844,0.624,0.376,0.0,0.6033333333333334
2016-03-16,2.0,"RECEIVED A ""THANK YOU AND GOODBYE"" message from the restaurant indicating that they were closing their doors.",0.4995,0.823,0.177,0.0,0.0
2016-03-12,2.0,"Pretty darn disappointing.  The sweetness of our server did not remotely make up for the mediocre meal or devastatingly slow service. After reading the menu in the foyer, we were pretty disappointed to discover that not only was the full service menu smaller which means we had to change what we had settled on but they were out of two of the remaining menu items items my fam of four wanted. It took around 40 minutes to get out meal. Eldest daughter thought my French toast was better than what she was served, I got a hash that I couldn't even finish because it was swimming in grease (I purposely left the grease puddle in the middle and the hash scraped on the outside but nothing was said / demerit for server). The portions were also quite small fir what we received.  Lesson learned...never again. I'll wait an hour for yolk or Wildberry next time I'm in town.",0.5859,0.899,0.062,0.039,0.4735294117647058
2016-02-29,4.0,"The food was good- creative combination of flavors. I'm a fan of locally sourced food, so that alone was a plus. The place itself is tiny, but service was good.",0.7757,0.676,0.276,0.048,0.54
2016-02-28,5.0,"I just popped in for a light bite in the late afternoon. I had their Acorn Squash Sope which is vegetarian normally but they left the Feta Cheese off to make it Vegan for me. It was really delicious and Carlean paired it with a really nice, not too bold, red wine. The prices are very reasonable and I absolutely love the concept of this restaurant. Even though there is not much vegan food on the menu for me, I am looking forward to trying more.  I think that their menu probably changes a lot since they do local, sustainable, organics. The space is small and quaint and the service is excellent. What a jewel in the city.",0.9761,0.793,0.186,0.021,0.5397777777777778
2016-02-26,3.0,"A co-worker of mine recommended this restaurant to me. Funny enough, I heard about it and was one of the places I bookmarked to visit.  This was a great recommendation. The food was locally sourced so everything tasted fresh.  I ordered crab cakes and this by far surpassed all the other places in Chicago where I've had this dish.  They have the crunchiest exterior and when biting into the cakes, they had a nice chewiness - it was fresh!  And the waiter wasn't joking when he mentioned this dish was spicy, it had a kick. I washed the food down with an iced tea.  I think it was a peach iced tea which was the tastiest even though it wasn't sweetened.  The aroma of the fruits in the drink made me happy. Now, minus some points for the panna cotta.  Hello!?!?!  This needs works.  I'm thinking about the panna cotta dish I had back in New York and the panna cotta at Local Root was lacking.  I was cheating a little by having sugar but I honestly didn't feel bad about it because I didn't finish it.  It wasn't bad but it wasn't great either.  It could have used more fruit preserve topping.  Improve the desserts please!",0.9878,0.804,0.179,0.017,0.5453222703222702
2016-01-29,2.0,"Alright, so I appreciate the whole ""farm to table"" concept. I'm all for it. In my experience these types of places are quick, have a robust food menu, and stellar customer service. Things I liked: the ambiance, and their in-house sodas. Spunky. Now let's get into my grievances with this spot: We opted for this place today after learning they had a Restaurant Week Lunch Menu. For $22, the selection was pretty bleak. My butternut squash soup was good and portabella mushroom sandwich was tasty (goat cheese made it flavorful, otherwise it would've just been ""meh""). Service was so ridiculously slow-- we were sitting around idly for 40 minutes during our lunch hour, waiting for the third course. I had selected an Apple Fritter but asked for it to be packed. When I opened it up to eat just now, it looked half eaten. Regardless of whether or not it was, the portion size was meager, at best. Really lame deal for $22. Especially upset by our experience here today because one of my friends is gluten-free, and she had specified her restriction to the waiter upon ordering. Lo and behold, her plate came out with potatoes touching her omelette (potatoes shouldn't have even been on the plate, it's all gluten!). Sure, they corrected their mistake... but it took over 15 minutes. In principle, it should have been deducted from the bill, but I won't get into that. All in all, was hoping for a better experience... but won't bother going back.",0.9584,0.823,0.125,0.052,0.558641975308642
2016-01-10,4.0,"I like that there's finally an organic focused restaurant downtown. There could be some improvements and some things made me hesitant trust the place. For example, I called and asked what oil they cook with and they said an olive oil canola blend. Then I asked if the canola was certified organic. They looked for a certification and said ""yes, it says non-GMO"" not realizing that non-GMO and certified organic are not the same. I was concerned about why an organic focused restaurant wouldn't know the difference.  When I went into eat, the waitress told me the meats were all organic. But, I brought up that some of the farms I recognized and those weren't certified organic. She clarified they weren't all certified organic but that the farms do followed organic practices. I wish she was more upfront about how they were defining organic, it just seemed a little sneaky. I was left wondering if the farms really did follow ALL organic practices. I understand that verification costs money and like the idea of supporting non-certified but organic practicing farms, but the way the waitress said it made it seem like she didn't know what certified organic meant which made me wonder if she knew what organic practices were. The restaurant seemed to focus more on the local aspect than the organic aspect.  I enjoyed my steak. The bread pudding was great. I'd like to support more organic focused places. I wish this one was more upfront about how they were  defining organic.",0.992,0.815,0.172,0.013,0.42500000000000004
2016-01-07,5.0,"Wow! I'm really glad that I didn't check the reviews before going to Local Root! I was driving my son to the airport and we were trying to find a lunch place that served clean, tasty organic options (besides the cafe in Whole Foods). My son ordered a mocha coffee drink which was rich & delicious and I started with some Jasmine Tea which you get at least 2 full cups of in the pot. I'm self admittedly a tea snob and a stickler for organic tea. The selection was fun and my choice was soooo good - like a warm hug - very satisfying! He ordered a burger - after the first bite he was interrupted from inhaling it only to say how amazing it was. Edzo's (Burgers) in Evanston is an excellent option for grass fed and organic beef burgers, truffle fries etc , and finding this place was a real treat. He said the burger tasted like it had truffle in it. It was served with home made chips as well. I ordered the beet/arugula/goat cheese salad with candied walnuts and a piece of salmon on the side. The salad was fresh, the dressing was perfect and the salmon was moist and extremely tasty (I'm craving it right now). This place will definitely be a ""go to"" place when in the area. I'm not sure about these other mixed reviews, I just know we had excellent meals as well as friendly attentive service. BTW - I rarely write reviews on YELP but this restaurant deserved my recognition.",0.9835,0.809,0.172,0.019,0.6694312169312169
2016-01-03,2.0,"I wanted to love this place, as it's in my neighborhood, but it's just not my jam. I respect what they're trying to do with local, organic food - but for me, the taste just wasn't there. I ordered apple cinnamon french toast for brunch, and it just wasn't good - the apple compote was good, but there wasn't much of it, and the french toast itself was very dry and flavorless. I added a lot of whipped cream (which was fantastic) to make it work. My side of bacon was quite tasty, but my friend was also underwhelmed with her breakfast burrito - it needed something to liven it up. She asked for sour cream (they didn't have any) and settled for salsa, which helped but didn't redeem the dish.  I understand why the prices are higher, and I know that, in theory, the quality of ingredients is probably higher. But it didn't translate into a more enjoyable dish, and I don't feel passionately enough about eating local to return.",-0.2555,0.862,0.063,0.075,0.39875
2015-12-20,3.0,"Went for dinner. Great shared plates - the cheese and toast board was our fave of the 3 we tried as appetizers. The pretzel with cheese was good but the pretzel is more like pretzel bread and cheese sauce is mild.  We actually ordered 4 different apps, but the waiter forgot one of them. We didn't say anything bc we had plenty of food. And we were not charged for it at the end, so no corrections were necessary.  Then we had 4 different entrees. I had the pork loin, others had sandwiches and salad. Everyone seem satisfied with their food. I thought the pork loin was good but just a little dry. I almost expected that when I ordered since stuffed pork is hard to do perfectly.  Really likes the atmosphere of the place. I would come back to try their brunch if I was in the area. Don't think I would for dinner since it is a smallish bistro menu and my group of 4 probably ate half the menu in one sitting.  I give it 3.5 stars because we had a few mistakes but I think the group had an overall satisfactory / good experience. Nice quiet place for dinner.",0.9865,0.769,0.191,0.039,0.4859848484848484
2015-12-14,3.0,"The food itself was good, so no complaints there. The service on the other hand was a bit lacking. Had a very unenthusiastic waiter and looked as if he was hungover. Look, I get it, we've all somewhat been there, but I couldn't overcome the slow, awkward service.",-0.1956,0.798,0.083,0.119,0.5349999999999999
2015-12-03,2.0,Confusion and side talk encompassed the host process.  Sure we walked in without a reservation but the hostess appeared confused as what to do and then carried on a 5 minute conversation with what appeared to be the bus boy without speaking one word to us. The food was boring and bordering on bad. The service was good.,-0.775,0.734,0.082,0.184,0.7711111111111111
2015-11-18,5.0,The best bottomless mimosas ever!!! Seriously the best $20 ever spent. Killed a couple hours while it was pouring rain upon my arrival in Chicago. The place was very hipster-friendly and cute. I didn't have any coffee while there but the lattes looked amazing. I ordered the pulled pork eggs Benedict which was delicious. Will definitely be back on my next visit to Chicago!,0.9648,0.668,0.281,0.052,0.4151515151515151
2015-11-17,5.0,"On Monday, 11.16.15, I enjoyed my first brunch at Local Root.  It was *delicious***!  I had a skillet with eggs over-easy.  Sure, it sounds simple and ordinary, but, it was divine.  There was something so tasty in the onion, mushroom, and spinach sauteed glaze that made this meal stand out among the other breakfast/brunch/lunch places in the area.  A touch of balsamic, perhaps?  To accompany my meal, I had an English breakfast tea...  A nice little pot was brought to me with loose tea that was so aromatic and paired well with my meal.  Plus, my server, Elise, was very nice and knowledgeable about the menu and their offerings.",0.9441,0.814,0.161,0.025,0.5325842960458345
2015-10-23,3.0,"I was expecting a lot more, and being the one of 3-4 people having lunch outside on a Wednesday afternoon...I expected some service.  I specifically asked that my crabcakes be served with salad, they said ""of course"" and I got no salad.  In that time, my waiter disappeared forrrrrrrrrrever so I just dropped it.  Pretty spendy for what you actually get.",0.0258,0.877,0.054,0.069,0.41000000000000003
2015-10-17,4.0,"They have a dog friendly patio! We come here on summer nights with our puppy and he loves to people watch.  The food is pretty good. I pretty much have only ordered the burger. It's always huge so I end up taking off half the bun and eating the rest with my fork and knife.  They usually have drink specials too. Nicely poured drinks that aren't too pricey are always good, right?  The servers are really nice and attentive!",0.9798,0.705,0.295,0.0,0.6894557823129253
2015-10-04,5.0,"A great choice for breakfast or brunch in Streetervile. Food is local, fresh delicious. Loved the pancakes and omelette. Intelligentsia coffee complements excellent food. Skip the crowds at the trendy competitors in the area, and opt for this healthy spot.",0.973,0.578,0.422,0.0,0.6277777777777778
2015-09-27,4.0,"My friends and I needed a place to have some good breakfast food that didn't require a 45 minute wait and this was something that I stumbled upon. I was pleasantly surprised because I enjoyed this place much more than I thought I would. The atmosphere was much more inviting and relaxing as compared to your regular Sunday brunch crowd. The staff was very friendly, from the hostess to our server. We also ordered bottomless mimosas ($19) and they were truly bottomless because I wait or made sure we had a pitcher ready for us to refill our drink at all times. I ordered the eggs Benedict with pulled pork and it was very tasty. The potatoes on the side were also very delicious. Another review described the ketchup being underwhelming, but it was very fresh and made in house, literally, all the ingredients were natural and non processed (tomato paste, tomato purée,  apple cider vinegar, salt, pepper, etc.) which may be why someone comparing to ordinary ketchup was not pleased.",0.9652,0.812,0.17,0.017,0.611054131054131
2015-09-26,1.0,"Not worth the ""premium"" cost for breakfast. If you are a traditional American that likes to overeat a standard boring breakfast you will appreciate this place.",0.6249,0.673,0.249,0.077,0.37
2015-09-23,4.0,"I found this place because my girlfriend and I were having a night in the city. We wanted to support a sustainable restaurant in the vicinity and this popped up as the top result.  All I can say is that I never have trouble spending money on this place. Every dish is cleanly prepared and has the best ingredients. I have tried their burger, the open faced pulled pork, and the chicken sandwich. Everything was phenomenal. To add on top of that, their drinks selection is all top shelf in my book. One of my (now) favorite cocktails is a staple here, and I always get it.  Last night they even had live music! Don't pass up the great, genuine spot in Streeterville. Amidst all the talk buildings and drama of downtown, this place feels like farm to table is just effortless, and they consistently execute on that promise. Oh, one more thing. As others have said, the lamb sticks are a life experience.",0.9768,0.833,0.167,0.0,0.5135416666666667
2015-09-19,5.0,Loved it - ate breakfast here twice on our visit to Chicago. I'm a big fan of healthy food and organic ingredients. It was a bit more expensive than other spots but it was ten times better than Yolk just down the street. Would go back if I'm ever in the area.,0.8316,0.821,0.179,0.0,0.37638888888888883
2015-09-06,1.0,"We went for brunch- it was not busy.... I have figured why!  Our server was great, the iced tea and orange juice was delicious, the rest of the meal, however- was not. The Mac and cheese was bland and flavorless- we added salt and hot sauce to eat it. The crab cake Benedict was burnt and inedible.  The chicken and waffles was terrible. The waffle was flat and the flavor was sub par- had an odd taste. I had the pork Benedict.  It was awful. The pork was not good- all I could eat was the eggs.  Also need to mention that it took forever to be served our meals. Not sure what was going on in the kitchen.   The pain of it? 3 people was $90.00 including tip. No alcohol.  We left and took an uber to go eat- we were hungry!",-0.6994,0.828,0.064,0.108,0.6574786324786325
