date,star,text,compound,neutral,positive,negative,subjectivity
2016-05-22,1.0,"Summary: Food tastes bad. Ingredients are not fresh or creative. Sub-par service, felt horrible after dining there. If you would like to try a good Japanese izakaya place, there are better place out there in Chicago. Here's our story: We love Japanese izakaya and wanted to try a new place other than our regular izakaya joints and so we decided to try Lure. Reading some reviews and seeing some of the pictures, my boyfriend and I were excited.  Upon arriving at the place, a black brick facade greeted us which covers the front of the restaurant so you can't really see into the actual restaurant unless you walk further in. At first, I thought it was an interesting entrance as with those trendy restaurants nowadays but later on I felt like they should have knocked it down to allow us some view of the outside or some sunlight. The hostess lady greeted us and escorted us to our table, which we were seated in the front section right next to the glass window facing a view of that black brick front entrance facade (the hostess lady ended up being the most helpful person for our experience! props to her). The restaurant was quiet despite being a Saturday evening, only 6 other persons were there. Once seated, she served us water and inquired if we had dined there before. We never dined there so she went on to explain the menu sections and informed us that they also specials of the day to which our waiter will be right with us to explain.  ****The Real Scoop**** A few minutes later, the waiter (a guy with a dark beard) came over and was so soft spoken, it was hard to hear him against the background music. He asked us if we would like to start with any drinks. We weren't given a drink menu so we asked him if we could have the drinks menu. He replied so rudely that they didn't have a drinks menu and that what they have were ""red wine, white wine, beer, sake"", literally just listing the categories. For us, we were like uhh.... I guess you don't want to sell your alcohol since you don't want to bother explaining what you really have in detail so we declined the drinks. This is the beginning of where it goes down hill. After that interaction, the supposedly waiter just ignored us when he would come back to our section and skip over to his other tables.  The hostess came back to our table after a while and asked us if we had heard anything about the specials yet, of course we didn't! The waiter didn't even bother to mention about it after we declined the drinks, he just walked away. Anyways, the hostess was nice enough to come back again and showed us the ipad with the specials. When we were ready to order, we informed the hostess since she was the only ONE who was still checking on us.  We ordered the special langoustine, tiger fries, kyuri sunomono, and karaage first just to test out the flavors and the portions. Boy! Was I glad that we only ordered those because when the food came out and we analyzed the individual dishes, it wasn't good. Langoustine has very delicate flavor, but I couldn't taste a single thing. It was so bland and not worth the money. Tiger fries were raved by many reviews--- the fries were definitely from some distribution wholesaler, pre-made, and fried at the restaurant, the sauce was a mismatched of flavors as well. Third dish, kyuri sunomono. The pickled cucumber tasted like the commercial ones that you can buy from Mitsuwa market. If the restaurant counts itself as a creative place, maybe they should look into Sumi Robata's kyuri because they actually did pickle the cucumber from scratch and it tasted good! Last dish, karaage -- nothing special, bland. Please... Itto sushi can do better! Noted, we did receive a complimentary amuse-buche of ebi yaki, it's like the takoyaki round balls but with shrimp. That was the only fresh dish, the batter was crispy and probably the highlight of all the dishes.  If this was not juicy enough, we also had the pleasure of interacting with our supposedly waiter one last time. He came to drop off our karaage to the table and rudely shoved the food on our table. He noticed that our table had plates scattered all over and there was not enough room to place the karaage so he put the new dish down on the very edge of the table with half of the plate still hanging out, ready to tip over to the floor. There was no intuition to clear some of our empty dish or help reorganize the plates on our table. Wow. That was really the last straw. I was so annoyed and was ready to get out the door asap. At the beginning, I was taking pictures of the food so I can post a review about it later. As the meal progressed, I lost the mood to take pictures of the other dishes---very disappointed indeed. My boyfriend and I rushed to finish the last bits of our food and was glad to leave this establishment. Overall, we felt like we weren't welcome, the food wasn't up to our standard and expectations. We definitely won't be coming back nor should you even waste your money and time here!",0.9962,0.818,0.122,0.061,0.423917504064563
2016-05-01,5.0,"We shared quite a few of the different fish dishes and they were all delicious and not that expensive. I would recommended the fish specials, tuna poke, grilled salmon, and duck. The  decor was modern and elegant. Would definitely go back!",0.9184,0.708,0.292,0.0,0.5285714285714286
2016-04-17,1.0,"Went for reservations tonight, Sunday.  Door was locked.   Called sister restaurant, Strings 2, apparently now closed on Sunday, but not CLOSED.   Will try again.",0.0,1.0,0.0,0.0,0.18333333333333332
2016-03-22,4.0,"No crowd on a Tuesday night.  We had our doubts when we saw that, but the food spoke for itself.  Service was quite with the music.  Satisfied after sharing four dishes.  We will return!",0.7574,0.727,0.193,0.08,1.0
2016-03-20,1.0,"I'm writing this additional color commentary to supplement the review from Sean K., live from my bathroom, where I'll likely remain for the rest of the day. I was a guest with the above reviewer at Lure yesterday evening. To put it nicely, I won't be returning. Promises from management of seven course meals that will ""make up for"" our disastrous experience here sounds about as appealing to me as the 25+ strands of mushy, tasteless pasta that remained strewn across our table for the entirety of the meal. To start, the managers visit and pushing of the upcoming seven course meal experience was as demeaning as Trump demanding that Mexico pay for a border wall. We've just had a shit experience with you (likely one of the worst meals of all our lives) and now we are all supposed to contribute hundreds of dollars to experience another one? The attempted upsell here was as sleazy as the worst lower back tattoo. No thanks. Since documenting every part of our shitty costumer experience last night is about as easy as retreating from Iraq, I'd like to highlight a few additional infuriating issues that occurred. - We waited 30 minutes + for second drinks (there were literally 7 guests in the restaurant, so not sure how this was acceptable - The table next to us were apparently revered guests from Indiana. Instead of cleaning off our table, refilling out water or providing me with utensils, this table was given - wait for it- literal terrariums in the middle of their meal. Now, I like science class too, but the priority order seems complete out of whack here.  -The mussels were rancid. Everyone felt sick after the meal. Spoiler alert: one day later, we don't feel great either - Management visits to the table are as smooth sailing as the upcoming republican convention. We were visited by no fewer than 4 people who continued to make excuses for the low quality of the meal, but would not offer any type of resolution, or apology. One woman even literally ran away while we were explaining the situation to her. I've been to several other restaurants that have occupied this space over the years, but at this point even an abandoned building would be a vast improvement over the disastrous spectacle that is Lure.",-0.9812,0.824,0.055,0.121,0.5256572420634922
2016-03-19,1.0,"I've never written a review on Yelp. But sometimes when you have a dining experience that is so spectacularly bad (despite its four star Yelp rating), you are compelled to warn others away from a restaurant. This was such a dining experience.  This is a shared plates restaurant, yet they have a number of noodle soup dishes. We asked if the soups were generally for a single person. We were assured they'd bring us small bowls so we could easily share. They brought the bowls, but there was no ladle for the soup, making splitting very difficult. We asked twice for a ladle, and the servers seemed baffled by the concept of a ladle each time. In addition, the servers screwed up our orders.  The food itself was even worse than the service. We ordered a seafood noodle dish. It contained mussels and shrimp, both of which were rancid. My friends already think they have food poisoning from this dish. The red snapper fish special tasted worse than super market fish sticks. And then mixed in with the edible (using that term loosely) portions of snapper were these garnishes, presumably made from the fish. Thinking they were edible (as they were mixed with the food), I popped one in my mouth. It had the texture of a brittle pine cone and no taste whatsoever. We had plates of uneaten food on our table because it was just bad, bad bad.  At the end, we had made our displeasure known with the service and the food. Yet we had an experience to cap our meal which was really just the cherry on this shit Sunday. The General Manager approaches us and introduces himself and another gentlemen who was the head chef. Thinking we were going to get a very necessary apology for our terrible experience, we were awed as the General Manager proceeds to up-sell us on a ""very special"" 7 course meal event they have upcoming. It was absolutely appalling and clueless. As if we would EVER visit this restaurant again. I was the person who recommended that we visit it, and it was a meal so bad that none of us felt like going out to Boystown afterwards, as we had initially planned. I speak not in hyperbole when I say that this was the one of the worst meal experiences I have had in my entire life.  The four-star average for this restaurant is a total farce. I suspect that friends and family of the owners and employees of this restaurant have given some of the positive reviews boosting this restaurant's school. Do NOT come to this restaurant if you value acceptable food and/or acceptable service.",-0.9914,0.735,0.103,0.163,0.5721055904879434
2016-03-18,5.0,"Came here for brunch and I had a pretty amazing culinary experience! In no particular order, we had: Tuna poke with avocado and togarashi -- it's your typical poke. It was a little on the slimy side though... The What Came First crostino (toast): duck breast, runny egg, green tea vinegar and balsamic. I thought the duck breast was cooked well, and I liked the flavors with the grean tea vinegar and balsamic. The Miso french toast with plum honey, black salt and edible beautiful flowers. This was my favorite entree. Read below for my favorite app: Age Mono (deep fried) avocado with togarashi and lime: usually, anything deep fried is pretty damn good. But a deep fried avocado??? It's just creamy deliciousness all wrapped up in a crispy, crunchy batter. I would get this again! Gonna have to come back here to try all the different udon too! Stay hungry, my friends.",0.9839,0.767,0.205,0.028,0.5340909090909092
2016-03-15,1.0,"After walking past this place a few times and being curious about the rebranding, we decided to give it a shot for family dinner on a Saturday night. It was an incredibly disappointing meal and way overpriced for the quality of the food and the service. We will not be coming back and even if we wanted to, I expect this place will be closed very soon.  Our primary waiter was new, he said it was his 4th day on the job, which is fine - however, there was no senior waiter training him or keeping an eye on him to make sure he didn't screw up. This new waiter knew nothing about Japanese cuisine or the items on the menu. He brought the wrong bottle of sake to our table multiple times and we had to correct him each time. He also took ages to prepare our cocktails, which were sadly the highlight of the meal. When asked about menu items, he could barely pronounce the names, let alone explain what they were or offer suggestions. A few other waiters tried to help out throughout the meal and seemed to be a bit more educated that ours, but it would've been better if one of them had been responsible for our table and the new guy had just been shadowing so he could learn a thing or two before taking on his own table.  Half of the items we tried to order were out of stock and then mid-way through our meal we were given a completely different menu on an iPad. Apparently they're in the process of changing their menu? Would've been nice to know about that before ordering.  The dishes we did get to try were fairly tasty but the portions were small and the presentation was odd. It seems like something has changed since this place opened a few months ago based on the older Yelp reviews, maybe a new head chef? Clearly it's not working out very well. Our tab for a table of 4 was almost $400 and we all left hungry and dissatisfied. More than half our tab was liquor because we were waiting so long for our food that we just kept drinking to make the experience palatable.",0.9509,0.875,0.086,0.04,0.42580176767676764
2016-03-13,1.0,"If you remember Suki you know how Japanese tapas can be amazing, this place fell very short. So short that I was embarrassed that I brought my father here. At this price point you would expect a high level of flavor but nothing delivered. We had several different waiters over the course of the meal and they just said ""we all just sort of help out here"" then said something in French to another server which was just kind of odd. All the things we saw on yelp pics they did not have in stock. We had to ask a few time for specials till someone came along with an iPad with a secret menu on it. We got two fried fishes the one that was fillet had little care taken to remove the bone s. There plating was awful too. The blue shrimp came in a soup bowl that made it hard to see into and share, mine was chewy. After $400 we left disappointed and went and grabbed a cheap pizza.  I hope when they do the next rebranding, they make this place look less like prison. Maybe a cheap sushi bar. After having sushi at what was formerly Macku which was not as bad. But even then the head chef was putting truffle oil in some of the sushi. If you know anything about sushi you would know it's about the delicate favors of the fish, truffle oil is way to over powering and lingers when you try other fishes.",0.7568,0.835,0.096,0.069,0.4223076923076923
2016-03-11,3.0,"Izakayas are meant to be casual after-work drinking places where you can eat small bites that go well with alcoholic drinks. With that said, although Lure is not really an izakaya, the food was delicious. Now onto the food: Grilled beef tongue: Typical, nothing extraordinary about this dish. A bit pricey for the amount given. Blue shrimp: Good but so small :( I wish I had gotten the fried head like some reviews have suggested.  Wagyu carpaccio: This was aight. Not spectacular, good but for the price eh. Didn't stand out to me as the best wagyu I've ever had. Tuna poke: This was really good. Nicely marinated and it's made spicy here. Honestly, comparing to most other Chicago upscale fusion restaurants, they gave a nice portion of it. Udon: How udon should taste; a bit expensive for a kitsune udon but it at least had a decent broth. Nothing wow. Karaage-don: Small as well but the karaage was nicely seasoned. Rice was soft. Yamaimo ebi: The flavours on this is really good. If you are not used to eating gooey kind of textures, skip this. Yamaimo is slimy, much like natto or the insides of okra.  What you should take from this review: Do try different kinds of tapas, but if you want to be full, make sure to order a gohan/rice dish and an udon. Everything else will be extra tasties. Prices are a bit high, so this is not a traditional izakaya but it does serve decent eats. 3.5 stars overall.",0.9955,0.769,0.217,0.015,0.5869444444444445
