date,star,text,compound,neutral,positive,negative,subjectivity
2016-08-20,5.0,"M Vie Chicago located at 1372 West Grand Ave. in Chicago (Behind the Brown Door) rates a 10 out of 10 for a wonderful dining experience. I recently took my wife and son to dinner there for her birthday having discovered this establishment while attending a business reception there earlier this summer. I assure you we will return to M Vie's often! From the chic bar with extensive top-shelf libations selections and a not too intrusive flat screen TV (Olympics were on so I peeked), to the dim lighting which created a warm and comforting environment, there is a perfect ambience at M Vie's that makes this a place you want to be from the moment you step in from outside the brown door. The bartender who, at the owner's direction served as or waiter also, provided the best, most attentive but non-intrusive service I think I have ever experienced, started us off with a few of their signature cocktails and wine from a list that was sufficiently ample for the discerning wine lover.  The birthday girl had a glass of the Crawford Sauvignon Blanc and the Santa Margherita  Pinot Grigio. The only disappointment of the evening was learning that they did not have the BV Cabernet Sauvignon (Napa Valley) offering available that evening though there were suitable alternative options of a Jordan Cab (Alexander Valley) and a Stag's Leap Merlot that were acceptable. Others tried a few of the signature cocktails: The Luxe - Kettle One Oranja, Luxardo bitters (Luxardo cherries upon request-get them!), Rhubarb, fresh lemon and a hint of bar sugar; Jac's Ginger - Forrester Signature, lemon, Simple Syrup, fresh Ginger and a touch of Angostura bitters; and finally, the Masters Lemonade - Whiskey (ask for Maker's Mark like my son did), fresh lemon, Simple Syrup, and a touch of sprite. Each had a distinctive flavor, were well balanced, and refreshing. The appetizers are many and varied with an assortment sufficiently diverse to provide something suitable to everyone's taste. I had the Grilled Calamari (fried is also an option) with a horseradish seafood sauce that was exquisitely prepared - not chewy or rubbery as can be the case with calamari that is not properly prepared. My son opted for a not so traditional order of Naked Chicken Wings (He got the fried ""plain"" version though baked and/or Buffalo sauce are also options). Quite tasty, marinated overnight beyond a doubt, moist on inside perfectly crisp on the outside. The Fried Green Tomatoes were the best that we have ever had anywhere--not just in Chicago, but ANYWHERE I had a cup (misnomer - this was a small bowl) of their famous Gumbo. Without a doubt, from a family with deep Louisiana roots, this gumbo was outstanding! Generous portions of jumbo shrimp, tender shredded chicken, not too spicy andouille sausage and just enough gumbo file to let you know it was cooked with love. ! I would return to M Vie just for this soup and the Fried Breen Tomato appetizer! As for our entrées, I was in a back to my roots Louisiana mood after the gumbo and appetizers, so I opted for the Shrimp & Grits. One word to describe this dish: WOW! The grits held their smoothness during dinner never becoming too firm or clumpy. The shrimp were colossal but tender and more plentiful than the standard 4 shrimp offering. Truffles, a touch of honey and hint of red pepper flake rounded this dish into shape, but it is a perfected dish due to the cheese and fresh grilled corn. You won't find this anywhere else in Chicago. Kudo's to the owners and chef--truly a wonderfully delightful dish. The birthday girl opted for the most generous portion of lamb chops I have ever seen presented in this offering. Three 5oz perfectly prepared at medium-rare succulent lamb chops seasoned only with salt, pepper and rosemary (all that was needed!), served with fresh roasted tomatoes. This may have been the star dish of the evening! Finally, our son had a tender bone-in 16oz rib eye steak served with sautéed spinach and mushrooms. Again, perfectly prepared at medium-rare. Something is offered on top of this dish (sorry, won't tell) that our waiter presented as an option that you MUST include!  If you have appetizers I caution you there may not be room for sides, but the choices are numerous, and they are all delectable. We chose four: Fresh Fried Corn (if you've never had it, try it); Grilled Asparagus; Fresh Hand Cut Fries (lightly breaded creating an interesting contrast in textures on one's pallid); and Creamy Mashed Potatoes (they also offer mashed sweet potatoes).   Sorry we did not have room for dessert. Ooops, I almost forgot. Knowing it was my wife's birthday--but we were full--our waiter brought out a large portion of their famous bread pudding (decadent, truly decadent dessert) with vanilla ice cream in a separate bowl with forks and spoons for each of us.  Without exaggeration, this was a perfect meal and exceptional dining experience. I unequivocally highly recommend M Vie Chicago for your dining pleasure.",0.9994,0.797,0.184,0.02,0.5913291139240506
2016-08-14,5.0,"I have been wanting to go to MVie for a while now, and finally able to go this weekend. Went to celebrate a friends birthday. Why did I take so long to go? The food, the drinks, the atmosphere, the people, the music everything was wonderful! I love the intimacy of the restaurant.  You kind of felt like you were in someone's home.  I had a cup of Gumbo & fried salmon entree so delish.  Try the Derby girl cocktail, so good!  I cannot wait to go back again to get the gumbo and listen to some more live music.",0.9703,0.798,0.202,0.0,0.5694444444444444
2016-07-06,4.0,Happy hours are pretty great with half price drinks.  Food seems excellent.  Ambiance is great and servers are friendly and have nice conversations.  Look for the secret door.,0.9771,0.459,0.541,0.0,0.762962962962963
2016-06-15,1.0,"I WISH I COULD GIVE NEGATIVE STARS! Please spare yourself and do not ever in your life go to M-VIE Lounge. The gumbo tastes like soapy hot dog water. The owner doesn't know anything about customer service and they are beyond short staffed.  I attended a party at the lounge on Saturday night, in which my mother had completely rented out for her party. It's a nice small place with live music and I was just excited to celebrate with my mom and her friends. I thought we were in for an amazing night, that is until I ran into Dawn the lounge owner also known as the rudest human being I've ever in countered in my life.  Before I continue on with the review it's important to add that my mom and owner are newer friends, but I've been away for college for 4 years so I've never met her.  As stated before the place isn't that big, but on this night everything in the place seemed to be a mess. (Both cash registers were broken, there were 2 serves for a party of 50+ people, the servers were also doubling as bartender and bus boys). Everything on the menu was fairly priced, 6 bucks for beers, 12 for cocktails. I ended up ordering buffalo wings and a beer. The wings were just okay, they were served with buffalo sauce on the side because their house policy is they don't add any sauces to their food.  The party was for my mom's 50th birthday and while we were there a bunch of people were buying my mom shots and I wanted to be one of them. So I go to the owner who was now bar backing and was the only free person at the moment, I ask for 3 shots she says ""you have to order them with your server so I can make sure you pay for them"" I respond ""I've been waiting for 25 minutes for her to come to my table, I just wanna order a few shots and I'll pay for them now if that's okay"" she says ""sure"" (now at this point half of the party is getting ready to take a group shot). I take out my debit card and the owner Dawn says ""oh if you're going to pay for your food tab with a card you have to pay for these shots with cash because I get charged every time i swipe someone's card and that's not fair to me""  I say fine (even though it wasn't fine) and sit back down.  I FINALLY get my waitresses attention to order the shots and she tells the owner (the exact same three shots we spent 10 minutes arguing about) The owner pours the shots and I see my waitress add them to my tab. So I go to the owner (now my Dad is literally saying the toast for the group shot). The shots are at the end of the bar and say ""hey we're trying to get in on the group shot, our waitress gave you the order can you hand us the shot please "" the owner says ""no, the waitress has to hand them to you herself since you ordered them with her"" I turn around to locate my sever and she's on the dance floor having a good time!At this point I say keep the shots to the owner it's okay. The waitress comes over to our table TWENTY MINUTES LATER with the shots, we inform her that we canceled them. She asks why and we explain. We ask for the bill and that took another hour.  I know my story wasn't a big deal but it was the sheer fact that she did everything she could to be rude. Over all it was a terrible experience and Dawn the owner's attitude was beyond unprofessional. There are better more deserving businesses.",0.9821,0.833,0.108,0.058,0.5240310077519382
2016-05-09,2.0,"I've great things about M Vie and couldn't wait to check them out on our monthly date night. My husband loves live music, so knew he would be in heaven. When we arrived there was already a set in progress. The hostess greater us and asked if were dinning or going to bar. Of course we wanted to taste the food, she informed us it would be a 45 minute wait. The place is small and interment so the wait time seemed ideal. We were encouraged to go to the bar until our table was ready.  The band was great, the bar was awesome. Ove recently began to enjoy bourbon and the old fashioned I had is worth going back for. However after about 45 minutes & a cocktail. I suggested we get something small to eat while we wait for our table considering I had yet to see any available tables. The bartender graciously informed that the kitchen was closed! How is that possible and I'm waiting for a table? I look over and the hostess stand is closed and the hostess is at the end of the bar, laptop in had, chilling. So here we are a few drinks in and starved. The ambience and cocktails were phenomenal, but the front of the house needs some work.",0.9592,0.862,0.123,0.015,0.47380952380952385
2016-04-19,5.0,"Invited to join my friend and met up with some of her other lifelong friends for a girls after work dinner.  Friends meeting friends.  The ambiance of this place was good for us group of girls, but there are also two or three tables that sort of hint at being . . .  ahh-hmm. . . . .  ""couples only"".   The food is on point and as a BONUS there was live music tonight [woo-hoo].  Me and my ""crew"" did a sampler of appetizers - baked wings [the BOMB and falling off the bone], calamari [allergic so I didn't try but the plate was empty so that said something], spinach/artichoke dip with tortilla chips [that was slaughtered as well], fried green tomatoes [didn't eat but the group devoured them], and fried pickles [a surprisingly tasty treat served with remoulade sauce].   After polishing off the appetizers and a couple of drinks, we took it upon ourselves to help the live band sing a couple of songs they were playing - well after all, we were seated right next to them so we were a backup group [only 3 of us sang out of the 5]!!  By the way, Shout Out to the super cool Bass Guitar player tonight!  Dude was so cool and laid back against the wall while he plucked away at the strings that he was the only one who didn't break a sweat after a 45 minuet set!  My man!! Alas, all is not perfect at M Vie unfortunately so I will break it to you gently.  THIS IS NOT THE PLACE for Riff-Raff, so if you think you're coming in Timberlands and a white-tee you will feel VERY out of place.  Not saying that this is Buppy spot but come in wrong and you might get a couple of unwelcoming stares.  The people coming in here are professionals in suits, ties, dresses, heels, and work attire ready to spend money on good food and drinks - I can't wait to go back.   Sorry no pics.  Between eating and singing we didn't have time to paparazzi the plates!!",0.978,0.783,0.144,0.073,0.6063350340136056
2016-03-12,2.0,"Where to start. The live music was nice, but I will never eat here again. First of all, $9 for a glass of wine that was maybe 3-4 oz at best, is a violation of my wallet. Second, the food was very very bland and overpriced. I ordered the shrimp and grits. It had corn and a sweet flavor which did not pair well with the barbecue sauce and the shrimp. I also only had 4 shrimp in my $16 entree. The grits were very bland and had no creaminess or flavor. The shrimp was also bland. We had peach cobbler for dessert and I could immediately tell that the peaches were directly from a can. And then didn't even try to doctor it up with seasonings. It was literally canned peaches and frozen pastry dough. The crust wasn't even brown and buttery. The peaches, since they were canned, we're slimy and watery. My girlfriend had the gumbo which was equally as bland and disappointing. Service was sub par at best. Ideally I would give this place one star for the food and service and two starts for the live music. If you're going on a date and want to actually talk to your partner, forget about it, because the loud live music makes it impossible. Needless to say I'm still on the hunt for a black ownef restaurant that has amazing food and amazing service. I know it's out there somewhere.",0.9642,0.815,0.125,0.06,0.6659722222222223
2016-02-13,5.0,"Great food, , great and fast Service, and great atmosphere!!! Gumbo is the best...Thanks D...",0.9346,0.455,0.545,0.0,0.7125
2015-12-17,5.0,"The customer service is great, the food is outstanding and the drinks.... delicious.  We had the fried pickles and shrimp and grits.  They were fantastic!  It was our first time going and the bartender was so nice and his recommendations were spot on.  The music and the friendly people sitting at the bar mad this one of my favorite spots.  It is pricey, but a nice treat.",0.9673,0.675,0.3,0.025,0.8358333333333334
2015-12-17,5.0,The food and the atomphere were great!  I can't wait to go there again!!!!,0.7405,0.695,0.305,0.0,0.75
