date,star,text,compound,neutral,positive,negative,subjectivity
2016-06-21,5.0,"This is one of my favorite places in Chicago - a true gem in Lakeview. Atif is a hands-on owner who does a fantastic job crafting the most delicious meatball dishes you can imagine - from scratch (his own creations), including vegetarian friendly items and the best Pawlenta fries I've ever tasted! The wi-fi connection is there is fast and flawless too - which makes it the perfect place to hang out at and get work done as well (for those of us who work from our laptops all day). Be sure to stop by for delicious delights, and in the process support local small business - that is more than important than ever!",0.9914,0.663,0.321,0.016,0.7199346405228758
2016-06-10,5.0,Edit: they are closed  Frankly I have zero complaints about this spot. I could eat here whenever.  The food is delicious but what attracts me most to this place is the open kitchen. Can you say awesome? Love it! I always get the chicken hero and the risotto balls. I really want to try the fish meat balls next. The service is nice and the staff is friendly and homey.,0.9868,0.624,0.355,0.02,0.5772727272727273
2016-05-28,5.0,"Seriously the best meatball hero I have ever had.  The Red Hero is delicious: tangy red sauce and tender tasty meatballs on a fresh baguette that's slightly crispy on the outside (and partially hollowed out on the inside, which makes more room for sauce and meatballs).  I wish I had tried this place sooner!  Definitely will go back. Like one of the previous reviewers, I have walked past this place many, many times and never gone in.  Big mistake.  If you live in East Lakeview you should definitely give this place a try!",0.9763,0.699,0.263,0.038,0.3421052631578947
2016-05-16,5.0,This place has hands down one of the must have sandwiches in the city. The Red Hero is everything you want out of a meatball sub plus its so much less messy with the scooped out bread. So cheap too. The small is about as filling as a normal sandwich from anywhere else. Will definitely come back. Polenta fries were good but to be honest they tasted pretty much like fries you'd get anywhere else. (idk if they are healthier or not but either way they are a solid choice in side and didn't feel super greasy),0.9216,0.756,0.19,0.054,0.43148148148148147
2016-04-26,2.0,"I tried the spaghetti with marinara & polenta fries... could have just been a package of Ramen noodles & a jar of generic sauce with a handful of oregano thrown in. Sooooo much oregano. Polenta fries....bland and mashed potato texture. I don't understand the reviews here, but to each their own.",0.0,1.0,0.0,0.0,0.39999999999999997
2016-04-18,5.0,"Homemade everything, including bread, and it shows.  I'm currently addicted to the chicken meatball hero.  Mushroom risotto balls are great, I also really liked the cavatelli pasta and bolognese sauce.  You'll see the owner behind the counter every day, he obviously takes a lot of pride in what he makes.  Cheap, delicious, highly recommended.",0.9583,0.708,0.292,0.0,0.7266666666666667
2016-04-15,4.0,"A straightforward menu of some simple Italian comfort food. This place has only been here 9 months, according to the very sweet owner. It is small and somewhat sparse, but the quality of the food and service stands out among the minimal decor. The polenta fries are outstanding, as are the meatballs and the sauce on the Red Hero. That sauce is bright and cheery in color and flavor; tomato is the loudest note but the herbs stand out as well. I've never had a polenta fry, but I have had polenta and I have had fries. This polenta fry seems to be some magical combination of the two; the creaminess of polenta on the inside and the crispness of a well-cooked french fry on the outside are textures I will be craving again in the weeks coming. The mushroom risotto ball was also crisp on the outside, and comfortingly gooey inside- as good risotto should be. I am not sure if the sub roll is made in-house. It is a basic white baguette, a bit on the flimsy side and underwhelming compared to the robust and flavorful meatballs. It disintegrates a bit when it has been soaking in sauce internally, and it lacks real flavor but is an acceptable vehicle for delivering sumptuous meaty goodness into your awaiting maw.",0.9916,0.811,0.179,0.01,0.4401226551226552
2016-04-13,3.0,"Meatballs were good. Liked the fresh bread. But the pasta was mushy, and the sauce was a bit bland.",0.7906,0.652,0.348,0.0,0.6833333333333333
2016-04-12,5.0,"The pasta was fresh and delicious --for 7 bucks, I had a delicious meal. They make their own bread, which was out of this world. The people who own/work there were super kind and friendly. I was surprised there weren't more customers --this place is so worth checking out!",0.9747,0.598,0.402,0.0,0.7066666666666668
2016-04-07,5.0,This small shop is located at a place where I don't usually visit. Need to pick up something across from the street around the lunch hour and found this place on Yelp.  Ordered over the phone for a small aqua hero and a small green hero. Got to love the fish and veggie which you don't usually see at a meatball place  The restaurant was small and very clean. I was pretty happy to see the promotion for $2.99 lunch. And my small Hero has a good size for me.  Thought I could eat this on the L back to loop but quickly realized no food is allowed on the Train.  Waited to get to the office. Those are still delicious.  Two decent sized meatballs per sandwich. Tried half of each and not hungry anymore. Both were properly seasoned with tender texture. Really liked both.  Will go again when have the chance.,0.9748,0.801,0.182,0.017,0.5146666666666666
