date,star,text,compound,neutral,positive,negative,subjectivity
2017-08-24,5.0,Wonderful experience! Great mood and music in an intimate setting.,0.8439,0.497,0.503,0.0,0.7833333333333333
2016-04-07,5.0,Came early as we have a 4 month old son. Meal was beyond perfect. The staff held our fussy son while we ate.  Best meal in a long time. Looks like they've since closed. Too bad.,0.7845,0.676,0.242,0.082,0.4238095238095238
2016-01-24,5.0,"Thanks to our friends who suggested this place,  we were able to try it with them last night.  It's a short walk from our condo which we really like. We showed up a bit late for our reservations but had called to let them know. Unfortunately we had to wait a bit for a table to be available so the wonderfully charming owner/chef bought us a drink to make it right. The drinks were delicious and the bartender was gracious. While we waited for our table we listened to a musician sing and play guitar. Great selection of songs by current artists. The place is warm and inviting and very well decorated. I loved the feel of the place! The menu is diverse and has several gluten free dishes which always makes me happy. I had the Coq Au Vin. It was fantastic. The chicken and the mushrooms with that sauce went so well together. The rest of my group all loved their meals too. I look forward to trying another dish soon as well as listen to music. Great night, thanks Mirador.",0.9981,0.63,0.357,0.013,0.5907242063492063
2016-01-17,5.0,"Go here! We did a double date and everything was perfect  amazing food, cozy atmosphere and a friendly staff + they had live music while we were there (and it wasn't too overbearing)  The red snapper entree was the best fish I've ever had in my life",0.945,0.725,0.275,0.0,0.49374999999999997
2016-01-06,5.0,We frequent Mirador as we live in the neighborhood. Always find the service to be friendly and efficient. Food never disappoints. Atmosphere is comfortable and casual. Entertainment on the weekends. I highly recommend.,0.9507,0.57,0.43,0.0,0.5844444444444444
2015-12-24,4.0,Had dinner there and all of us ordered different items. Burger was very good. Chicken was excellent. Pork chop was a little over cooked.   Wednesday was half price wine night. Had the goat cheese appetizer as well very good.  Reasonable pricing especially with wine on sale.,0.9039,0.771,0.229,0.0,0.7085185185185184
2015-12-21,4.0,"I thought this place was great. If you like live music this place is for you, that touch is perfect. I thought just the waiters and waitresses coming out to order took forever. I was there with 4 people and it took 45 minutes to get our food. Their service is really nice. I also liked how they asked questions instead of just going ahead. Overall, this place is pretty good and I enjoyed it.",0.9773,0.702,0.298,0.0,0.7055555555555556
2015-12-20,3.0,"Rack of Lamb. Love the roasted fingerling potatoes of the Rack of Lamb dish, but was a little disappointed by the bleeding yet tough lamb.  Special prosciutto wrapped meatloaf. While I'd deduct points for burning the prosciutto wrapping, the meatloaf was hands down one of the best I've had. Likewise for the mash potatoes baked with truffle oil topped with snow peas.",0.8171,0.763,0.163,0.074,0.5490929705215419
2015-12-17,5.0,"Fantastic place to spend an evening with family & friends. Food & Service was off the charts!!  Now my choice for regular stop, even though I live in Texss;",0.7256,0.708,0.224,0.068,0.49230769230769234
2015-12-06,4.0,"Really loved trying Mirador recently! Went for a friend's birthday and there were so many delightful things on the menu to pick from. We started with some escargot (garlic goodness), the goat cheese points (on point! See what I did there?) and then I opted for the spinach salad- and it was great! Everyone left satisfied- a delicious meal all around! Great wine and cocktails, too. I'll definitely be back!",0.9815,0.687,0.313,0.0,0.605
2015-10-16,5.0,"My fiancé and I love this place. The food is great and service is like being at a friend's house. The whole crew is super friendly. Get the Cabernet Slow Roasted Short Rib. The dish is good enough to take home and snuggle it in bed... if you're into that sort of thing. Otherwise, just eat it at the restaurant while you enjoy a great cocktail and live music on Friday or Saturday night.",0.9819,0.692,0.308,0.0,0.5388888888888889
2015-10-06,4.0,"Looks like there have been several (excellent) changes to the menu since I've last been here. Lots more veg/pescatarian options, which is great! We got a bottle of Pinot Noir and shared some (Tuesday half-price) appetizers and all menu items were delicious. And, our dog eats a dog treat every few days from the bowl of treats they leave out, so that has tempered my friendly feelings towards Mirador. Bartender was nice, too. All in all, and much improved food experience, made excellent by the feeling that we had a lot to choose from despite not eating meat.",0.9814,0.729,0.26,0.01,0.556060606060606
2015-10-03,4.0,"This place has potential. The menu is pretty standard, which is not entirely a bad thing for a neighborhood restaurant, however, they need to step it up a bit. Both my appetizer and entree came lukewarm; I didn't say anything because the waitress was so nice and I noticed that one of the customers in the table next door was being a TOTAL prick to her. The escargots were very light on the garlic (really!?) and for dessert we ordered the beignets which were good but a bit dry, even though they came with sauce; they should've given you the option of a side of ice cream. I gave them four stars because the ambiance was outstanding and the live music was nice and not loud. It was definitely a date night crowd. I also liked that there was equally as many opposite as same sex couples there. Friendly place. I'm gonna give it another shot. One last thing to the management: the servers wearing ""Mirador"" T-shirts don't look very classy. What's wrong with the standard white shirt and long waist apron? You can take it from there and get creative.",0.9781,0.789,0.165,0.046,0.5604761904761906
2015-09-26,2.0,Food was very blah. Risotto was hard. Flatbread was gross.   Nice server and nice atmosphere.  Maybe an off night in the kitchen or I ordered wrong items.,-0.4005,0.573,0.16,0.266,0.6236111111111111
