date,star,text,compound,neutral,positive,negative,subjectivity
2017-02-21,1.0,"This place never seems to get it right!! I came back after a few failed attempts at trying to like/embrace this restaurant bar... Considering I live down the St on Roscoe. I figured I have to give them a 2nd and 3rd opportunity.. But today/tonight was the last straw!  Service was great! But the food was pathetic!! I ordered curry chicken with wild rice.  Both chicken and rice were extremely dry!! They tasted like they had been reheated several times....  With all of the competition sprouting up on the corridor, you would think they'd be on their game... NEVER AGAIN will I come back.",-0.3753,0.862,0.062,0.077,0.3800705467372134
2015-12-20,5.0,This place has the best corned beef sandwich!!!!  Period.  I come all the way just for this.,0.7482,0.736,0.264,0.0,0.3
2015-12-05,1.0,"Not like it used to be. Brown lettuce, bugs in our drinks, slow, slow drink service. Good thing they are closing soon. This was our final visit.",0.6597,0.822,0.178,0.0,0.6
2015-12-04,4.0,"Came here after eating dinner at the sushi place next door.  It's a pretty cozy bar with an Irish bartender.  We just came to sit at the bar and grab a few drinks, but everyone around us was ordering food and it looked pretty good.",0.882,0.796,0.204,0.0,0.4928571428571429
2015-12-01,4.0,"Mystic Celt is a nice little Irish Pub in Southport with prices that won't break the bank, good service, good grub and decent drink selection.  Their cheese curds and truffle fries appetizer are not only tasty but absolutely huge portions!  I wish the beer selection was a bit more bountiful and may be cool to see more Irish, British and/or Scottish beers on the roster. Casual, cool, and you'll never have to worry about getting a seat!",0.9717,0.72,0.28,0.0,0.5622222222222224
2015-11-13,5.0,"Came here for dinner and drinks and was amazed by the food.  For bar food,  this place rocks it.  My friend and I both had (different)  salads and they were fantastic.  I had the goat cheese,  pear, and chicken salad.  It had a ton of chicken.  Too much for my taste but I was able to move it to the side.  The salad would make any body builder who orders ""greens with double chicken""  very happy.  My friend had a side of fries also and they were perfect and crunchy.  Service was spot on.  Great place.  Would recommend to anyone.",0.9852,0.742,0.258,0.0,0.7204545454545456
2015-11-08,5.0,A real Irish man waited on us and he was soooooo sweet. I am not a drinker at all but those strawberry basil cocktails are things dreams are made of. The food looked great too. Overall the atmosphere was nice and comfortable. A good stop on the southport trail.,0.9698,0.594,0.362,0.044,0.5428571428571429
2015-11-06,4.0,"Love this place. The servers are all very friendly, and whether we go for Sunday brunch or burgers during the week, the food always tastes fresh and flavorful. The decor is very quaint and really feels like an Irish pub. We're also fans of the bloody marys and fine selection of beers.",0.8927,0.725,0.23,0.046,0.45625
2015-10-26,5.0,"Great local spot. Above average food, and the service has always been good too. Would recommend to anyone looking for a place to eat and have a few drinks. It is not much of a night spot though.",0.8591,0.771,0.229,0.0,0.3071428571428572
2015-10-14,5.0,An Irish bar on the North side of Chicago just sounds plain bizarre. Anyone from Chicago knows the heritage lives in the South side. Lots of friendly faces work here. Kinda busy at the Trouble free getting a nice cold Heineken. The TVs are scattered everywhere so it's perfect for sports gatherings and after-game meet ups. Clean bathrooms and a dynamite staff make this place definitely worth checking out.,0.9458,0.676,0.264,0.059,0.5464285714285714
2015-10-10,3.0,"How to describe this place: mixed bag. The good: Best brunch in the city, very clean, good atmosphere. The bad: Specials are subpar compared to other bars in the area, pricey menu items and drinks, no food standouts, hit or miss service.  Honestly, you can't go wrong with Sunday Brunch at mystic celt.",0.9052,0.63,0.266,0.105,0.6112962962962964
