date,star,text,compound,neutral,positive,negative,subjectivity
2016-11-18,5.0,Omg why are they closed?!! Where am I supposed to get egg rolls now? Are they re-opening somewhere else? Come back!!!,0.0,1.0,0.0,0.0,0.05
2016-08-04,3.0,"This restaurant is no longer in business.  I remember eating there many years ago, and really enjoyed it.  A diner would be a nice addition to our area. Does anyone remember Augie's?  I'd love to see another family owned restaurant come to Andersonville.",0.8553,0.738,0.217,0.045,0.7000000000000001
2016-05-22,2.0,"Maybe it was because of the 15 minute walk home after I picked up my order, but the crab rangoon was weirdly soggy/chewy, and the filling was mostly cream cheese. Crab rangoon is usually my favorite part of takeout Thai/Chinese/etc, but this time I barely ate any of it. My Mongolian beef was... okay. It was drowning in sauce and everything was soggy as a result. I also find it odd that I have to pay $1.00 extra for the rice that would be included with the dish anywhere else. I did really like the mango peach bubble tea, but I don't appreciate paying $20 for food that can be summed up as ""Meh, I've had better.""",0.2029,0.836,0.081,0.083,0.46111111111111114
2016-04-12,2.0,"I've eaten here twice now. Once for lunch, once for dinner. I give it two stars because the staff is very nice. The food is very mediocre, like I can cook better Chinese, and I can't cook Chinese. Really bland and not very fresh.",0.7645,0.772,0.183,0.045,0.5311355311355311
2016-04-10,3.0,"Average quality food, but a large selection of items for everyone.  I got the orange chicken, which had very tiny little strips of friend chicken chicken - a bit chewy and dry. The sauce tasted a bit weird a bit as well. I think it was just a bit too strong.  If you're in the mood for Asian foods, this place can get the job done but I think there are definitely a lot better options out there.",0.9542,0.752,0.223,0.025,0.6278388278388278
2016-03-19,2.0,"This is what happens when I let my Ha'ole academic friends order take-out.  You would think the years of eating cheap ramen during dissertation research might have inspired a taste for better Japanese or at least real Japanese food. Why anyone would think that a combination Japanese-Thai-Chinese-Vietnamese place could be good at any one cuisine is beyond me but it came out pretty much as you'd expect. Fair to middlin'. Solidly mediocre.  Edible, and sort of Thai, almost Chinese, and kind of Japanese.  I'm going to say that the Chineseish dishes are your best choices, the pseudo-Japanese clearly your worst.  Maybe they should add Korean and Filipino dishes to create kind of a World War II zones of conflict theme.  Would anyone think a restaurant serving ""North American cuisine,"" could work?  I guess actually a place that served poutine, tamales and brats might arouse my curiosity so strike that. But this ""Asian"" restaurant doesn't really work for me.",0.7759,0.764,0.145,0.091,0.4128787878787879
2016-02-14,4.0,"I went there with my wife as we always do to find good places to eat and we found this restaurant that had a sign outside that said 1/2,price sushi.  Well we went in and ordered the sushi  We ordered the shrimp tempura , the sweet potatoes tempura and rainbow  sushi. Good presentation of the plate the taste was good for the price i  had very sushi than but for the price i though was perfect the rolls come in 5 pieces. It is such a good deal that we ordered another order of the same thing. And the bill came out about $29. Overall good and i will be back for sure.",0.9723,0.793,0.207,0.0,0.4652777777777778
2016-01-18,5.0,"This place is so good , I tried their milk tea and it was pretty good , and I also tried their noodle soup, it was so good . You should definitely try out this place .",0.9526,0.603,0.397,0.0,0.66
2016-01-12,2.0,"Looked ok - huge menu. But whatever the pho is - I've been to several dozen pho restaurants and this isn't like any Pho I've ever seen - more like curry from a can.  The rest of the menu looked ok and I think this place would do in a pinch, but that pho has gotta go.",0.1877,0.852,0.09,0.058,0.48
2015-12-17,1.0,Don't bother trying it! The shrimp in the soup was bad and the chicken in the curry was freezer burnt!  Skip it altogether!  The service was slow at lunchtime and there was nobody in the restaurant. You can order sushi until after 4 o'clock FYI! I would not chance it though!  That's all she wrote!,-0.4289,0.817,0.076,0.107,0.6722222222222222
