date,star,text,compound,neutral,positive,negative,subjectivity
2017-08-25,5.0,Must try!!! So delicious. I liked the veg one better than chicken surprisingly. Great portion and just perfection. Def sharable with sides if you're not starving since the crust and filling are pretty heavy. Reminded me of london :) The patio is also really cute and was covered with glass windows all around when we went. Adorable spot.,0.9881,0.562,0.438,0.0,0.85
2017-08-22,4.0,"I enjoy Pleasant House Pub. The ambience is that of a British pub, with a very limited selection of edibles, a large variety of beers on draft, excellent coffee and teas. The Royal Pies are not to be missed. My favorite is the Mushroom Kale pie. Second favorite is the Chicken Balti with a side of chutney. I also get a side salad (off menu) because it completes the meal so deliciously. The husband enjoys the after 5 PM Friday Special of fish and chips. Sometimes he treats me by sharing the crispier chips with me (yummy)! I love the Oatmeal Lace cookies sandwiched with deep dark chocolate ganache. Usually service is good. Our favorite waiter is Juneau, who is very knowledgeable, professional and friendly. His recommendations usually jive with ours. Street parking along Halsted or on Cermak near the Skylark. I highly recommend Pleasant House Pub.",0.9934,0.689,0.299,0.013,0.5563619047619048
2017-08-13,4.0,"Pleasant House Pub is one of my favorite places.   It's beautifully decorated with great ambiance and a relaxed vibe. I love that the menu sticks close to the English Pub vibe. I don't know many restaurants that specialize in pot pies (which I am not a huge fan of) but these pies are different with more of a flaky croissant consistency. The steak and ale pie has the most flavor.   And my favorite menu item is the Scotch Egg. I Wanted to try the weirdest things on the menu and ended up loving it.  It's a hard oiled egg rolled in sausage and fried in bread crumbs served with whole grain mustard and it's DELICIOUS!  Brunch is great as well. In a perfect world they would also Offer brunch on Saturday. I understand having seasonal menus or focusing on specific entrees but the menu is a little too limited.  And there aren't that many ""light"" options.  But I keep going back .....",0.989,0.724,0.228,0.048,0.6219246031746031
2017-08-13,5.0,Really liked this place. Service and food were good. Their Bloody Mary was a bit too salty and spicy. It also had solid stuff so we had to turn it back. Our server Jill was courteous and attentive. Their English breakfast was my favorite.,0.8748,0.688,0.258,0.054,0.588888888888889
2017-08-11,5.0,"Created a yelp account just to review this place! While I never thought I would enjoy a meat pie, our meals of steak & ale pie, the Fish and chips (Friday special), and ciders were amazing. I highly recommend this spot to anyone in the area. I'll definitely be returning soon.",0.8384,0.738,0.214,0.048,0.6022857142857143
2017-08-08,4.0,"You know how hipster places often suck because the staff is either trying too hard or is taking itself too seriously? That is definitely not the case at the pleasant Pleasant House Pub. It's the same general setting as a ""hipster"" establishment (rustic, chic, and brunch) but there was no plaid clothing, facial hair, or eyewear anywhere! And, staff was genuinely nice and engaging, which is also contrary to hipsters! I'm glad we happened to dine in on a Tuesday, because they offer burger and beer pairings--which also come with a generous side of potatoes--for twenty dollars. I don't know if I'm just a sucker who has been conditioned to enjoy food-and-beverage pairings when they're presented to me by ""experts"", but I got the sense they have an appreciation for the craft. The beer offering complemented the brioche bun very well, and the portions were very generous. The overall presentation--from the food selections to the setting--has a very sophisticated feel to it. Strategy is methodical here without trying too hard. If I lived near here, I'd be a regular. Unfortunately, I live about 500 miles away from it. Although if I left now as I write this (about 10:00 pm), I could easily make it in time for breakfast...",0.9887,0.723,0.208,0.069,0.5312430323299889
2017-08-06,5.0,"Everything is great.  Obviously get a pie, but the salads are really good too!  Possibly the best burger in the city.  For brunch, the Full English Breakfast is a bit... too flavorful almost, so I get a side of the marmite potatoes and mix them together and it is heaven.  The coriander chutney goes good on everything so get a side of that.",0.9741,0.71,0.29,0.0,0.5375000000000001
2017-08-02,4.0,This was the first time I've ever actually had a pot pie. The chicken balti doesn't disappoint! It's got just the right touch of spice and the perfect amount of sauce to not sog up the pie crust. It's not a terribly far walk from the Orange Line and is definitely worth the trip!,0.9196,0.77,0.23,0.0,0.5741496598639456
2017-07-29,5.0,Loved it here! The steak ale pie and mushroom kale pie are amazing and can't wait to come back for more. The decor and design of the restaurant was well thought out and friendly staff.,0.923,0.7,0.3,0.0,0.54
2017-07-27,4.0,"Cheers love- this is one place on Halsted that is excellent for a chill night out! I've passed by Pleasant House Pub many times usually on my way to Chinatown from the University Village area. Finally I decided to have a small birthday get-together here since I am into low key spots with good food and drinks, and this place was British! My friends and I met up in the evening and it was a grand ol' time. We had great service that kept checking in on us even though we weren't sitting in the main dining area. The outdoor patio is perfect in the summer with great people watching opportunities. While I wasn't hungry, I did try their Scotch Egg which was divine- a fried egg wrapped in pork sausage and coated in breadcrumbs. For libations, I stuck with their Bourbon Drink all the night and it got me sufficiently buzzed. Only major gripe is that there is a lot of construction happening next door beyond their control. If you're sitting in the patio, be weary that you may be competing with some unwanted noise during your time dining at this pub. Aside from that, Pleasant House was great and I would definitely come back in the future.",0.9932,0.747,0.219,0.034,0.5954861111111112
2017-07-23,4.0,"This place has been on my to-visit list, and I'm finally glad to make it happen. We came on a Sunday evening around 6:30pm, and all the tables were full. However, there were two open seats at the bar for us. It was a bit awkward in that all the beer dispensers were located in front of us and were a huge barrier between us and our server/bartender. He literally had to reach over the dispensers to give us waters and talk through the spaces between the dispensers to take our order. The inside of the restaurant is like a cafe when you first enter. There's a separate main dining area to the right. The bar is located between the dining area and kitchen, which is where we sat. The ambiance might be more romantic at night, but not as much during the day when the bright sunlight was illuminating the restaurant. The service was pretty slow at first. It took some time to get acknowledgment and our orders taken. That's what happens when you're working a dual role I suppose. We decided to order the following items: - Steak & Ale Pie: Though it wasn't bad, it didn't impress us either. We felt that the steak was too dry. On the other hand, I liked the crust. - Premium Steak Pasty: This was our second favorite dish. It was pretty savory and pleasant. The steak was more tender and moist than what was inside the Steak & Ale Pie. - Deluxe Gravy Chips: This was the best dish out of all three, though it was a side and not entree. It's a decent portion to be shared. The beef on top was tender and juicy while the potatoes were nice and crisp. Everything just worked well together. Though the portions look small, these three dishes were enough to make us both full. I think it's because they're all heavy dishes.",0.9948,0.816,0.168,0.016,0.5893537414965987
2017-07-21,5.0,This place is beautiful and charming. The service was really nice and friendly. The beer selection is great and their cold brew is super super yummy!  We already ate in Chinatown so I didn't get to try the food here but I really liked the set up of the place and the ambiance so look forward to come back and give a try to the food too (it certainly looked delicious!!).,0.9701,0.695,0.305,0.0,0.7462301587301589
