date,star,text,compound,neutral,positive,negative,subjectivity
2016-05-29,5.0,"Delicious with an amazing atmosphere. The food was plated beautifully. We tried the fish tacos (two small tacos served with rice and beans), the quesadillas (an appetizer but enough for a meal), the guacamole (some of the freshest and tastiest guacamole I have ever tried), the steak tacos (also served with rice and beans), and the enchiladas (also served with rice and beans). They were all so delicious. The ingredients tasted fresh, the portions were perfect, and again, the dishes were all played beautifully! For desert we tried the tres leche cake and the flan. They each came plated with strawberry detailing and were delicately delicious. Not too sweet but not too bland. We loved the BYOB aspect of this restaurant - no corking fee and they'll open the bottle and provide the glasses! The chef came out multiple times and spoke to the table, explaining ingredients and answering questions. Our sever was pleasant and attentive. I would recommend getting a reservation because it's very, very small. Not good for large groups. I'd say they max out at about 4 people per group. Overall, I will definitely be back - great food and fabulous atmosphere!",0.9974,0.688,0.301,0.011,0.6770238095238096
2016-05-28,5.0,"Fresh, authentic, great food! Hidden gem that just so happens to be across the street from my apartment :)",0.8655,0.623,0.377,0.0,0.6666666666666667
2016-05-15,5.0,Came in this evening for dinner. The rabbit was awesome and tender with the rice and spices. Enrique the owner and chef took his time to talk with us about the menu. Totally will return to try more tasty food.,0.6249,0.905,0.095,0.0,0.75
2016-05-02,3.0,"I've been to Riques three times, and enjoyed it each time. The first time I ordered the braised rabbit in a chipotle sauce, with sweet corn flan for dessert- and they were both really great. The second time I ordered chicken flautas, which weren't the best I've ever had, but were well worth the $8 I paid for them. The last time I went, I ordered carne Asada enchiladas Rojas, which were OK, but weren't worth $14. I would still recommend this place, but be aware that sometimes the quality and/or pricing can be inconsistent.",0.9529,0.771,0.208,0.021,0.3916666666666666
2016-05-01,5.0,Hidden gem! Tweet had an hour wait - F that! Walked here and we were immediately served. The service was beyond 5 stars. It's very reasonably priced and outstanding food! The coffee was also super dark and strong. I'll definitely be back!,0.9439,0.699,0.301,0.0,0.5411904761904761
2016-04-30,5.0,"Great food and great atmosphere! It's a treat to come here. Also nice to byob.  The mole flavor is quite similar to the mole I had at my husband's village (San Jorge Tezoquipan, Tlaxcala), which is a testament to the quality of the place.",0.9324,0.726,0.274,0.0,0.725
2016-04-16,4.0,"Brunch here was very good.  Dad and I had the huevos con huitlacoche, my mom had the French toast (it tasted really, really good and I'm sorry I only had one bite), and my friends had flautas and a burrote suizo.  We also shared a fruit plate: supremed orange slices (love when they go to the trouble to slice away the pith), berries, and apple with little dollops of marmalade and dulce de leche on the side.  There was also a basket of warm corn tortillas for the table. Everyone was happy and left satisfied, but not stuffed.  I assume it was Enrique himself who came to the table, and he was so hospitable, as was our waitress.  My only complaint is that the music was a little too loud to allow much conversation.  However, we were busy eating...  Next time I will get something with more spice, or at least ask for some hot sauce.  Anyway, this review is only for brunch, and we went to Rique's because the staff at Tweet were so rude to us.  The interior was nice and sunny and clean, and the attention to detail and authenticity makes me want to go back for dinner sometime.  A special thanks to the chef for accommodating vegetarians who love Mexican food!",0.9796,0.782,0.171,0.046,0.5387557603686636
2016-03-19,5.0,"Wow, love this little hidden place, wish I had found it sooner. The owner/chef was so nice and friendly and explained the menu very well. Not your typical Americanized Mexican food, more authentic. I had a great rabbit dish in a salsa verde and my friend had some fantastic roast veggies. The tortillas were perfect (I'm not usually a fan of corn tortillas but there were great) and the chips came with a nice black bean dip instead of the usual salsa.",0.9713,0.69,0.294,0.016,0.5956140350877193
2016-03-10,4.0,So much better than your average Chicago taco joint. Very polite service. Love the BYOB. Everyone had a great time.,0.9143,0.577,0.423,0.0,0.51
2016-03-08,5.0,"We live nearby and have eaten there many times. Fantastic, fresh, spicy and original food. We are vegans and the chef prepares us something special every time. My non-vegan friends are equally thrilled with the food and pleasant, low-key ambience. Go there now!",0.9612,0.637,0.363,0.0,0.6735119047619048
2016-03-07,5.0,"My boyfriend and I decided to check this restaurant out on Friday afternoon and we couldn't have had a better dining experience; the food and service were superb! Enrique was so friendly, gave us details about the dishes were thinking of ordering and told us about the Lenten options. We ordered the baja fish tacos and the pescado and pulpo. We ended the meal with freshly made churros and a delectable hot chocolate. The delicious food, quaint yet colorful décor, and Enrique's enthusiasm about his culinary creations will keep us coming back!",0.9661,0.771,0.206,0.023,0.5277777777777778
2016-02-27,5.0,"I am a little biased since this is a friend's restaurant from a well known chef Enrique. The food is always made fresh as can be, with popping flavors that take you back to your moms home cooked meal. The atmosphere is always delightful and very intimate. The service is always great and the best thing the chef always takes time to meet his patrons. The food is excellent however dont expect a huge portion but enough to get you comfortably full. Its BYOB which you can't go wrong and there is no cork fee. His menu changes by season so it's never the the same and the food flavor is excellent. Again I am a little biased however trust me when I say your tastebuds will go wild with just about any dish you order. Perfect place to unwind, intimate and great atmosphere. Must try to see for yourself. Tip my hat to the chef Enrique.",0.9873,0.735,0.221,0.044,0.6344736842105263
2016-02-02,4.0,"This restaurant is one that I will put in the ""hidden gem"" category. It's not on a main stretch, as you have to go off of Argyle and onto Sheridan, which seems mostly highrise residential. Horchata. Chilaquiles Roja con Pollo. Plantanos y Frijole. ""La Dona"" Noir. Flan de Elote. The presentation may look fancy, but the flavour is anything but pretentious. I have yet to have anything that I didn't want in excess or that I didn't order to take home with me. I'm planning another visit back in the near future. I've been twice. The server the first go was cool with suggestions. The second time, the server I had was more comfortable speaking Spanish, so I switched into speaking Spanish also. But it was still an enjoyable and filling experience.",0.9073,0.902,0.088,0.01,0.3516666666666666
2016-01-24,3.0,"I used to love this restaurant the first time around and was thrilled to come back. I really really wanted to love it here but didn't. We went on a weekday and it was dead! Most of the foo was really good, but it just wasn't a lot of it for the price. We both really wanted steak of some sort and I had fajitas and my husband carne asade. Both were just too chewy and really rough, not to mention again tiny portions. I think Mas Alla Del Sol puts their food to shame up the street. They get three stars instead of two because the owner came out and was really friendly and clearly cared that we had a good dinner. I also don't mind that they have a limited menu, but do wish that once the menus got to a certain point of dirty they would trow them out. Ours were pretty gross and filthy.",0.9549,0.69,0.203,0.107,0.4776643990929705
2015-12-08,5.0,"I came in to place an order for carry out, as I live around the corner.  I noticed they had huitlacoche & chihuahua cheese on their menu and I was really hungry. After speaking with the server, the huitlacoche quesadillas would not have been enough for what I was craving. He suggested adding both ingredients to a burrito. I agreed to it, but he warned that it would take a little longer.  I'm grateful he gave me a heads up, as I had some errands to run.  Came back 15 minutes later for pickup and it was ready!!  Thank you, Riques, for my delicious custom-made burrito!   I'll swing by to try again!!  :)",0.9649,0.795,0.183,0.022,0.4666666666666667
2015-11-20,5.0,"Great food, great service.  We were a group of 8 and had a great time.  The chef came out to review the menu with us.  Very warm and inviting staff that wanted to make sure you were enjoying your food.",0.9711,0.569,0.431,0.0,0.7531481481481482
2015-11-19,4.0,"My wife and have been wanting to check this restaurant out ever since we saw the ""opening soon"" sign up (for about a year and a half). Previously it was another (uninviting) Mexican restaurant and, I believe, some kind of African restaurant. My wife got the carne tampiquena and, due in part to my immense creativity, I got the tacos. She enjoyed her meal although she complained about the small portion sizes and the fact that they served spicy mole (and not the sweet kind).  I remember my tacos being delicious--obviously I am the less nit picky one in the relationship. For dessert I ordered the corn flan and she ordered the choco flan. Again, I thought my flan was life-altering and my wife thought hers was ""a bit dry."" There were also complains thrown around about the tables looking kind of worn out. They may or may not have come from the person at the table who was not me.  I messaged the chef about the mole on facebook and he promptly stated he would start making it sweet instead of savory. Since that's the first time a chef has ever cared to listen to my opinion (and, likely, the last) he gets 4 stars.",-0.4684,0.897,0.042,0.061,0.47763157894736846
2015-09-15,2.0,"I went to Riques Cocina Mexicana for the first time with my mother & uncle the other night. We wanted something other than the usual Asian or Vietnamese fare found in the neighborhood. We each ordered a taco dinner for $10 (with consisted of 2 tacos with rice & black beans on the side). My adventurous uncle who lived in south America for many years got the tripe & tongue, mom got veggie & fish, and I got chicken & steak.       For an appetizer we ordered the guacamole ($8). It was very good but the serving size was ridiculously small. We went through it 3 minutes and then waited a half an hour for our entrees.  Then the tacos came. My chicken & steak tasted great, but again the serving sizes were small. My uncle enjoyed the tongue, but the tripe turned out be something akin to liver. Mom liked the veggie, but the fish was to spicy for her taste.  We washed everything down with a pitcher of lemonade ($12) witched turned out to be the most satisfying item on the menu.",0.9635,0.866,0.117,0.016,0.5643915343915344
2015-09-12,4.0,"I live in the neighborhood and have been meaning to stop in for a long time. Finally, I had a night open to get in, and of course just got braces put on and can only eat soft food! I can say that the tortilla soup, rice and beans are really good! My boyfriend got something with skirt steak and enchilada and really liked it! He says skirt steak is easy to mess up and was impressed with how the it was cooked. I did try a bite of his enchilada and quesadilla and they were really really good. I can't wait to try this again when I am able to chew!",0.9177,0.818,0.142,0.04,0.6448717948717948
2015-09-06,5.0,"Excellent experience both for take out and brunch. Rique spends extra time with you to explain dishes, make you feel welcome, and we've just felt entertained and taken care of each time we've been here. Delicious food, extra goodies, BYOB. So good.",0.9612,0.649,0.351,0.0,0.6166666666666667
2015-09-03,5.0,"Riques' is a gem in the Uptown neighborhood.  The competition is pretty stiff, the restaurant borders on Argyle Street, a place where people travel from the furthest border of Chicagoland to enjoy exotic cuisine.  Riques is authentic Mexican under the supervision of Enrique Cortez.  He's a humble person and he visits every table to make sure your dining experience is enjoyable.  HIs creativity, hospitality and delicious recipes make a visit to Riques' a very special occasion.  The food is unique yet familiar.  We had Enchiladas Sonores, three corn tortilla wrapped enchiladas with cheese, red sauce and a topping of crisp greens.  My friend had braised rabbit and it was delicious.  We shared a flan, but had to get a second one, it was more like a cheesecake - so rich, drizzled with caramel and sprinkled with crisp candied orange peel.  That's going to be my birthday cake from now on!  Riques' also serves brunch, you'll hear from me about that very soon.",0.9762,0.826,0.174,0.0,0.5840513983371126
2015-08-26,5.0,"We have been meaning to try this place for ever, and we were so happy we finally did.  The new owners have done a good job making an Uptown storefront into a cute neighborhood restaurant.  The service was very friendly and the owner/chef made it a point to come out and check on us, and even made a special dish for our son.  The food was great as well.  They have the typical Mexican restaurant staples (taco plate, burritos, etc.)  but also have some elevated dishes as well.  We loved everything we ate, and will be sure to come back.",0.9718,0.768,0.232,0.0,0.6319125319125318
2015-07-31,4.0,The chicken burrito was awesome. The staff were really friendly. Definitely recommended.,0.9124,0.388,0.612,0.0,0.7375
2015-07-25,2.0,"Although it pains me to do this, I can only give Riques two stars. And I think I'm being generous.  For starters, it took them over an hour to get our group seated. We had a reservation. I think there was some miscommunication with another group's reservation, but either way... We were ready to split. The owner was very generous, and did shower our table with free appetizers and dessert, which was very nice, but the food was underwhelming. I had a whitefish burrito which was very dry. Nearly everything we had, including the chips and bean dip, the mussels, and the chorizo and queso, were all bland and dry. Overall, I wanted to love this place. I dig small BYOBs, but this one was not impressive. I hope we got them on an off night.",0.9564,0.782,0.161,0.057,0.6317948717948718
2015-07-25,5.0,"Brunch here is a-maze-ing!  Everything on the menu sounded delicious and once our food arrived, we were not disappointed! We ordered the French toast made from challah bread which was to die for and two different breakfast burritos. The burritos were super filling, yummy and presented beautifully. Highly recommended!",0.9462,0.635,0.306,0.059,0.5927777777777777
2015-07-25,5.0,"I visited Riques Cocina Mexicana yesterday and couldn't be happier with the food.  I love the fresh flavors and perfect combination on each dish I test. I am Peruvian and very picky with ceviche. I tried Mexican Ceviche yesterday with tortilla chips and delicious. The fresh guacamole espectacular.  Chef Enrrique is very nice, he walked around the tables to make sure people is enjoying their time there.  I just love the atmosphere. Great service, excellent food!!! Totally recommended!. Planning to come back with friends soon.",0.9902,0.6,0.375,0.025,0.6325925925925926
