date,star,text,compound,neutral,positive,negative,subjectivity
2017-09-05,4.0,"Friendly staff, super helpful and polite and really fast service. Decor and atmosphere is nice too. Food...is ok, it's tasty and flavoured well and sauces aren't bad but after eating at Green Street Smoked Meats it's a little bit on the bland side and portions seem smaller.",0.8564,0.744,0.256,0.0,0.6066666666666667
2017-09-04,5.0,"I take the El to Irving Park station.  I exit the train and realize I'm in the mIddle of an expressway.  This a long way from my centrally located Miracle Mile hotel, and it better be good.  And, after figuring out how to get off the major arterial road, lo and behold, I find this place.  It smells good.  I enter and annoy the hell out of the greeter, asking him way too many questions about what type of BBQ'd meats and sides I should order.  He graciously answers all of my questions, rather than giving in to his natural impulses to request that I leave and never ever return again.   I go up to counter, and order everything he advised.   The counter girl looks at me in admiration, unaware that I had mined all my knowledge from the greeter.  That admiration fades as I request every type of BBQ sauce available.  Her and the greeter exchange knowing glances, but continue to smile and pretend I am not annoying them greatly.  It's that impeccable midwestern charm. The food arrives.  The ribs rock.  The chopped and pulled brisket are each good in their own way.  The side dishes, beans and mac n cheese are really tasty.  This is really good BBQ.  I begin deliberating with my guest about whether this is Texas BBQ or Southern BBQ or St Louis BBQ (is there such a thing?).  My eating companion doesn't care, and says that it is really good, and that nobody likes a pretentious foodie who tries to sub-classify food.  I am so jacked up on meat, that I brush aside the injurious criticism, and gently assure myself that it is not my fault I am dining with a BBQ rube. I leave content that this would be a top 3 BBQ joint in my own dour burgh",0.9884,0.783,0.165,0.052,0.5203703703703704
2017-09-04,5.0,"While on a baseball trip to the midwest USA my wife and I were interested in sampling the local barbecue in different cities. I have to admit that the incipient violent reputation that Chicago has won was in the back of my mind when we pulled up in front of this establishment. In my naivete I had expected a higher end experience, however, it turns out that the best barbecue is not necessarily found in upper crust neighbourhoods. Once inside, however, I WAS impressed by the cleanliness, courtesy, and efficiency of the largely Latino staff. The room itself houses the kitchen and ordering counter and patrons sit at picnic tables, with a self dispensing soda machine nearby. The young woman who took our order was brusque but pleasant and took the time to explain to a neophyte exactly how St Louis ribs were different from baby back ribs. The whole area is suffused by the mouthwatering aroma of barbecue. My combination platter of baby back ribs, and St Louis ribs with sides of macaroni and cheese and cole slaw was flavourful succulent and of excellent quality. My wife enjoyed her pulled pork sandwich. All the while we were attended by a server who would remove our leftovers and keep giving us a steady supply of moist towelletes. I would not take my glove wearing mother in law here, but the food was simply fantastic. I will certainly return the next time I'm in Chicago.",0.9902,0.827,0.164,0.009,0.48066666666666663
2017-09-03,5.0,"Best BBQ around. We've had the ribs, the brisket, sausage, mac and cheese and fries. Everything was amazing. Probably beat brisket I've ever had. Bother their memphis and Carolina style BBQ sauces are great. We always go here when in Chicago.",0.8934,0.718,0.235,0.047,0.65
2017-09-02,4.0,"Great BBQ! Three thumbs up, lol... in my Arnold Schwarzenegger voice I will be back, lol....",0.6588,0.761,0.239,0.0,0.5375
2017-09-01,4.0,"I wanted to love this place. I wanted it to be a 5 star out of this world experience and based on the hype I really thought it would deliver. It did not blow my mind. It was good but not great in many ways.  The service was friendly, the decorations were cute, and sitting outside on a warm summer day was a nice touch.  I expected to eat the best barbecue in the city though. The ribs were good and I would recommend them. Came off the bone fairly easily. Had a good rub on them. I wasn't crazy about the provided sauces though and the smoky flavor didn't come through the meat as much as I would have liked.  The biggest let down for me was the corn bread. It was tiny, dry and not very flavorful.  Would I go back? Yes. Is is the best Q place in the city- No. I would recommend southern cut, q, or lillies q over smoque. Maybe it's just because the hype was so high but I didn't feel the love other people have for this place.",0.9952,0.67,0.285,0.044,0.49775793650793654
2017-08-31,2.0,"This place is overrated, a bit pricey as well for the portions you recieve, especially the sides. The only side that is a decent size is the fries. The ribs and chicken were both really dry. The seasoning didn't really have a wow factor, it was so-so. The brisket chili taste like the smell of wet dog. Six bucks for the smallest piece of ribs for six more buck I could go to goodis and get me a chicken and ribs dinner that would put this place to shame, especially considering goodis isn't a bbq place.",-0.4172,0.887,0.047,0.066,0.7515151515151515
2017-08-31,5.0,"Had the St Louis ribs ---excellent and full of meat and not at all dry. The mac and cheese seemed a little grainy and not creamy. That was a let down, but the rest was just excellent. Get the corn bread because it's just so good and crumbly. The fries actually were good ---thick and crispy like the ones at Five Guys, and they go well with the ribs. Turns out the cole slaw comes with the ribs already, so that didn't count as a side. But the slaw, while fresh, could have used a little more wetness --as in some creaminess (mayo). However, the crunch of the cabbage added to the nice texture experience of the meal. I liked the bbq sauce a lot, but would have also welcomed a spicier one. Finally, I couldn't leave without the peach cobbler, which I enjoyed later that night. I like how they prepare all of their sides in these little pie containers. So practical. Smoque rocks.",0.9948,0.731,0.269,0.0,0.5902046783625731
2017-08-29,5.0,Omg Charles is very pleasant and outstanding I met him at a event that was catered had great knowledge on the food and was super friendly!! I will def be in to try some more amazing BBQ and will recommend it to close friends n family for events!!!,0.9847,0.546,0.454,0.0,0.7416666666666666
2017-08-27,5.0,A must visit each time I'm in Chicago on business or pleasure. The brisket is amazing as are the ribs  and sides. Joint has good BBQ feel and service attentive. Check it out!,0.8932,0.731,0.269,0.0,0.7999999999999999
2017-08-25,5.0,This is the best BBQ I've been to in Chicago! I love BBQ and have been many places that are more about the location and atmosphere than here. This place is about amazing food in a casual environment. Definitely will be coming back regularly!,0.9537,0.682,0.318,0.0,0.4715099715099714
2017-08-25,5.0,"Da food here is off the chain..... Da mac and cheese, da cheesy potatoes r the bomb... Da service here is friendly, very thoughtful n attending",0.7264,0.783,0.217,0.0,0.7166666666666667
2017-08-21,5.0,"The best barbecue joint in all of Chicago. The meats are so juicy and tender, and will melt in your mouth the moment you eat it. Sandwiches are served on large brioche buns, good for soaking up extra sauce. Carolina and Kansas City style sauces are both excellent choices, but my person favorite is the sweeter Kansas City. Almost as important as the meat, the sides are top tier as well. The mac and cheese is gooey and topped with bread crumbs while the fries not run of the mill and above average for a barbecue restaurant. The line may be a turn off, but it's well worth the wait and moves fast. Also, BYOB, useful to know ahead.",0.9732,0.802,0.198,0.0,0.4714285714285714
